Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0,64,42
BA*,0.001999855,57,42
EBA*,0.0020005703,59,42
DIJKSTRA,0.0010020733,85,42
DFS_NORMAL,0.0019979477,700,738
DFS_LIM,0.0010018349,266,42
BFS,0.0,181,42
A*,0.0009996891,157,119
BA*,0.0020003319,156,119
EBA*,0.0019993782,155,119
DIJKSTRA,0.0010020733,204,119
DFS_NORMAL,0.0,376,385
DFS_LIM,0.0010023117,566,127
BFS,0.0,285,119
A*,0.0010004044,162,74
BA*,0.0019981861,184,74
EBA*,0.0029997826,191,74
DIJKSTRA,0.0010020733,226,74
DFS_NORMAL,0.0009999275,573,1128
DFS_LIM,0.0009999275,730,76
BFS,0.0010001659,424,344
A*,0.0020029545,463,125
BA*,0.0020000935,362,125
EBA*,0.0020000935,320,125
DIJKSTRA,0.001999855,618,125
DFS_NORMAL,0.0010001659,153,219
DFS_LIM,0.0010018349,305,125
BFS,0.0010020733,652,125
A*,0.0020000935,537,157
BA*,0.003000021,549,157
EBA*,0.0029997826,443,157
DIJKSTRA,0.0020000935,731,157
DFS_NORMAL,0.0010025501,247,821
DFS_LIM,0.0,145,377
BFS,0.0,337,377
A*,0.0029997826,706,161
BA*,0.0020000935,261,161
EBA*,0.0020008087,258,161
DIJKSTRA,0.0020008087,799,161
DFS_NORMAL,0.0010015965,41,521
DFS_LIM,0.0,63,521
BFS,0.0009996891,121,521
A*,0.0009999275,45,21
BA*,0.0020000935,40,21
EBA*,0.0010020733,45,21
DIJKSTRA,0.0010006428,54,21
DFS_NORMAL,0.0019989014,736,261
DFS_LIM,0.0,84,21
BFS,0.0,66,21
A*,0.0010004044,52,45
BA*,0.0019993782,85,45
EBA*,0.0020000935,68,45
DIJKSTRA,0.0010025501,56,45
DFS_NORMAL,0.0009992123,241,247
DFS_LIM,0.0,256,45
BFS,0.0,57,45
A*,0.0010001659,108,55
BA*,0.0020003319,150,55
EBA*,0.0019996166,138,55
DIJKSTRA,0.0010018349,225,55
DFS_NORMAL,0.0009982586,311,425
DFS_LIM,0.0009999275,807,177
BFS,0.0,305,55
A*,0.001999855,540,151
BA*,0.0020003319,253,151
EBA*,0.0020000935,279,151
DIJKSTRA,0.0020005703,714,151
DFS_NORMAL,0.0010004044,71,441
DFS_LIM,0.0,33,299
BFS,0.0,55,299
A*,0.0010001659,127,55
BA*,0.0019974709,110,55
EBA*,0.0019996166,116,55
DIJKSTRA,0.0009999275,178,55
DFS_NORMAL,0.0020000935,801,503
DFS_LIM,0.0010001659,479,87
BFS,0.0,189,83
A*,0.0010001659,187,60
BA*,0.0020008087,122,60
EBA*,0.0019991398,143,60
DIJKSTRA,0.0010004044,404,60
DFS_NORMAL,0.0,135,174
DFS_LIM,0.0009996891,469,354
BFS,0.0010004044,546,60
A*,0.0009994507,36,25
BA*,0.0020005703,34,25
EBA*,0.0020000935,34,25
DIJKSTRA,0.0,51,25
DFS_NORMAL,0.0009996891,606,813
DFS_LIM,0.0,159,25
BFS,0.0,99,25
A*,0.001999855,95,39
BA*,0.0020005703,125,39
EBA*,0.0020003319,112,39
DIJKSTRA,0.0010023117,190,39
DFS_NORMAL,0.0010001659,694,665
DFS_LIM,0.0009996891,351,101
BFS,0.0010001659,220,87
A*,0.0020003319,339,142
BA*,0.0019996166,200,142
EBA*,0.001999855,210,142
DIJKSTRA,0.0009999275,347,142
DFS_NORMAL,0.0010001659,465,422
DFS_LIM,0.0010025501,338,142
BFS,0.0,203,172
A*,0.0009999275,41,20
BA*,0.0019996166,33,20
EBA*,0.0010011196,39,20
DIJKSTRA,0.0009999275,98,20
DFS_NORMAL,0.0010001659,458,434
DFS_LIM,0.0,175,632
BFS,0.0,96,20
A*,0.0009996891,6,6
BA*,0.0020000935,8,6
EBA*,0.0020003319,6,6
DIJKSTRA,0.0,11,6
DFS_NORMAL,0.0,6,6
DFS_LIM,0.0,6,6
BFS,0.0,11,6
A*,0.0010001659,246,176
BA*,0.0019981861,243,176
EBA*,0.001999855,244,176
DIJKSTRA,0.0009999275,332,176
DFS_NORMAL,0.0,471,180
DFS_LIM,0.0010001659,558,286
BFS,0.0,257,176
A*,0.0009999275,22,14
BA*,0.0020017624,23,14
EBA*,0.0020000935,19,14
DIJKSTRA,0.0010004044,24,14
DFS_NORMAL,0.0010018349,14,14
