Algorithm_name,Execution Time (ms),Searched Cells,Total Path Cost
DFS,165.9986973,60005,65791
DFS_LIM,173.9997864,62415,65791
DFS,310.9982014,142034,97156
DFS_LIM,316.9996738,143181,97156
DFS,306.99992180000004,143257,60594
DFS_LIM,318.00007819999996,145105,60594
DFS,347.9998112,168130,73010
DFS_LIM,357.9998016,169582,73010
DFS,277.0011425,129842,48514
DFS_LIM,384.0000629,186064,48514
DFS,266.00003239999995,114717,96209
DFS_LIM,273.0002403,115761,96209
DFS,370.00036240000003,181692,71774
DFS_LIM,124.99666210000001,40390,71774
DFS,114.99977109999999,35729,68177
DFS_LIM,125.0,40007,68177
DFS,207.9997063,95413,40221
DFS_LIM,230.9997082,104993,40221
DFS,365.9996986,186573,24526
DFS_LIM,88.0029202,24942,24526
DFS,248.99959560000002,109511,103844
DFS_LIM,349.99990460000004,162513,103844
DFS,372.0011711,182998,84363
DFS_LIM,382.9991817,183394,84363
DFS,184.0012074,74794,76058
DFS_LIM,192.0039654,75968,76058
DFS,119.00115009999999,42059,41351
DFS_LIM,230.0000191,105393,41351
DFS,165.0016308,61974,65488
DFS_LIM,176.99956889999999,66165,65488
DFS,375.9999275,191896,48702
DFS_LIM,395.9999084,194324,48702
DFS,362.0007038,185462,22788
DFS_LIM,388.9966011,194760,22788
DFS,247.0006943,104322,109148
DFS_LIM,266.998291,115916,109148
DFS,323.99964329999995,159758,28088
DFS_LIM,401.999712,200355,28088
DFS,344.99621390000004,172439,52961
DFS_LIM,392.00043680000005,196184,52961
DFS,357.0005894,175036,79090
DFS_LIM,373.9995956,177934,79090
DFS,141.998291,53984,39391
DFS_LIM,387.9990578,191001,39391
DFS,272.9976177,121090,137092
DFS_LIM,259.9990368,112276,137092
DFS,156.999588,68198,20774
DFS_LIM,159.0020657,68558,20774
DFS,297.99985890000005,133123,114464
DFS_LIM,305.9999943,134343,114464
DFS,252.00009350000002,104827,170351
DFS_LIM,331.00008959999997,147723,170351
DFS,203.9992809,84738,66452
DFS_LIM,259.9999905,114823,66452
DFS,386.0003948,186599,131843
DFS_LIM,388.00048830000003,185064,131843
DFS,184.0000153,69815,128870
DFS_LIM,247.9972839,103970,128870
DFS,219.99979019999998,93989,98975
DFS_LIM,153.0001163,53293,98975
DFS,311.0003471,151753,55244
DFS_LIM,156.0015678,59312,55244
DFS,348.9980698,163239,114961
DFS_LIM,381.00242610000004,176915,114961
DFS,142.998457,42452,119398
DFS_LIM,142.0004368,47536,119398
DFS,371.9973564,188006,56207
DFS_LIM,379.99987600000003,188320,56207
DFS,206.0003281,86158,90735
DFS_LIM,219.00081630000003,91376,90735
DFS,310.9996319,149578,103119
DFS_LIM,319.9970722,150143,103119
DFS,357.00035099999997,168852,105033
DFS_LIM,322.97420500000004,146782,105033
DFS,82.99756049999999,21950,35672
DFS_LIM,94.0001011,25022,35672
DFS,267.0023441,123871,55323
DFS_LIM,348.0005264,160645,55323
DFS,210.9985352,85327,106994
DFS_LIM,384.996891,182845,106994
DFS,331.00247379999996,157134,90408
DFS_LIM,345.99971769999996,159264,90408
DFS,364.00246619999996,178975,103045
DFS_LIM,391.00122450000003,189776,103045
DFS,216.0000801,87611,122849
DFS_LIM,306.99992180000004,137691,122849
DFS,279.00028230000004,129183,118141
DFS_LIM,316.9953823,146741,118141
DFS,173.9997864,61971,120629
DFS_LIM,312.9987717,138117,120629
DFS,161.9999409,64355,53741
DFS_LIM,197.0028877,79737,53741
DFS,92.9999352,28024,32874
DFS_LIM,96.9970226,29710,32874
DFS,207.0000172,94514,49208
DFS_LIM,211.9998932,95268,49208
DFS,379.99939919999997,189821,58766
DFS_LIM,298.0003357,139491,58766
DFS,92.9999352,28324,38278
DFS_LIM,104.00009159999999,33408,38278
DFS,83.0001831,21587,19247
DFS_LIM,194.99945639999999,83373,19247
DFS,246.0000515,116469,43987
DFS_LIM,169.0001488,69051,43987
DFS,351.0029316,167345,87645
DFS_LIM,373.9995956,175673,87645
DFS,367.0027256,182356,100746
DFS_LIM,389.0016079,190359,100746
DFS,188.9984608,75763,73479
DFS_LIM,314.0003681,143645,73479
DFS,210.0000381,91918,66586
DFS_LIM,225.99983220000001,97524,66586
DFS,303.0025959,132764,114334
DFS_LIM,328.997612,143718,114334
DFS,244.0001965,99148,119183
DFS_LIM,252.0003319,100440,119183
DFS,194.9982643,74806,148212
DFS_LIM,201.9948959,75582,148212
DFS,267.9982185,115977,104010
DFS_LIM,302.9999733,133165,104010
DFS,222.0001221,85215,126973
DFS_LIM,225.99935530000002,85973,126973
DFS,362.000227,177490,97260
DFS_LIM,372.99990649999995,178595,97260
DFS,353.000164,170810,116632
DFS_LIM,377.00009350000005,176576,116632
DFS,202.0001411,81346,107660
DFS_LIM,280.9998989,124190,107660
DFS,288.99788859999995,136170,69155
DFS_LIM,304.9998283,142677,69155
DFS,215.99960330000002,94330,75039
DFS_LIM,323.0001926,151769,75039
DFS,220.0026512,82038,69113
DFS_LIM,345.9982872,152682,69113
DFS,103.0004025,30196,41021
DFS_LIM,104.9997807,32166,41021
DFS,408.0004692,201182,32027
DFS_LIM,281.996727,128191,32027
DFS,380.0005913,192512,54226
DFS_LIM,116.9986725,37783,54226
DFS,235.99958420000002,93375,126162
DFS_LIM,244.9998856,96463,126162
DFS,328.9999962,160320,67768
DFS_LIM,340.0011063,163253,67768
DFS,210.9966278,80125,108541
DFS_LIM,214.0009403,80567,108541
DFS,210.0002766,92745,44967
DFS_LIM,184.9999428,77665,44967
DFS,123.9979267,40013,62969
DFS_LIM,129.00018690000002,42833,62969
DFS,362.9999161,169892,112363
DFS_LIM,377.0005703,173790,112363
DFS,92.9994583,24076,48492
DFS_LIM,221.9998837,96625,48492
DFS,382.00068469999997,196460,38295
DFS_LIM,226.0000706,103914,38295
DFS,351.0010242,166122,68894
DFS_LIM,359.9989414,166468,68894
DFS,299.9873161,142625,90752
DFS_LIM,341.999054,161659,90752
DFS,108.99996759999999,31057,105531
DFS_LIM,182.9986572,72666,105531
DFS,137.00008390000002,47598,78879
DFS_LIM,140.9981251,47791,78879
DFS,266.00003239999995,123749,91009
DFS_LIM,280.9998989,127653,91009
DFS,259.9999905,121961,100249
DFS_LIM,238.9993668,104823,100249
DFS,194.99993320000002,80008,81452
DFS_LIM,201.9996643,80328,81452
DFS,210.9997272,98965,21644
DFS_LIM,141.0005093,56155,21644
DFS,246.999979,105665,113269
DFS_LIM,267.9998875,113346,113269
DFS,324.9995708,148553,98427
DFS_LIM,328.9995193,149107,98427
DFS,167.001009,66857,59119
DFS_LIM,117.000103,36475,59119
DFS,224.00069240000002,88101,109459
DFS_LIM,238.99984360000002,96400,109459
DFS,60.9893799,10942,9758
DFS_LIM,60.9989166,11080,9758
DFS,375.0007153,188725,55673
DFS_LIM,134.9990368,47648,55673
DFS,267.99917220000003,127561,55947
DFS_LIM,153.99909019999998,60768,55947
DFS,370.00012399999997,193348,32100
DFS_LIM,72.0009804,15721,32100
DFS,171.998024,68631,59961
DFS_LIM,264.98723029999996,116627,59961
