Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0199987888,1606,1664
BA*,0.0369997025,1707,1664
EBA*,0.0369975567,1629,1664
DIJKSTRA,0.0139973164,1860,1664
DFS_NORMAL,0.0249974728,12648,1664
DFS_LIM,0.0240001678,11730,1664
BFS,0.0050029755,1789,1664
A*,0.0229992867,3237,3975
BA*,0.0359997749,2995,3975
EBA*,0.037997961,3605,3975
DIJKSTRA,0.016002655,3391,3975
DFS_NORMAL,0.0039997101,1318,3975
DFS_LIM,0.0059993267,2399,3975
BFS,0.0050003529,2021,3975
A*,0.0180001259,1355,2126
BA*,0.0300004482,442,2126
EBA*,0.0310001373,743,2126
DIJKSTRA,0.0120000839,1570,2126
DFS_NORMAL,0.0030004978,406,2126
DFS_LIM,0.003000021,660,2126
BFS,0.0030002594,612,2126
A*,0.0460095406,12138,7256
BA*,0.0469989777,6539,7256
EBA*,0.0469996929,6282,7256
DIJKSTRA,0.0370087624,12198,7256
DFS_NORMAL,0.0190007687,9905,7256
DFS_LIM,0.0139994621,6643,7256
BFS,0.0230000019,11841,7256
A*,0.0200002193,2178,3494
BA*,0.0360007286,2837,3494
EBA*,0.037001133,2945,3494
DIJKSTRA,0.0130004883,2214,3494
DFS_NORMAL,0.0039999485,738,3494
DFS_LIM,0.0059995651,2296,3494
BFS,0.0050001144,1953,3494
A*,0.0350000858,7831,6005
BA*,0.0460004807,6762,6005
EBA*,0.0469994545,6686,6005
DIJKSTRA,0.0260002613,7831,6005
DFS_NORMAL,0.0140001774,7161,6005
DFS_LIM,0.0050001144,1718,6005
BFS,0.0069999695,2804,6005
A*,0.0160002708,451,834
BA*,0.0310001373,585,834
EBA*,0.0320003033,726,834
DIJKSTRA,0.0100002289,491,834
DFS_NORMAL,0.0070002079,2994,834
DFS_LIM,0.0039999485,1072,834
BFS,0.0030004978,683,834
A*,0.0329999924,7124,6053
BA*,0.0359995365,2649,6053
EBA*,0.0370004177,2827,6053
DIJKSTRA,0.0249998569,7126,6053
DFS_NORMAL,0.0220000744,12308,6053
DFS_LIM,0.0229992867,12714,6053
BFS,0.0069999695,3477,6053
A*,0.0210003853,2339,1342
BA*,0.0319998264,1101,1342
EBA*,0.0329945087,1387,1342
DIJKSTRA,0.012999773,2358,1342
DFS_NORMAL,0.0209875107,10116,1342
DFS_LIM,0.004001379,934,1342
BFS,0.0070021152,1904,1342
A*,0.0250012875,4253,4144
BA*,0.039000988,4235,4144
EBA*,0.039999485,3938,4144
DIJKSTRA,0.0190024376,4490,4144
DFS_NORMAL,0.0199999809,11461,4144
DFS_LIM,0.0119998455,6093,4144
BFS,0.0089969635,3855,4144
A*,0.0350003242,7593,6188
BA*,0.0419995785,5283,6188
EBA*,0.0440001488,5528,6188
DIJKSTRA,0.0259997845,7596,6188
DFS_NORMAL,0.0149998665,7799,6188
DFS_LIM,0.0230002403,12727,6188
BFS,0.0150001049,7596,6188
A*,0.0259997845,4077,4428
BA*,0.0390000343,3574,4428
EBA*,0.0410006046,3928,4428
DIJKSTRA,0.0180001259,4116,4428
DFS_NORMAL,0.006000042,2495,4428
DFS_LIM,0.0080001354,2955,4428
BFS,0.010999918,4865,4428
A*,0.0210001469,2249,2773
BA*,0.0350000858,2244,2773
EBA*,0.0360000134,2268,2773
DIJKSTRA,0.0130000114,2271,2773
DFS_NORMAL,0.0090005398,4023,2773
DFS_LIM,0.0099999905,4615,2773
BFS,0.0059998035,2791,2773
A*,0.0290000439,5634,5451
BA*,0.048999548,7612,5451
EBA*,0.0469996929,6535,5451
DIJKSTRA,0.0220003128,5674,5451
DFS_NORMAL,0.021999836,12298,5451
DFS_LIM,0.0230000019,12442,5451
BFS,0.0130000114,6081,5451
A*,0.02099967,2479,2762
BA*,0.0350022316,2193,2762
EBA*,0.0339999199,1914,2762
DIJKSTRA,0.013999939,2730,2762
DFS_NORMAL,0.0200026035,11104,2762
DFS_LIM,0.0050029755,1471,2762
BFS,0.0050001144,1901,2762
A*,0.0249993801,3862,5460
BA*,0.0460002422,6396,5460
EBA*,0.045999527,5969,5460
DIJKSTRA,0.0180001259,3921,5460
DFS_NORMAL,0.0149998665,7242,5460
