Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0510005951,12441,890
BA*,0.053999424,8793,914
EBA*,0.0490002632,7276,1004
DIJKSTRA,0.039999485,12604,890
DFS_NORMAL,0.006000042,1920,4540
DFS_LIM,0.0089998245,3898,7546
BFS,0.0200002193,11314,1288
A*,0.0460135937,10249,485
BA*,0.0470001698,5972,485
EBA*,0.0450017452,5461,485
DIJKSTRA,0.0379874706,11315,485
DFS_NORMAL,0.0079996586,3377,5415
DFS_LIM,0.0089995861,3744,4829
BFS,0.018999815,10417,645
A*,0.0539975166,12825,723
BA*,0.0449974537,5607,731
EBA*,0.0479996204,6354,733
DIJKSTRA,0.0420000553,12860,723
DFS_NORMAL,0.021999836,11083,13611
DFS_LIM,0.0200002193,10040,9421
BFS,0.0230000019,13207,3455
A*,0.0479977131,10424,540
BA*,0.0460007191,5627,540
EBA*,0.0429866314,4306,540
DIJKSTRA,0.0399987698,11928,540
DFS_NORMAL,0.0169997215,8267,9892
DFS_LIM,0.0200030804,9616,5194
BFS,0.0230009556,12837,1470
A*,0.0339972973,6156,459
BA*,0.0429999828,4485,465
EBA*,0.0429999828,4513,465
DIJKSTRA,0.0310025215,8751,459
DFS_NORMAL,0.018999815,9440,8011
DFS_LIM,0.0200004578,9615,8391
BFS,0.0170109272,9790,1019
A*,0.0430016518,6583,398
BA*,0.049002409,5846,398
EBA*,0.0490000248,5826,398
DIJKSTRA,0.0340015888,9097,398
DFS_NORMAL,0.0219991207,10873,7764
DFS_LIM,0.0089995861,3098,1148
BFS,0.0230004787,10997,1202
A*,0.0290021896,3800,398
BA*,0.0449995995,4099,398
EBA*,0.0429985523,3734,398
DIJKSTRA,0.0310003757,7847,398
DFS_NORMAL,0.022998333,10202,11320
DFS_LIM,0.015999794,7382,4012
BFS,0.0149991512,7564,654
A*,0.0889997482,10605,495
BA*,0.080999136,5724,503
EBA*,0.0759990215,5163,499
DIJKSTRA,0.0739991665,12665,495
DFS_NORMAL,0.0259995461,11086,6593
DFS_LIM,0.0139992237,5477,6825
BFS,0.0219993591,9776,571
A*,0.0619981289,13060,1070
BA*,0.0640010834,7666,1070
EBA*,0.0789988041,7605,1070
DIJKSTRA,0.0480005741,13069,1070
DFS_NORMAL,0.0189976692,6060,7228
DFS_LIM,0.0129992962,5727,6186
BFS,0.0249991417,13019,1418
A*,0.0550003052,7404,416
BA*,0.0590002537,5875,442
EBA*,0.0559999943,5932,442
DIJKSTRA,0.0419988632,10217,416
DFS_NORMAL,0.0149996281,6056,9884
DFS_LIM,0.0219979286,9409,9530
BFS,0.0250008106,10762,502
