Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0010001659,13,10
BA*,0.0020022392,13,10
EBA*,0.0020000935,13,10
DIJKSTRA,0.0,22,10
DFS_NORMAL,0.0,4,10
DFS_LIM,0.0,4,10
BFS,0.0009996891,13,10
A*,0.0009999275,3,3
BA*,0.0020008087,4,3
EBA*,0.0010006428,4,3
DIJKSTRA,0.0,7,3
DFS_NORMAL,0.0010006428,305,377
DFS_LIM,0.0010008812,157,21
BFS,0.0009980202,4,3
A*,0.0020003319,106,26
BA*,0.0020000935,57,26
EBA*,0.0020027161,56,26
DIJKSTRA,0.0010001659,324,26
DFS_NORMAL,0.0010008812,291,568
DFS_LIM,0.0,342,504
BFS,0.0010015965,388,26
A*,0.0019996166,173,38
BA*,0.0030004978,91,38
EBA*,0.003000021,91,38
DIJKSTRA,0.0030004978,467,38
DFS_NORMAL,0.0029995441,884,212
DFS_LIM,0.0029995441,644,816
BFS,0.0070002079,607,38
A*,0.001999855,45,26
BA*,0.003000021,73,26
EBA*,0.0030007362,82,26
DIJKSTRA,0.0029993057,332,26
DFS_NORMAL,0.0020005703,763,540
DFS_LIM,0.0010008812,270,86
BFS,0.0010011196,362,26
A*,0.0010001659,39,16
BA*,0.0039999485,30,16
EBA*,0.0020022392,32,16
DIJKSTRA,0.0,88,16
DFS_NORMAL,0.001001358,278,264
DFS_LIM,0.0010004044,233,16
BFS,0.0010001659,119,16
A*,0.0019989014,143,32
BA*,0.0040009022,68,32
EBA*,0.0020008087,62,32
DIJKSTRA,0.0019993782,366,32
DFS_NORMAL,0.0020031929,903,480
DFS_LIM,0.0,296,450
BFS,0.0009987354,195,450
A*,0.0020008087,156,45
BA*,0.0019996166,236,45
EBA*,0.0019967556,207,45
DIJKSTRA,0.0010008812,279,45
DFS_NORMAL,0.0009987354,310,397
DFS_LIM,0.0009994507,74,97
BFS,0.0010015965,282,273
A*,0.0020017624,117,38
BA*,0.0030002594,120,38
EBA*,0.0020008087,93,38
DIJKSTRA,0.0020020008,235,38
DFS_NORMAL,0.0019991398,658,1058
DFS_LIM,0.0009973049,570,72
BFS,0.0,142,72
A*,0.0020010471,263,55
BA*,0.0029990673,209,55
EBA*,0.0020022392,256,55
DIJKSTRA,0.0020003319,454,55
DFS_NORMAL,0.0009968281,241,229
DFS_LIM,0.0,231,197
BFS,0.001001358,390,55
A*,0.0009994507,7,7
BA*,0.0009996891,10,7
EBA*,0.0020010471,11,7
DIJKSTRA,0.0009992123,38,7
DFS_NORMAL,0.0,220,417
DFS_LIM,0.0,77,19
BFS,0.0,38,7
A*,0.0009992123,128,44
BA*,0.0020027161,136,44
EBA*,0.0019974709,176,44
DIJKSTRA,0.0020022392,739,44
DFS_NORMAL,0.0,77,136
DFS_LIM,0.0,141,92
BFS,0.0009999275,399,44
A*,0.0009994507,296,61
BA*,0.0029988289,387,61
EBA*,0.0030002594,374,61
