Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0019996166,236,51
BA*,0.0030021667,382,51
EBA*,0.0019984245,287,51
DIJKSTRA,0.0019991398,705,51
DFS_NORMAL,0.0020008087,794,1119
DFS_LIM,0.000998497,677,541
BFS,0.0020003319,823,51
A*,0.001999855,74,34
BA*,0.0030014515,108,34
EBA*,0.001999855,97,34
DIJKSTRA,0.0020012856,434,34
DFS_NORMAL,0.0,201,528
DFS_LIM,0.0009994507,259,532
BFS,0.0010023117,455,34
A*,0.0020005703,545,72
BA*,0.0029988289,386,72
EBA*,0.0030004978,376,72
DIJKSTRA,0.0019962788,804,72
DFS_NORMAL,0.0,157,110
DFS_LIM,0.0,219,198
BFS,0.0020005703,857,306
A*,0.0029988289,719,80
BA*,0.0020000935,332,80
EBA*,0.0029995441,473,92
DIJKSTRA,0.0020022392,875,80
DFS_NORMAL,0.0010008812,647,666
DFS_LIM,0.001001358,652,596
BFS,0.0009999275,760,132
A*,0.0039978027,798,88
BA*,0.0019979477,78,88
EBA*,0.0020000935,75,88
DIJKSTRA,0.0030012131,902,88
DFS_NORMAL,0.0010018349,690,732
DFS_LIM,0.0009996891,558,554
BFS,0.0010001659,497,88
A*,0.0020000935,367,58
BA*,0.0019993782,246,58
EBA*,0.0020003319,289,58
DIJKSTRA,0.0020000935,751,58
DFS_NORMAL,0.001999855,835,582
DFS_LIM,0.0020000935,815,1268
BFS,0.0009982586,869,80
A*,0.000998497,304,56
BA*,0.003002882,460,56
EBA*,0.0029976368,535,64
DIJKSTRA,0.0020012856,599,56
DFS_NORMAL,0.0,106,142
DFS_LIM,0.0,172,156
BFS,0.0010004044,603,90
A*,0.0029990673,606,75
BA*,0.0030002594,438,75
EBA*,0.0030045509,405,75
DIJKSTRA,0.0020000935,833,75
DFS_NORMAL,0.0,208,223
DFS_LIM,0.0009987354,467,599
BFS,0.0009992123,837,89
A*,0.0009982586,154,57
BA*,0.0019996166,207,59
EBA*,0.0020000935,203,59
DIJKSTRA,0.0020027161,508,57
DFS_NORMAL,0.001996994,524,891
DFS_LIM,0.0020017624,539,681
BFS,0.0010006428,587,57
A*,0.001001358,105,49
BA*,0.0020000935,152,49
EBA*,0.0020000935,271,49
DIJKSTRA,0.0020010471,745,49
DFS_NORMAL,0.0009982586,505,811
DFS_LIM,0.0010004044,414,719
BFS,0.0009977818,868,63
A*,0.0019996166,218,57
BA*,0.002001524,283,57
EBA*,0.0029995441,357,57
DIJKSTRA,0.002001524,559,57
DFS_NORMAL,0.0,194,181
DFS_LIM,0.0009989738,453,299
BFS,0.0009999275,715,57
A*,0.0010001659,53,31
BA*,0.0020012856,88,31
EBA*,0.0020012856,77,31
DIJKSTRA,0.0020003319,453,31
DFS_NORMAL,0.0009992123,622,1167
DFS_LIM,0.0010001659,701,927
BFS,0.0010015965,625,31
A*,0.0020000935,303,61
BA*,0.001999855,172,61
EBA*,0.0019984245,299,61
DIJKSTRA,0.0021288395,741,61
DFS_NORMAL,0.0019996166,675,685
DFS_LIM,0.0009965897,679,633
BFS,0.0020008087,817,61
A*,0.0020008087,332,66
BA*,0.0019996166,380,68
EBA*,0.0029988289,305,68
DIJKSTRA,0.0019991398,768,66
DFS_NORMAL,0.0020010471,678,872
DFS_LIM,0.0010008812,618,332
BFS,0.0009999275,804,296
A*,0.0009989738,163,59
BA*,0.0020003319,215,61
EBA*,0.0030019283,317,59
DIJKSTRA,0.0020003319,779,59
DFS_NORMAL,0.0,150,195
DFS_LIM,0.0019993782,873,255
BFS,0.001001358,875,401
A*,0.0030004978,465,93
BA*,0.0039999485,238,95
EBA*,0.0030016899,244,95
DIJKSTRA,0.0029983521,784,93
DFS_NORMAL,0.0010018349,244,789
