Algorithm_name,Execution Time (s),Path Length (cells),Searched Cells (%),Total Path Cost
A*_manhattan_heuristic,0.002,69,453,81
A*_taxicab_heuristic,0.002,69,453,81
A*_chebyshev_heuristic,0.002,69,453,81
DJIKSTRA,0.003,69,1215,81
DFS_NORMAL,0.002,411,961,815
DFS_LIM,0.002,255,873,505
BFS,0.002,69,1326,117
A*_manhattan_heuristic,0.004,61,289,61
A*_taxicab_heuristic,0.003,61,289,61
A*_chebyshev_heuristic,0.003,61,289,61
DJIKSTRA,0.003,61,841,61
DFS_NORMAL,0.002,511,725,1103
DFS_LIM,0.001,323,595,495
BFS,0.001,61,1054,61
A*_manhattan_heuristic,0.005,85,805,101
A*_taxicab_heuristic,0.014,85,805,101
A*_chebyshev_heuristic,0.009,85,805,101
DJIKSTRA,0.008,85,1384,101
DFS_NORMAL,0.002,413,766,755
DFS_LIM,0.002,227,853,299
BFS,0.004,85,1395,101
A*_manhattan_heuristic,0.002,31,76,31
A*_taxicab_heuristic,0.003,31,76,31
A*_chebyshev_heuristic,0.001,31,76,31
DJIKSTRA,0.003,31,527,31
DFS_NORMAL,0.002,489,759,789
DFS_LIM,0.002,489,783,789
BFS,0.001,31,583,31
A*_manhattan_heuristic,0.003,61,287,61
A*_taxicab_heuristic,0.003,61,287,61
A*_chebyshev_heuristic,0.003,61,287,61
DJIKSTRA,0.002,61,625,61
DFS_NORMAL,0.004,109,1370,137
DFS_LIM,0.004,109,1371,137
BFS,0.003,61,1032,61
A*_manhattan_heuristic,0.002,43,112,43
A*_taxicab_heuristic,0.002,43,112,43
A*_chebyshev_heuristic,0.002,43,112,43
DJIKSTRA,0.002,43,523,43
DFS_NORMAL,0.003,601,801,989
DFS_LIM,0.003,601,804,989
BFS,0.001,43,615,43
A*_manhattan_heuristic,0.004,90,795,90
A*_taxicab_heuristic,0.004,90,795,90
A*_chebyshev_heuristic,0.004,90,795,90
DJIKSTRA,0.004,90,1342,90
DFS_NORMAL,0.001,452,527,792
DFS_LIM,0.002,330,626,454
BFS,0.002,72,1299,132
A*_manhattan_heuristic,0.004,90,988,90
A*_taxicab_heuristic,0.004,90,988,90
A*_chebyshev_heuristic,0.005,90,988,90
DJIKSTRA,0.005,90,1381,90
DFS_NORMAL,0.003,152,1418,368
DFS_LIM,0.002,132,1236,184
BFS,0.003,74,1409,150
A*_manhattan_heuristic,0.003,63,308,63
A*_taxicab_heuristic,0.0025,63,308,63
A*_chebyshev_heuristic,0.002,63,308,63
DJIKSTRA,0.004,63,1151,63
DFS_NORMAL,0.002,547,855,885
DFS_LIM,0.002,461,837,757
BFS,0.003,63,1419,63
A*_manhattan_heuristic,0.001,40,118,40
A*_taxicab_heuristic,0.002,40,118,40
A*_chebyshev_heuristic,0.002,40,118,40
DJIKSTRA,0.002,40,580,40
DFS_NORMAL,0.002,506,852,876
DFS_LIM,0.002,340,858,592
BFS,0.002,40,726,60
A*_manhattan_heuristic,0.005,76,498,80
A*_taxicab_heuristic,0.004,76,498,80
A*_chebyshev_heuristic,0.004,76,498,80
DJIKSTRA,0.0055,76,1209,80
DFS_NORMAL,0.004,686,1035,1366
DFS_LIM,0.003,582,1041,1134
BFS,0.003,72,1397,104
A*_manhattan_heuristic,0.003,62,334,62
A*_taxicab_heuristic,0.003,62,334,62
A*_chebyshev_heuristic,0.002,62,334,62
DJIKSTRA,0.004,62,1037,62
DFS_NORMAL,0.002,84,1405,104
DFS_LIM,0.003,84,1412,104
BFS,0.002,60,1116,80
A*_manhattan_heuristic,0.003,72,761,100
A*_taxicab_heuristic,0.004,72,761,100
A*_chebyshev_heuristic,0.003,72,761,100
DJIKSTRA,0.0035,72,1144,100
DFS_NORMAL,0.002,506,747,988
DFS_LIM,0.002,452,855,882
BFS,0.0011,46,754,104
A*_manhattan_heuristic,0.002,44,352,60
A*_taxicab_heuristic,0.002,44,352,60
A*_chebyshev_heuristic,0.0023,44,352,60
DJIKSTRA,0.004,44,1124,60
DFS_NORMAL,0.001,454,785,928
