Algorithm_name,Execution Time (s),Path Length (cells),Searched Cells (%),Total Path Cost
BFS,19.361,4514,7168757,7506
A*_manhattan_heuristic,31.58,5816,2068552,5816
A*_taxicab_heuristic,35.893,5816,2068552,5816
A*_chebyshev_heuristic,34.0257,5816,2068552,5816
DJIKSTRA,59.9526,5816,8601550,5816
DFS_NORMAL,8.4121,752420,1225627,1644096
DFS_LIM,10.3597,749920,2060188,1639256
BFS,27.8093,5686,8670971,12274
A*_manhattan_heuristic,60.9011,2721,626918,2721
A*_taxicab_heuristic,18.6462,2721,626918,2721
A*_chebyshev_heuristic,19.583,2721,626918,2721
DJIKSTRA,32.6411,2721,4648649,2721
DFS_NORMAL,15.1276,2709537,4451412,4416663
DFS_LIM,15.2617,2663239,4452503,4334917
BFS,15.2592,2609,4569937,6595
A*_manhattan_heuristic,25.6508,4996,1959450,5004
A*_taxicab_heuristic,24.8919,4996,1959450,5004
A*_chebyshev_heuristic,25.5515,4996,1959450,5004
DJIKSTRA,40.7803,4996,6792341,5004
DFS_NORMAL,19.6026,2848388,7557597,5092200
DFS_LIM,19.9541,2821506,7525508,5050890
BFS,19.0621,4844,6719147,9072
A*_manhattan_heuristic,29.921,5962,1977407,5962
A*_taxicab_heuristic,29.6869,5962,1977407,5962
A*_chebyshev_heuristic,29.3546,5962,1977407,5962
DJIKSTRA,57.4826,5962,9156330,5962
DFS_NORMAL,24.0904,519226,8906878,927444
DFS_LIM,23.9622,519266,8891019,926280
BFS,29.7097,5862,9169201,14744
A*_manhattan_heuristic,32.437,5086,2072133,5090
A*_taxicab_heuristic,31.6625,5086,2072133,5090
A*_chebyshev_heuristic,31.1702,5086,2072133,5090
DJIKSTRA,56.8367,5086,8362388,5090
DFS_NORMAL,10.2521,1377674,2281610,2676792
DFS_LIM,10.8227,1236286,2536843,2442750
BFS,27.1392,4922,8289860,10696
A*_manhattan_heuristic,28.1971,4578,1537734,4578
A*_taxicab_heuristic,28.4056,4578,1537734,4578
A*_chebyshev_heuristic,29.2844,4578,1537734,4578
DJIKSTRA,53.8377,4578,7650299,4578
DFS_NORMAL,18.0125,2942018,4860760,4981032
DFS_LIM,18.4443,2942686,4855090,4979680
BFS,26.6368,4538,7782575,7902
A*_manhattan_heuristic,51.4058,2972,750236,2972
A*_taxicab_heuristic,22.0495,2972,750236,2972
A*_chebyshev_heuristic,22.3393,2972,750236,2972
DJIKSTRA,33.7831,2972,4222096,2972
DFS_NORMAL,17.007,2725352,4494623,4386040
DFS_LIM,17.3768,2711076,4504526,4368588
BFS,16.4796,2898,4232875,4682
A*_manhattan_heuristic,22.0693,4407,1135499,4407
A*_taxicab_heuristic,23.196,4407,1135499,4407
A*_chebyshev_heuristic,22.1943,4407,1135499,4407
DJIKSTRA,56.3758,4407,8382373,4407
DFS_NORMAL,5.7824,695961,1119250,1253511
DFS_LIM,5.9721,640315,1131624,1180717
BFS,29.0219,4307,8483689,11015
A*_manhattan_heuristic,48.0372,5651,4208704,5991
A*_taxicab_heuristic,47.1445,5651,4208704,5991
A*_chebyshev_heuristic,47.4185,5651,4208704,5991
DJIKSTRA,63.2627,5651,9057032,5991
DFS_NORMAL,6.1479,348875,569979,619437
DFS_LIM,5.9863,143977,589667,309703
BFS,30.6818,5469,8864878,11357
A*_manhattan_heuristic,22.2626,3924,732245,3924
A*_taxicab_heuristic,21.9333,3924,732245,3924
A*_chebyshev_heuristic,21.8019,3924,732245,3924
DJIKSTRA,36.5311,3924,4998879,3924
DFS_NORMAL,13.5234,2056096,3478371,3312114
DFS_LIM,13.6816,1878748,3481767,3005366
BFS,17.1432,3862,5065048,7346
A*_manhattan_heuristic,28.3817,4862,1139697,4862
A*_taxicab_heuristic,30.1541,4862,1139697,4862
A*_chebyshev_heuristic,27.9137,4862,1139697,4862
DJIKSTRA,64.8655,4862,7527615,4862
DFS_NORMAL,7.443,604120,981844,1153698
DFS_LIM,7.5056,607314,1007757,1159108
BFS,24.804,4792,7588109,9854
A*_manhattan_heuristic,72.3595,3697,1044934,3697
A*_taxicab_heuristic,23.0807,3697,1044934,3697
A*_chebyshev_heuristic,23.099,3697,1044934,3697
DJIKSTRA,37.0264,3697,5073473,3697
DFS_NORMAL,16.823,2854665,4718473,4645957
DFS_LIM,17.264,2854391,4719035,4645683
BFS,17.552,3649,5147286,5469
A*_manhattan_heuristic,24.47,6068,1608597,6068
A*_taxicab_heuristic,24.348,6068,1608597,6068
A*_chebyshev_heuristic,24.595,6068,1608597,6068
DJIKSTRA,51.1649,6068,8229496,6068
DFS_NORMAL,14.444,2812788,4634637,4860782
DFS_LIM,15.031,2775578,4610792,4807508
BFS,23.436,6024,8324048,11592
A*_manhattan_heuristic,50.6886,2891,735939,2895
A*_taxicab_heuristic,21.844,2891,735939,2895
A*_chebyshev_heuristic,22.158,2891,735939,2895
DJIKSTRA,30.856,2891,4271501,2895
DFS_NORMAL,13.512,2028147,3333743,3986703
DFS_LIM,13.475,1518885,3420576,3116203
BFS,14.436,2767,4154171,4987
A*_manhattan_heuristic,24.8038,4308,1447146,4394
A*_taxicab_heuristic,25.504,4308,1447146,4394
A*_chebyshev_heuristic,23.409,4308,1447146,4394
DJIKSTRA,62.4999,4304,8787818,4394
DFS_NORMAL,9.5122,1519414,2492292,2964078
DFS_LIM,9.327,1449804,2415057,2828844
BFS,27.4005,4194,8783433,11580
A*_manhattan_heuristic,28.348,4293,1533452,4293
A*_taxicab_heuristic,52.2277,4293,1533452,4293
A*_chebyshev_heuristic,27.024,4293,1533452,4293
DJIKSTRA,51.098,4293,7690899,4293
DFS_NORMAL,9.907,1156487,1893794,2076037
DFS_LIM,10.274,1152339,1892354,2065653
BFS,25.5101,4207,7709936,9511
A*_manhattan_heuristic,67.7834,5319,3477329,5627
A*_taxicab_heuristic,35.389,5319,3477329,5627
A*_chebyshev_heuristic,35.583,5319,3477329,5627
DJIKSTRA,49.9616,5319,8063456,5627
DFS_NORMAL,7.382,1040781,1692913,2166861
DFS_LIM,7.906,1030875,1820357,2151767
BFS,23.02,5195,7535145,13373
A*_manhattan_heuristic,20.414,3320,808621,3320
A*_taxicab_heuristic,18.663,3320,808621,3320
A*_chebyshev_heuristic,19.436,3320,808621,3320
DJIKSTRA,44.3743,3320,6881394,3320
