Algorithm_name,Execution Time (s),Path Length (cells),Searched Cells (%),Total Path Cost
A*_manhattan_heuristic,17.5322,2736,473729,2832
A*_taxicab_heuristic,15.2766,2736,473729,2832
A*_chebyshev_heuristic,15.8842,2736,473729,2832
DJIKSTRA,29.9671,2736,4624551,2832
DFS_NORMAL,19.3256,2643958,7633743,4610610
DFS_LIM,19.9267,2524126,7709055,4452770
BFS,14.6732,2696,4692746,4028
A*_manhattan_heuristic,24.8302,3950,1980879,4188
A*_taxicab_heuristic,26.3693,3950,1980879,4188
A*_chebyshev_heuristic,25.0463,3950,1980879,4188
DJIKSTRA,49.8909,3950,8261507,4188
DFS_NORMAL,13.4711,2730982,4531550,4816694
DFS_LIM,13.8659,2680286,4496362,4718454
BFS,23.4072,3872,7878964,9122
A*_manhattan_heuristic,46.5549,4353,1832265,4367
A*_taxicab_heuristic,27.4758,4353,1832265,4367
A*_chebyshev_heuristic,27.0783,4353,1832265,4367
DJIKSTRA,56.5934,4353,8568060,4367
DFS_NORMAL,12.243,1673961,2959833,2691019
DFS_LIM,11.7095,1602749,2869910,2585995
BFS,29.8103,4165,8494478,6461
A*_manhattan_heuristic,33.661,7025,2804234,7025
A*_taxicab_heuristic,31.323,7025,2804234,7025
A*_chebyshev_heuristic,30.4691,7025,2804234,7025
DJIKSTRA,50.5967,7025,9033845,7025
DFS_NORMAL,19.8225,4092081,6854300,7366823
DFS_LIM,19.5943,4089371,6861868,7364113
BFS,23.8194,6925,9064287,15613
A*_manhattan_heuristic,28.3203,4879,1857388,4879
A*_taxicab_heuristic,29.5,4879,1857388,4879
A*_chebyshev_heuristic,28.6444,4879,1857388,4879
DJIKSTRA,52.3461,4879,7905707,4879
DFS_NORMAL,20.0219,3560693,5892163,6506699
DFS_LIM,20.1986,3289551,5954161,6079293
BFS,25.9605,4781,7950109,8007
A*_manhattan_heuristic,23.956,4604,1277512,4604
A*_taxicab_heuristic,23.445,4604,1277512,4604
A*_chebyshev_heuristic,23.494,4604,1277512,4604
DJIKSTRA,52.132,4604,8598663,4604
DFS_NORMAL,21.725,727576,8643344,1485360
DFS_LIM,22.385,637848,8817406,1326504
BFS,25.363,4520,8660466,11026
A*_manhattan_heuristic,30.397,4156,1997393,4310
A*_taxicab_heuristic,30.301,4156,1997393,4310
A*_chebyshev_heuristic,30.293,4156,1997393,4310
DJIKSTRA,40.848,4156,6354979,4310
DFS_NORMAL,11.248,1548746,2565228,3200548
DFS_LIM,11.457,1548740,2585550,3199154
BFS,18.892,4016,5921375,8804
A*_manhattan_heuristic,30.949,5519,2133484,5519
A*_taxicab_heuristic,30.468,5519,2133484,5519
A*_chebyshev_heuristic,29.982,5519,2133484,5519
DJIKSTRA,53.428,5519,9158240,5519
DFS_NORMAL,22.296,47913,9181491,137763
DFS_LIM,22.677,48047,9021702,137471
BFS,26.832,5413,9170498,8787
A*_manhattan_heuristic,21.422,2600,565893,2704
A*_taxicab_heuristic,25.306,2600,565893,2704
A*_chebyshev_heuristic,42.4065,2600,565893,2704
DJIKSTRA,36.832,2600,5255130,2704
DFS_NORMAL,10.995,1486248,2411950,2869826
DFS_LIM,11.402,1178062,2649627,2320512
BFS,18.905,2488,5165830,6034
A*_manhattan_heuristic,21.9,4588,1542578,4596
A*_taxicab_heuristic,21.832,4588,1542578,4596
A*_chebyshev_heuristic,21.85,4588,1542578,4596
DJIKSTRA,39.595,4592,7116036,4596
DFS_NORMAL,11.151,2190464,3623850,4228436
DFS_LIM,9.206,1351986,2772729,2834878
