Algorithm_name,Execution Time (s),Path Length (cells),Searched Cells (%),Total Path Cost
DFS_NORMAL,0.6301,78726,131629,135720
DFS_LIM,0.3966,80888,144878,139050
BFS,0.3421,534,148986,894
A*_manhattan_heuristic,0.4813,727,46952,779
A*_taxicab_heuristic,0.4814,727,46952,779
A*_chebyshev_heuristic,0.4809,727,46952,779
DJIKSTRA,1.0381,727,233701,779
DFS_NORMAL,0.7008,89051,143858,148101
DFS_LIM,0.3962,87293,144709,145903
BFS,0.5021,667,228315,1389
A*_manhattan_heuristic,0.5548,820,61005,820
A*_taxicab_heuristic,0.5516,820,61005,820
A*_chebyshev_heuristic,0.5542,820,61005,820
DJIKSTRA,1.0403,820,254279,820
DFS_NORMAL,0.8085,113210,199819,199958
DFS_LIM,0.5076,111444,192202,197036
BFS,0.5516,762,252276,1538
A*_manhattan_heuristic,0.3304,443,8484,443
A*_taxicab_heuristic,0.3286,443,8484,443
A*_chebyshev_heuristic,0.3685,443,8484,443
DJIKSTRA,0.698,443,148344,443
DFS_NORMAL,0.4233,26487,43074,52821
DFS_LIM,0.2126,35563,69890,71325
BFS,0.3697,439,161093,463
A*_manhattan_heuristic,0.4331,730,30084,730
A*_taxicab_heuristic,0.4324,730,30084,730
A*_chebyshev_heuristic,0.4255,730,30084,730
DJIKSTRA,0.8054,730,185640,730
DFS_NORMAL,0.6325,71942,116250,138984
DFS_LIM,0.1787,30218,54223,67538
BFS,0.4738,714,196215,1690
A*_manhattan_heuristic,0.5679,762,62198,762
A*_taxicab_heuristic,0.5687,762,62198,762
A*_chebyshev_heuristic,0.5688,762,62198,762
DJIKSTRA,1.0208,762,228609,762
DFS_NORMAL,0.7519,102528,164866,176700
DFS_LIM,0.438,90754,162855,156246
BFS,0.4697,692,214557,1612
A*_manhattan_heuristic,0.3999,557,25923,557
A*_taxicab_heuristic,0.4004,557,25923,557
A*_chebyshev_heuristic,0.3929,557,25923,557
DJIKSTRA,0.7807,557,175509,557
DFS_NORMAL,0.8822,20861,274840,33443
DFS_LIM,0.5397,44309,236448,68627
BFS,0.4062,535,179600,791
A*_manhattan_heuristic,0.7111,999,84991,999
A*_taxicab_heuristic,0.7271,999,84991,999
A*_chebyshev_heuristic,0.6777,999,84991,999
DJIKSTRA,1.0061,999,244623,999
DFS_NORMAL,0.7112,93537,155049,157227
DFS_LIM,0.4202,92239,155173,155805
BFS,0.5196,949,241964,1875
A*_manhattan_heuristic,0.6459,1113,77881,1113
A*_taxicab_heuristic,0.7356,1113,77881,1113
A*_chebyshev_heuristic,0.6723,1113,77881,1113
DJIKSTRA,1.164,1113,274046,1113
DFS_NORMAL,0.4809,22269,34314,41467
DFS_LIM,0.151,25161,41026,46211
BFS,0.5883,1045,276912,2829
A*_manhattan_heuristic,0.3288,368,8955,368
A*_taxicab_heuristic,0.3308,368,8955,368
A*_chebyshev_heuristic,0.3304,368,8955,368
DJIKSTRA,0.5068,368,98196,368
DFS_NORMAL,0.5488,45678,72724,96584
DFS_LIM,0.1837,23906,55052,52430
BFS,0.248,352,103799,696
A*_manhattan_heuristic,0.4371,571,34306,597
A*_taxicab_heuristic,0.4348,571,34306,597
A*_chebyshev_heuristic,0.4335,571,34306,597
DJIKSTRA,0.7974,571,179868,597
DFS_NORMAL,0.6922,81503,143699,142715
DFS_LIM,0.3741,56721,143969,102777
BFS,0.3923,525,167997,831
A*_manhattan_heuristic,0.8397,1154,110202,1154
A*_taxicab_heuristic,0.7862,1154,110202,1154
A*_chebyshev_heuristic,0.7822,1154,110202,1154
DJIKSTRA,1.0568,1154,260156,1154
DFS_NORMAL,0.6157,63226,109670,128852
DFS_LIM,0.3155,62774,109854,128440
BFS,0.58,1088,260353,1880
