Algorithm_name,Execution Time (s),Path Length (cells),Searched Cells (%),Total Path Cost
BFS,0.047,294,21601,594
A*_manhattan_heuristic,0.0641,328,10125,332
A*_taxicab_heuristic,0.0651,328,10125,332
A*_chebyshev_heuristic,0.0655,328,10125,332
DJIKSTRA,0.0831,328,21328,332
DFS_NORMAL,0.043,9680,16631,16562
DFS_LIM,0.044,9230,16899,16004
BFS,0.049,296,21567,544
A*_manhattan_heuristic,0.054,187,6769,231
A*_taxicab_heuristic,0.049,187,6769,231
A*_chebyshev_heuristic,0.053,187,6769,231
DJIKSTRA,0.0791,187,18459,231
DFS_NORMAL,0.032,7937,12217,13791
DFS_LIM,0.035,7459,12489,12877
BFS,0.0321,175,15243,307
A*_manhattan_heuristic,0.0415,179,2007,179
A*_taxicab_heuristic,0.037,179,2007,179
A*_chebyshev_heuristic,0.0325,179,2007,179
DJIKSTRA,0.056,179,13322,179
DFS_NORMAL,0.0345,7955,13671,13117
DFS_LIM,0.0642,7237,14365,12275
BFS,0.0315,175,14396,255
A*_manhattan_heuristic,0.0291,149,1137,149
A*_taxicab_heuristic,0.0293,149,1137,149
A*_chebyshev_heuristic,0.028,149,1137,149
DJIKSTRA,0.048,149,11482,149
DFS_NORMAL,0.0345,8191,13706,14489
DFS_LIM,0.038,4157,14938,8379
BFS,0.0295,145,12884,253
A*_manhattan_heuristic,0.0385,197,3901,197
A*_taxicab_heuristic,0.038,197,3901,197
A*_chebyshev_heuristic,0.0375,197,3901,197
DJIKSTRA,0.0685,197,17258,197
DFS_NORMAL,0.0245,6007,9120,11137
DFS_LIM,0.0165,2247,4227,4573
BFS,0.0395,193,18764,265
A*_manhattan_heuristic,0.044,251,5128,251
A*_taxicab_heuristic,0.0444,251,5128,251
A*_chebyshev_heuristic,0.043,251,5128,251
DJIKSTRA,0.056,251,13430,251
DFS_NORMAL,0.0335,8089,12287,13285
DFS_LIM,0.0355,7889,12299,12977
BFS,0.031,243,14972,355
A*_manhattan_heuristic,0.0289,195,1850,195
A*_taxicab_heuristic,0.0285,195,1850,195
A*_chebyshev_heuristic,0.0295,195,1850,195
DJIKSTRA,0.0603,195,16269,195
DFS_NORMAL,0.0122,3007,4273,6447
DFS_LIM,0.0178,2419,5601,4315
BFS,0.038,183,18370,359
A*_manhattan_heuristic,0.0395,308,3850,308
A*_taxicab_heuristic,0.0365,308,3850,308
A*_chebyshev_heuristic,0.038,308,3850,308
DJIKSTRA,0.0771,308,22470,308
DFS_NORMAL,0.0385,9148,13927,16978
DFS_LIM,0.035,7924,14301,15242
BFS,0.0445,298,22770,570
A*_manhattan_heuristic,0.0577,323,8839,331
A*_taxicab_heuristic,0.0557,323,8839,331
A*_chebyshev_heuristic,0.0535,323,8839,331
DJIKSTRA,0.0766,327,20848,331
DFS_NORMAL,0.0435,7797,18364,14387
DFS_LIM,0.033,6573,13020,12379
BFS,0.045,293,21686,533
A*_manhattan_heuristic,0.0499,299,6930,299
A*_taxicab_heuristic,0.0498,299,6930,299
A*_chebyshev_heuristic,0.049,299,6930,299
DJIKSTRA,0.0788,299,21322,299
DFS_NORMAL,0.008,1251,1736,1953
DFS_LIM,0.01,997,3073,1691
BFS,0.0464,285,22256,357
A*_manhattan_heuristic,0.0335,183,3164,203
A*_taxicab_heuristic,0.035,183,3164,203
A*_chebyshev_heuristic,0.0343,183,3164,203
DJIKSTRA,0.061,183,15893,203
DFS_NORMAL,0.0215,5285,7640,10637
DFS_LIM,0.0275,3777,8741,7559
BFS,0.0315,169,15370,241
A*_manhattan_heuristic,0.034,218,3054,218
A*_taxicab_heuristic,0.0345,218,3054,218
A*_chebyshev_heuristic,0.0347,218,3054,218
DJIKSTRA,0.0521,218,13413,218
DFS_NORMAL,0.0125,2690,3945,6170
DFS_LIM,0.0445,2076,18836,5186
BFS,0.032,210,14941,266
A*_manhattan_heuristic,0.025,19,42,19
A*_taxicab_heuristic,0.0236,19,42,19
A*_chebyshev_heuristic,0.0233,19,42,19
DJIKSTRA,0.013,19,102,19
DFS_NORMAL,0.0225,5477,8666,7981
DFS_LIM,0.004,25,169,25
BFS,0.004,19,104,19
A*_manhattan_heuristic,0.07,297,12269,297
A*_taxicab_heuristic,0.067,297,12269,297
A*_chebyshev_heuristic,0.072,297,12269,297
DJIKSTRA,0.0709,297,19755,297
DFS_NORMAL,0.0465,8085,19259,15995
DFS_LIM,0.0462,7571,19225,15397
BFS,0.035,211,15471,515
A*_manhattan_heuristic,0.035,245,3146,245
A*_taxicab_heuristic,0.0355,245,3146,245
A*_chebyshev_heuristic,0.0355,245,3146,245
DJIKSTRA,0.0675,245,17933,245
DFS_NORMAL,0.0495,10687,16987,18863
DFS_LIM,0.0435,8625,16736,15933
BFS,0.0375,233,18910,489
A*_manhattan_heuristic,0.0512,244,7331,262
A*_taxicab_heuristic,0.0487,244,7331,262
A*_chebyshev_heuristic,0.0495,244,7331,262
DJIKSTRA,0.064,244,16626,262
DFS_NORMAL,0.051,4320,21744,9758
DFS_LIM,0.048,4324,21709,9774
BFS,0.0345,238,17093,284
A*_manhattan_heuristic,0.0367,346,3742,346
A*_taxicab_heuristic,0.0375,346,3742,346
A*_chebyshev_heuristic,0.0365,346,3742,346
DJIKSTRA,0.0762,346,21552,346
DFS_NORMAL,0.041,9066,14779,15276
DFS_LIM,0.0365,8788,14990,15022
BFS,0.0435,336,22335,776
A*_manhattan_heuristic,0.031,250,2285,270
A*_taxicab_heuristic,0.0315,250,2285,270
A*_chebyshev_heuristic,0.0314,250,2285,270
DJIKSTRA,0.0713,250,20117,270
DFS_NORMAL,0.0435,9858,16985,17600
DFS_LIM,0.0438,8896,17520,15558
BFS,0.043,250,21936,270
A*_manhattan_heuristic,0.0385,303,3991,303
A*_taxicab_heuristic,0.039,303,3991,303
A*_chebyshev_heuristic,0.0375,303,3991,303
DJIKSTRA,0.076,303,21261,303
DFS_NORMAL,0.051,10845,18035,20313
DFS_LIM,0.044,9253,18242,17197
BFS,0.045,303,22428,541
A*_manhattan_heuristic,0.032,182,2088,186
A*_taxicab_heuristic,0.03,182,2088,186
A*_chebyshev_heuristic,0.029,182,2088,186
DJIKSTRA,0.07,182,18205,186
DFS_NORMAL,0.039,8418,14895,15884
DFS_LIM,0.038,5046,12889,9418
BFS,0.038,160,17777,376
A*_manhattan_heuristic,0.0315,183,1977,211
A*_taxicab_heuristic,0.03,183,1977,211
A*_chebyshev_heuristic,0.03,183,1977,211
DJIKSTRA,0.0561,183,14471,211
DFS_NORMAL,0.037,8265,13936,14619
DFS_LIM,0.037,7827,13410,14109
BFS,0.0325,175,16437,287
A*_manhattan_heuristic,0.0325,193,2881,193
A*_taxicab_heuristic,0.0349,193,2881,193
A*_chebyshev_heuristic,0.0335,193,2881,193
DJIKSTRA,0.0505,193,13187,193
DFS_NORMAL,0.0465,4473,21204,9433
DFS_LIM,0.0468,4945,21083,9985
BFS,0.03,189,15012,277
A*_manhattan_heuristic,0.0531,205,8073,257
A*_taxicab_heuristic,0.0517,205,8073,257
A*_chebyshev_heuristic,0.0512,205,8073,257
DJIKSTRA,0.0791,205,20945,257
DFS_NORMAL,0.027,5957,11229,11491
DFS_LIM,0.0184,955,6505,1539
BFS,0.0375,205,18614,257
A*_manhattan_heuristic,0.0495,264,7593,264
A*_taxicab_heuristic,0.054,264,7593,264
A*_chebyshev_heuristic,0.051,264,7593,264
DJIKSTRA,0.072,264,18607,264
DFS_NORMAL,0.0235,5594,9877,9628
DFS_LIM,0.0305,6058,11703,10180
BFS,0.0355,228,16745,356
A*_manhattan_heuristic,0.047,254,6504,254
A*_taxicab_heuristic,0.0465,254,6504,254
A*_chebyshev_heuristic,0.0455,254,6504,254
DJIKSTRA,0.0665,254,16887,254
DFS_NORMAL,0.023,5624,8887,10640
DFS_LIM,0.026,5422,9418,9974
BFS,0.036,222,17374,378
A*_manhattan_heuristic,0.0315,182,3017,182
A*_taxicab_heuristic,0.0335,182,3017,182
A*_chebyshev_heuristic,0.0323,182,3017,182
DJIKSTRA,0.0658,178,17554,182
DFS_NORMAL,0.044,8010,16718,12848
DFS_LIM,0.041,5250,16710,8568
BFS,0.0401,166,18741,246
A*_manhattan_heuristic,0.0291,147,1889,179
A*_taxicab_heuristic,0.0296,147,1889,179
A*_chebyshev_heuristic,0.0284,147,1889,179
DJIKSTRA,0.0475,147,10873,179
DFS_NORMAL,0.0335,8553,13652,15047
DFS_LIM,0.038,7707,14116,14151
BFS,0.025,131,12270,219
A*_manhattan_heuristic,0.0345,152,2552,152
A*_taxicab_heuristic,0.032,152,2552,152
A*_chebyshev_heuristic,0.032,152,2552,152
DJIKSTRA,0.055,152,13022,152
DFS_NORMAL,0.0291,7062,11329,14396
DFS_LIM,0.031,5166,10661,9890
BFS,0.026,134,12260,218
A*_manhattan_heuristic,0.0305,185,1917,193
A*_taxicab_heuristic,0.0305,185,1917,193
A*_chebyshev_heuristic,0.031,185,1917,193
DJIKSTRA,0.0601,185,16537,193
DFS_NORMAL,0.043,8997,17476,17029
DFS_LIM,0.053,9039,18179,17395
BFS,0.039,183,18656,625
