Algorithm_name,Execution Time (s),Path Length (cells),Searched Cells (%),Total Path Cost
A*_manhattan_heuristic,0.0288,242,2522,242
A*_taxicab_heuristic,0.0285,242,2522,242
A*_chebyshev_heuristic,0.029,242,2522,242
DJIKSTRA,0.0651,242,19276,242
DFS_NORMAL,0.006,1204,1652,2708
DFS_LIM,0.009,1394,3199,3442
BFS,0.0405,234,20866,326
A*_manhattan_heuristic,0.0305,190,2893,190
A*_taxicab_heuristic,0.0295,190,2893,190
A*_chebyshev_heuristic,0.0295,190,2893,190
DJIKSTRA,0.0475,190,13097,190
DFS_NORMAL,0.0032,234,239,526
DFS_LIM,0.006,222,2056,514
BFS,0.0245,160,12561,374
A*_manhattan_heuristic,0.0365,218,4889,218
A*_taxicab_heuristic,0.0365,218,4889,218
A*_chebyshev_heuristic,0.0365,218,4889,218
DJIKSTRA,0.0652,218,19184,218
DFS_NORMAL,0.0232,5074,9351,10168
DFS_LIM,0.011,392,4088,774
BFS,0.037,176,18570,288
A*_manhattan_heuristic,0.031,169,2775,173
A*_taxicab_heuristic,0.0302,169,2775,173
A*_chebyshev_heuristic,0.033,169,2775,173
DJIKSTRA,0.055,169,14120,173
DFS_NORMAL,0.024,5213,9012,10465
DFS_LIM,0.019,961,5821,2123
BFS,0.0329,163,15290,475
A*_manhattan_heuristic,0.035,203,4176,211
A*_taxicab_heuristic,0.0355,203,4176,211
A*_chebyshev_heuristic,0.0355,203,4176,211
DJIKSTRA,0.075,207,21209,211
DFS_NORMAL,0.027,6079,11688,10153
DFS_LIM,0.026,3477,10870,5855
BFS,0.042,185,21338,621
A*_manhattan_heuristic,0.0255,146,1374,150
A*_taxicab_heuristic,0.025,146,1374,150
A*_chebyshev_heuristic,0.026,146,1374,150
DJIKSTRA,0.0415,150,11170,150
DFS_NORMAL,0.0175,4504,7036,8810
DFS_LIM,0.0231,4486,8892,8732
BFS,0.025,146,12123,262
A*_manhattan_heuristic,0.036,217,4505,229
A*_taxicab_heuristic,0.0364,217,4505,229
A*_chebyshev_heuristic,0.0365,217,4505,229
DJIKSTRA,0.0549,217,15128,229
DFS_NORMAL,0.01,2261,3008,6047
DFS_LIM,0.0176,2903,5684,6345
BFS,0.0321,209,16044,289
A*_manhattan_heuristic,0.0391,272,5012,276
A*_taxicab_heuristic,0.039,272,5012,276
A*_chebyshev_heuristic,0.0405,272,5012,276
DJIKSTRA,0.0729,272,21107,276
DFS_NORMAL,0.0045,536,686,1576
DFS_LIM,0.047,1510,21462,3470
BFS,0.0425,258,22034,680
A*_manhattan_heuristic,0.0395,186,5071,186
A*_taxicab_heuristic,0.0395,186,5071,186
A*_chebyshev_heuristic,0.039,186,5071,186
DJIKSTRA,0.047,186,12485,186
DFS_NORMAL,0.0245,6192,9845,10876
DFS_LIM,0.027,5666,10064,10614
BFS,0.022,148,10496,268
A*_manhattan_heuristic,0.057,201,10277,277
A*_taxicab_heuristic,0.059,201,10277,277
A*_chebyshev_heuristic,0.061,201,10277,277
DJIKSTRA,0.077,201,21174,277
DFS_NORMAL,0.0459,5063,20643,9049
DFS_LIM,0.0667,2437,21351,4731
BFS,0.0343,171,16882,375
A*_manhattan_heuristic,0.0516,337,7806,337
A*_taxicab_heuristic,0.0509,337,7806,337
A*_chebyshev_heuristic,0.051,337,7806,337
DJIKSTRA,0.0755,337,21776,337
DFS_NORMAL,0.045,10765,18269,19613
DFS_LIM,0.0446,10393,18745,19093
BFS,0.0446,311,22702,505
A*_manhattan_heuristic,0.0385,193,4862,193
A*_taxicab_heuristic,0.0385,193,4862,193
A*_chebyshev_heuristic,0.0389,193,4862,193
DJIKSTRA,0.068,193,18920,193
DFS_NORMAL,0.041,9321,16768,16563
DFS_LIM,0.0375,8659,15683,15505
BFS,0.0365,163,18279,423
A*_manhattan_heuristic,0.0305,209,2499,209
A*_taxicab_heuristic,0.0315,209,2499,209
A*_chebyshev_heuristic,0.0538,209,2499,209
DJIKSTRA,0.101,209,12710,209
DFS_NORMAL,0.046,5215,21290,10721
DFS_LIM,0.043,4937,18453,10035
BFS,0.056,201,13667,401
A*_manhattan_heuristic,0.031,244,2460,248
A*_taxicab_heuristic,0.03,244,2460,248
A*_chebyshev_heuristic,0.0311,244,2460,248
DJIKSTRA,0.0501,244,13048,248
DFS_NORMAL,0.011,2444,3646,4842
DFS_LIM,0.0314,746,13251,1122
BFS,0.0315,236,15060,420
A*_manhattan_heuristic,0.045,237,5816,249
A*_taxicab_heuristic,0.043,237,5816,249
A*_chebyshev_heuristic,0.043,237,5816,249
DJIKSTRA,0.058,237,15418,249
DFS_NORMAL,0.025,5395,9909,11379
DFS_LIM,0.027,3415,10776,7499
BFS,0.033,235,16119,411
A*_manhattan_heuristic,0.031,141,2575,153
A*_taxicab_heuristic,0.03,141,2575,153
A*_chebyshev_heuristic,0.0313,141,2575,153
DJIKSTRA,0.044,141,11272,153
DFS_NORMAL,0.025,6075,10372,9569
DFS_LIM,0.0276,4775,10380,8097
BFS,0.0161,103,7168,255
A*_manhattan_heuristic,0.0395,211,4891,223
A*_taxicab_heuristic,0.0395,211,4891,223
A*_chebyshev_heuristic,0.04,211,4891,223
DJIKSTRA,0.0535,207,14403,223
DFS_NORMAL,0.0295,6695,10607,13695
DFS_LIM,0.0305,6561,11014,13461
BFS,0.0265,195,12897,235
A*_manhattan_heuristic,0.116,301,8727,313
A*_taxicab_heuristic,0.062,301,8727,313
A*_chebyshev_heuristic,0.089,301,8727,313
DJIKSTRA,0.077,301,20145,313
DFS_NORMAL,0.052,5091,21147,9091
DFS_LIM,0.061,5071,21087,9011
BFS,0.044,283,20354,695
A*_manhattan_heuristic,0.043,197,5336,217
A*_taxicab_heuristic,0.045,197,5336,217
A*_chebyshev_heuristic,0.046,197,5336,217
DJIKSTRA,0.064,197,15878,217
DFS_NORMAL,0.02,4671,6696,9911
DFS_LIM,0.025,4175,7980,8585
BFS,0.034,187,15643,467
A*_manhattan_heuristic,0.036,256,3369,256
A*_taxicab_heuristic,0.037,256,3369,256
A*_chebyshev_heuristic,0.036,256,3369,256
DJIKSTRA,0.076,256,18516,256
DFS_NORMAL,0.0393,8780,15674,16284
DFS_LIM,0.047,8242,19070,14938
BFS,0.042,238,20128,470
A*_manhattan_heuristic,0.0815,304,14334,352
A*_taxicab_heuristic,0.0815,304,14334,352
A*_chebyshev_heuristic,0.0825,304,14334,352
DJIKSTRA,0.081,304,22175,352
DFS_NORMAL,0.025,6148,9828,11956
DFS_LIM,0.031,6190,10813,12174
