Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0339996815,7685,4591
BA*,0.0519995689,8364,4591
EBA*,0.0489969254,7594,4591
DIJKSTRA,0.0269999504,8021,4591
DFS_NORMAL,0.0209953785,11295,4591
DFS_LIM,0.0229973793,12075,4591
BFS,0.0150001049,7358,4591
A*,0.0429987907,10561,9395
BA*,0.0549998283,9801,9395
EBA*,0.0520000458,8223,9395
DIJKSTRA,0.032999754,10681,9395
DFS_NORMAL,0.013002634,6047,9395
DFS_LIM,0.013999939,6043,9395
BFS,0.0209999084,10756,9395
A*,0.0449872017,11084,5895
BA*,0.0459992886,6108,5895
EBA*,0.0480000973,6942,5895
DIJKSTRA,0.0339999199,11102,5895
DFS_NORMAL,0.012999773,5529,8639
DFS_LIM,0.0199995041,9641,8639
BFS,0.0199999809,10656,5895
A*,0.0459997654,12104,7190
BA*,0.0489985943,7490,7190
EBA*,0.0489988327,7580,7190
DIJKSTRA,0.0360002518,12128,7190
DFS_NORMAL,0.0209999084,11800,7190
DFS_LIM,0.0179998875,9466,7190
BFS,0.0200028419,10462,7190
A*,0.0279998779,4917,2338
BA*,0.0400002003,4215,2338
EBA*,0.0390000343,3870,2338
DIJKSTRA,0.0200009346,4999,2338
DFS_NORMAL,0.0179998875,9764,2338
DFS_LIM,0.0190002918,9802,2338
BFS,0.0120000839,5950,2338
A*,0.0400006771,9119,7479
BA*,0.0629997253,12016,7479
EBA*,0.0589997768,10788,7479
DIJKSTRA,0.0309996605,9177,7479
DFS_NORMAL,0.0189993382,8762,7479
DFS_LIM,0.0179972649,8804,7479
BFS,0.018999815,9289,7479
A*,0.0339999199,6849,5327
BA*,0.0489997864,7536,5327
EBA*,0.0499999523,7389,5327
DIJKSTRA,0.0239994526,6945,5327
DFS_NORMAL,0.0210001469,9934,14667
DFS_LIM,0.02099967,10160,14667
BFS,0.0149972439,6765,5327
A*,0.0420100689,10107,5909
BA*,0.0570006371,10320,5909
EBA*,0.0550012589,9346,5909
DIJKSTRA,0.0320017338,10107,5909
DFS_NORMAL,0.0160121918,7975,5909
DFS_LIM,0.0169999599,8059,5909
BFS,0.0190000534,9360,5909
A*,0.0340111256,7239,14904
BA*,0.0569872856,10222,14904
EBA*,0.0509970188,8209,14904
DIJKSTRA,0.0250127316,7240,14904
DFS_NORMAL,0.0120000839,5444,14904
DFS_LIM,0.0130002499,5482,14904
BFS,0.0150022507,7240,14904
A*,0.0329999924,6556,2998
BA*,0.0380001068,3447,2998
EBA*,0.0369999409,3119,2998
DIJKSTRA,0.0240001678,6661,2998
DFS_NORMAL,0.0050022602,1700,2998
DFS_LIM,0.0209999084,11158,2998
BFS,0.012999773,6243,2998
A*,0.0320000648,6320,5728
BA*,0.0480003357,7122,5728
EBA*,0.0469970703,7090,5728
DIJKSTRA,0.0220022202,6327,5728
DFS_NORMAL,0.0120003223,5968,5728
DFS_LIM,0.0080003738,3787,5728
BFS,0.0069999695,3139,5728
A*,0.0419995785,10373,12916
BA*,0.0599999428,11635,12916
EBA*,0.0600016117,11371,12916
DIJKSTRA,0.0320000648,10380,12916
DFS_NORMAL,0.0180008411,8911,12916
DFS_LIM,0.0190000534,9957,12916
BFS,0.0199990273,10487,12916
A*,0.026999712,4221,2952
BA*,0.0419998169,5042,2952
EBA*,0.0440003872,5098,2952
DIJKSTRA,0.0180001259,4243,2952
DFS_NORMAL,0.0079996586,3426,2952
DFS_LIM,0.0090000629,3794,2952
BFS,0.0099999905,4316,2952
A*,0.0309970379,5801,4009
BA*,0.0450000763,6052,4009
EBA*,0.0459997654,5810,4009
DIJKSTRA,0.021999836,5805,4009
DFS_NORMAL,0.0110003948,5009,4009
DFS_LIM,0.0119998455,5339,4009
BFS,0.0130016804,5805,4009
A*,0.0390002728,8832,5428
BA*,0.0509998798,7851,5428
EBA*,0.0430026054,5157,5428
DIJKSTRA,0.028999567,8837,5428
DFS_NORMAL,0.0080001354,2828,5428
DFS_LIM,0.0200004578,10651,5428
BFS,0.0169999599,8973,5428
A*,0.0449972153,11375,8983
BA*,0.0510001183,8090,8983
EBA*,0.0489997864,7420,8983
DIJKSTRA,0.0360016823,11682,8983
DFS_NORMAL,0.0199997425,10482,8983
DFS_LIM,0.0189983845,9541,8983
BFS,0.0200030804,10159,8983
A*,0.0189971924,1545,2094
BA*,0.034999609,2058,2094
EBA*,0.0349979401,1741,2094
DIJKSTRA,0.0120007992,1567,2094
DFS_NORMAL,0.004999876,1459,2094
DFS_LIM,0.0040004253,1511,2094
BFS,0.0049996376,1567,2094
A*,0.0270004272,4415,1496
BA*,0.0399997234,3829,1496
EBA*,0.0390019417,3666,1496
DIJKSTRA,0.0200028419,4438,1496
DFS_NORMAL,0.0190000534,8962,11588
DFS_LIM,0.0200002193,9664,11588
BFS,0.0109992027,5389,1496
A*,0.0479996204,11884,12502
BA*,0.0590002537,10392,12502
EBA*,0.0590004921,10872,12502
DIJKSTRA,0.0369997025,11895,12502
DFS_NORMAL,0.0229973793,11551,12502
DFS_LIM,0.0230002403,11691,12502
BFS,0.0230002403,11894,12502
A*,0.0310001373,5977,5606
BA*,0.0480003357,6705,5606
EBA*,0.0470006466,6431,5606
DIJKSTRA,0.0220010281,6020,5606
DFS_NORMAL,0.0220012665,11433,5606
DFS_LIM,0.0229997635,12448,5606
