Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.2959983349,3632,202
BA*,0.5700008869,3267,214
EBA*,0.5679984093,3182,214
DIJKSTRA,0.2440013885,26797,202
DFS_NORMAL,0.5839993954,126378,127138
DFS_LIM,0.3620004654,127203,127138
BFS,0.11100173,28054,372
A*,0.2960002422,5453,229
BA*,0.5410020351,4070,231
EBA*,0.5400025845,4416,229
DIJKSTRA,0.2790007591,35059,229
DFS_NORMAL,0.8209996223,216322,108687
DFS_LIM,0.4770002365,211239,125111
BFS,0.114000082,39703,363
A*,0.3369998932,12230,402
BA*,0.58700037,8949,420
EBA*,0.6030023098,10760,408
DIJKSTRA,0.4200003147,76391,402
DFS_NORMAL,0.5849997997,102391,133430
DFS_LIM,0.0939996243,23628,48678
BFS,0.1869997978,73307,5100
A*,0.3409996033,16524,418
BA*,0.6160001755,16646,430
EBA*,0.6140015125,22934,418
DIJKSTRA,0.3690006733,64131,418
DFS_NORMAL,0.430000782,36150,80474
DFS_LIM,0.1830000877,57480,123076
BFS,0.1659975052,65521,1704
A*,0.2940011024,7495,726
BA*,0.5790007114,9947,728
EBA*,0.6159985065,15581,726
DIJKSTRA,0.6260008812,126252,726
DFS_NORMAL,0.7870004177,226808,76126
DFS_LIM,0.4950010777,228262,56488
BFS,0.3360009193,145464,3476
A*,0.2700023651,1038,116
BA*,0.5610017776,1144,116
EBA*,0.5280001163,1488,118
DIJKSTRA,0.170996666,7434,116
DFS_NORMAL,0.5029985905,66930,105032
DFS_LIM,0.1130025387,34964,37372
BFS,0.0609984398,9930,116
A*,0.3010005951,9820,308
BA*,0.5730001926,8848,314
EBA*,0.5890007019,7134,330
DIJKSTRA,0.3479998112,57601,308
DFS_NORMAL,0.6489989758,129293,184318
DFS_LIM,0.3609976768,131731,180872
BFS,0.1120016575,37102,1618
A*,0.2709989548,1307,137
BA*,0.5449976921,1960,137
EBA*,0.5470001698,2331,141
DIJKSTRA,0.1869997978,13040,137
DFS_NORMAL,0.0869996548,15338,32883
DFS_LIM,0.438000679,39229,58255
BFS,0.0700006485,15319,137
A*,0.28099823,4475,227
BA*,0.5479991436,3139,227
EBA*,0.5570008755,3955,227
DIJKSTRA,0.2600002289,29432,227
DFS_NORMAL,0.7960033417,216478,133607
DFS_LIM,0.5049982071,220220,118357
BFS,0.0989980698,26977,1301
A*,0.2720057964,3255,157
BA*,0.5240001678,683,165
EBA*,0.5450024605,1133,157
DIJKSTRA,0.1900000572,13516,157
DFS_NORMAL,0.4549994469,49659,107341
DFS_LIM,0.21499753,73129,69525
BFS,0.0600001812,12593,161
A*,0.3329994678,15764,430
BA*,0.6000015736,16126,436
EBA*,0.6089985371,16842,436
DIJKSTRA,0.3249988556,47238,430
DFS_NORMAL,0.7430000305,168766,264612
DFS_LIM,0.4470012188,168708,264388
BFS,0.1369996071,51323,1410
A*,0.310997963,9906,366
BA*,0.5850000381,10120,368
EBA*,0.5910000801,13833,388
DIJKSTRA,0.3039999008,47286,366
DFS_NORMAL,0.5170016289,71000,134746
DFS_LIM,0.2289998531,71018,134746
BFS,0.1439990997,55511,2656
A*,0.3129987717,13227,291
BA*,0.5550003052,1343,295
EBA*,0.5530004501,2043,297
DIJKSTRA,0.3040013313,46700,291
DFS_NORMAL,0.7909994125,195304,217137
DFS_LIM,0.4950003624,228784,47969
BFS,0.078997612,18365,1171
A*,0.322999239,13374,421
BA*,0.5810000896,12800,425
EBA*,0.5819981098,15405,425
DIJKSTRA,0.4089999199,70320,421
DFS_NORMAL,0.5259990692,94039,131337
DFS_LIM,0.2899971008,99111,147831
BFS,0.1839978695,74311,3409
A*,0.2680032253,702,114
BA*,0.535998106,756,114
EBA*,0.5609993935,902,114
DIJKSTRA,0.1789999008,7645,114
DFS_NORMAL,0.583999157,107470,143766
DFS_LIM,0.3089973927,105666,130938
BFS,0.063999176,9959,114
A*,0.2949998379,7620,383
BA*,0.550999403,6274,389
EBA*,0.5610001087,5796,385
DIJKSTRA,0.3519992828,54740,383
DFS_NORMAL,0.6800012589,142783,175277
DFS_LIM,0.3669984341,140972,149405
BFS,0.1789987087,63503,1257
A*,0.2919974327,5307,325
BA*,0.5590000153,2818,325
EBA*,0.5799968243,9022,325
DIJKSTRA,0.3219997883,49286,325
DFS_NORMAL,0.7709989548,195800,142089
DFS_LIM,0.4899992943,196792,136683
BFS,0.1589958668,61969,1231
A*,0.2900013924,3773,251
BA*,0.5580022335,4146,263
EBA*,0.5349986553,4969,263
