Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
DIJKSTRA,0.732998848,157565,724
DFS_NORMAL,0.6350004673,116980,165390
DFS_LIM,0.3200027943,116692,146094
BFS,0.3549995422,150560,2186
A*,0.5499999523,60862,923
BA*,0.7870016098,56949,1009
EBA*,0.9050009251,90940,1017
DIJKSTRA,0.833997488,190531,923
DFS_NORMAL,0.7669994831,206354,87505
DFS_LIM,0.4809982777,206744,85739
BFS,0.4669985771,199433,1267
A*,0.3840000629,25977,627
BA*,0.637001276,26878,635
EBA*,0.6850004196,39463,641
DIJKSTRA,0.5390021801,116825,627
DFS_NORMAL,0.7580003738,195928,143063
DFS_LIM,0.485001564,196177,137853
BFS,0.3089993,131260,627
A*,0.3740003109,22505,609
BA*,0.5870018005,14363,609
EBA*,0.6370000839,30263,609
DIJKSTRA,0.8919968605,202222,609
DFS_NORMAL,0.7390019894,186733,248025
DFS_LIM,0.4629971981,181497,227957
BFS,0.4679992199,208136,3395
A*,0.401999712,29688,565
BA*,0.6540007591,24239,571
EBA*,0.6619985104,26190,569
DIJKSTRA,0.6809997559,144421,565
DFS_NORMAL,0.540999651,87428,97227
DFS_LIM,0.2639970779,97380,94349
BFS,0.3240010738,140480,3333
A*,0.4280021191,36309,821
BA*,0.7200009823,40699,821
EBA*,1.0079946518,104033,821
DIJKSTRA,0.7760007381,179239,821
DFS_NORMAL,0.4010047913,28570,65321
DFS_LIM,0.1189994812,30564,65465
BFS,0.4250006676,190767,2103
A*,0.476994276,46367,902
BA*,0.7139987946,37661,944
EBA*,0.7589998245,49417,938
DIJKSTRA,0.9259958267,214697,902
DFS_NORMAL,0.7340025902,159779,256906
DFS_LIM,0.4000003338,147754,241142
BFS,0.5050022602,223551,3420
A*,0.4309999943,36941,545
BA*,0.5920026302,18206,551
EBA*,0.5910007954,18102,551
DIJKSTRA,0.8509988785,186192,545
DFS_NORMAL,0.7050025463,153615,204661
DFS_LIM,0.3909976482,153936,168691
BFS,0.3600006104,149694,2935
A*,0.4539999962,41981,755
BA*,0.7459998131,45376,755
EBA*,0.7620005608,50509,755
DIJKSTRA,0.8149998188,185820,755
DFS_NORMAL,0.6529994011,130030,165343
DFS_LIM,0.3569996357,129472,161435
BFS,0.4370033741,195454,1137
A*,0.4680020809,44474,696
BA*,0.6459999084,26585,720
EBA*,0.7200012207,43964,758
DIJKSTRA,0.8270001411,186787,696
DFS_NORMAL,0.7100024223,161782,234512
DFS_LIM,0.4210019112,157590,222470
BFS,0.4309990406,188984,1202
A*,0.6099977493,76705,743
BA*,0.6070001125,13101,749
EBA*,0.6929988861,36560,743
DIJKSTRA,1.0050022602,228539,743
DFS_NORMAL,0.7190005779,167487,238731
DFS_LIM,0.4479985237,167314,230187
BFS,0.4850041866,212097,3003
A*,0.6789996624,89415,783
BA*,0.6180000305,21218,799
EBA*,0.6539998055,27718,799
DIJKSTRA,0.8879981041,204155,783
DFS_NORMAL,0.6240053177,123559,188841
DFS_LIM,0.3330025673,122283,181917
BFS,0.3760008812,158266,1455
A*,0.6230008602,76780,976
BA*,0.8559992313,66361,1032
EBA*,0.9679996967,97578,1020
DIJKSTRA,0.951000452,223069,976
DFS_NORMAL,0.1079993248,16879,20052
DFS_LIM,0.3450005054,30161,19780
BFS,0.5030002594,229320,3362
A*,0.3840003014,24748,592
BA*,0.678999424,34479,592
EBA*,0.6769995689,34280,624
DIJKSTRA,0.5740003586,117284,592
DFS_NORMAL,0.5700004101,99575,116652
DFS_LIM,0.2859985828,99885,114724
BFS,0.2790000439,119896,1010
A*,0.4019989967,27594,587
BA*,0.6359982491,19844,587
EBA*,0.6590001583,29032,603
DIJKSTRA,0.7149996758,157583,587
DFS_NORMAL,0.6960020065,152647,202179
DFS_LIM,0.4010007381,150053,194981
BFS,0.3810002804,159831,3175
A*,0.4299998283,31094,631
