Algorithm_name,Execution Time (ms),Searched Cells,Total Path Cost
DFS,13.9997005,6841,6765
DFS_LIM,17.0006752,7143,6765
DFS,15.999794000000001,7311,6447
DFS_LIM,17.0001984,8803,6447
DFS,16.9997215,7378,15656
DFS_LIM,19.000053400000002,9056,15656
DFS,10.0007057,3730,6810
DFS_LIM,11.9998455,5296,6810
DFS,13.0007267,5406,7382
DFS_LIM,15.0001049,7019,7382
DFS,17.999648999999998,8252,12570
DFS_LIM,19.999980899999997,9713,12570
DFS,20.9999084,10768,12290
DFS_LIM,21.9995975,10824,12290
DFS,22.0000744,12292,1639
DFS_LIM,22.9995251,12744,1639
DFS,7.9989433000000005,2512,5838
DFS_LIM,7.999897000000001,2740,5838
DFS,19.999980899999997,11374,1090
DFS_LIM,6.0002804,2153,1090
DFS,7.9989433000000005,3360,2252
DFS_LIM,9.9999905,4305,2252
DFS,14.9998665,6693,11048
DFS_LIM,15.0010586,6699,11048
DFS,6.9997311,2524,2414
DFS_LIM,7.0011616,2858,2414
DFS,10.989666,3309,3077
DFS_LIM,9.999752,3437,3077
DFS,7.9960823,2137,3017
DFS_LIM,10.0002289,3017,3017
DFS,26.001215000000002,6203,12336
DFS_LIM,34.997463200000006,7823,12336
DFS,2.9995441,109,106
DFS_LIM,3.9980412,639,106
DFS,17.001390500000003,8050,9071
DFS_LIM,18.0001259,8457,9071
DFS,15.9981251,7683,9306
DFS_LIM,13.9997005,6054,9306
DFS,20.0009346,10551,4671
DFS_LIM,15.0001049,6618,4671
DFS,22.9997635,10711,7039
DFS_LIM,22.001981699999998,10320,7039
DFS,11.0001564,4870,5988
DFS_LIM,16.9999599,8042,5988
DFS,18.999814999999998,8955,14699
DFS_LIM,17.9998875,8714,14699
DFS,9.9999905,3959,5863
DFS_LIM,13.0000114,6115,5863
DFS,19.0019608,9471,7960
DFS_LIM,19.000053400000002,9639,7960
DFS,18.0001259,8815,8738
DFS_LIM,18.999814999999998,9129,8738
DFS,18.0032253,9503,4696
DFS_LIM,19.000053400000002,10247,4696
DFS,20.999670000000002,10578,9887
DFS_LIM,22.0000744,10722,9887
DFS,17.9989338,9507,5971
DFS_LIM,18.999814999999998,9849,5971
DFS,21.999836,12191,2623
DFS_LIM,22.0000744,12367,2623
DFS,13.0000114,5869,5471
DFS_LIM,21.999836,11252,5471
DFS,22.0000744,10853,13722
DFS_LIM,23.0000019,11213,13722
DFS,12.0000839,5624,9608
DFS_LIM,22.0000744,11851,4782
DFS,16.0000324,8042,8987
DFS_LIM,21.000146899999997,10740,8987
DFS,12.0000839,5123,11427
DFS_LIM,17.0006752,8514,11427
DFS,22.9997635,12587,3831
DFS_LIM,21.9993591,10891,3831
DFS,22.0005512,11612,3710
DFS_LIM,9.000301400000001,3778,3710
DFS,18.000841100000002,7606,11341
DFS_LIM,18.000364299999998,7776,11341
DFS,5.0001144,1638,2544
DFS_LIM,12.0000839,5378,2544
DFS,23.9953995,10718,5546
DFS_LIM,26.0004997,12279,5546
DFS,4.9967766,1419,3753
DFS_LIM,9.0000629,3262,3753
DFS,18.0001259,8922,4442
DFS_LIM,20.0004578,10597,4442
DFS,2.9995441,784,1872
DFS_LIM,4.0001869,1080,1872
DFS,19.999980899999997,9224,11106
DFS_LIM,23.0000019,12011,11106
DFS,13.999939,5559,8232
DFS_LIM,15.999555599999999,7077,8232
DFS,19.9997425,9439,5148
DFS_LIM,22.0000744,11091,5148
DFS,22.9995251,11516,9096
DFS_LIM,6.9994926,2796,9096
DFS,7.999658600000001,3146,5113
DFS_LIM,22.0000744,11510,5113
DFS,13.0033493,5696,7981
DFS_LIM,22.0000744,10995,7981
DFS,9.000301400000001,3403,5131
DFS_LIM,11.9996071,5135,5131
DFS,21.000146899999997,9668,9548
DFS_LIM,22.9997635,10673,9548
DFS,19.000053400000002,9120,6132
DFS_LIM,21.9993591,10172,6132
DFS,18.999814999999998,9075,6255
DFS_LIM,18.000364299999998,8585,6255
DFS,12.999773,5525,12101
DFS_LIM,17.0004368,8140,12101
DFS,10.0002289,3809,5691
DFS_LIM,9.999036799999999,4071,5691
DFS,20.0002193,9655,10997
DFS_LIM,19.999980899999997,9866,10997
DFS,12.0005608,4776,5324
DFS_LIM,20.0004578,10191,5324
DFS,8.0001354,3146,3980
DFS_LIM,18.0001259,8953,3980
DFS,22.0007896,11420,5541
DFS_LIM,20.9999084,11316,5541
DFS,14.999389599999999,6612,8412
DFS_LIM,16.0000324,7262,8412
DFS,9.9999905,3930,5236
DFS_LIM,15.0010586,6820,5236
DFS,20.999670000000002,11312,4078
DFS_LIM,23.0004787,12062,4078
DFS,15.999794000000001,7093,8204
DFS_LIM,18.999814999999998,9219,8204
DFS,16.0000324,8092,7342
DFS_LIM,16.0000324,7486,7342
DFS,18.999099700000002,8468,11376
DFS_LIM,19.9997425,10078,11376
DFS,6.9999695,2555,2571
DFS_LIM,7.0011616,2577,2571
DFS,18.9995766,10163,8068
DFS_LIM,18.9995766,9679,8068
DFS,19.999980899999997,9702,9886
DFS_LIM,22.0000744,10888,9886
DFS,8.001089100000002,3246,7342
DFS_LIM,21.999836,11493,7342
DFS,22.0000744,11587,2439
DFS_LIM,22.9995251,12615,2439
DFS,11.9996071,5309,15603
DFS_LIM,15.9897804,7330,15603
DFS,22.0000744,11339,3188
DFS_LIM,21.0003853,11411,3188
DFS,12.999773,5813,5759
DFS_LIM,13.998985300000001,6841,5759
DFS,17.0009136,8332,10354
DFS_LIM,19.000053400000002,9470,10354
DFS,19.999980899999997,10777,2850
DFS_LIM,10.000944100000002,4556,2850
DFS,19.999980899999997,8869,14441
DFS_LIM,20.0002193,9533,14441
DFS,14.000177399999998,6629,2561
DFS_LIM,16.9999599,8820,2561
