Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.5290005207,70375,1139
BA*,0.5869998932,15553,1139
EBA*,0.5819997787,14722,1165
DIJKSTRA,0.5539999008,124372,1139
DFS_NORMAL,0.2530093193,87872,43885
DFS_LIM,0.1130001545,38431,10659
BFS,0.0810000896,21037,3415
A*,0.3080012798,15129,492
BA*,0.532999754,9193,492
EBA*,0.5310003757,9275,492
DIJKSTRA,0.2159991264,24299,492
DFS_NORMAL,0.2879989147,114051,138366
DFS_LIM,0.0499999523,6877,3318
BFS,0.0769996643,22602,1056
A*,0.3460009098,21130,658
BA*,0.5549998283,10357,658
EBA*,0.5590007305,11678,658
DIJKSTRA,0.3619990349,64468,658
DFS_NORMAL,0.3710000515,164200,113414
DFS_LIM,0.6700007915,191026,55232
BFS,0.1570010185,64076,3382
A*,0.6860001087,106274,1082
BA*,0.5359990597,8910,1082
EBA*,0.5359992981,8494,1090
DIJKSTRA,0.757999897,186017,1082
DFS_NORMAL,0.1729984283,72044,81494
DFS_LIM,0.1320002079,48293,63068
BFS,0.123986721,46965,2078
A*,0.2979998589,10719,722
BA*,0.544000864,9161,722
EBA*,0.5430002213,9004,722
DIJKSTRA,0.2309999466,27915,722
DFS_NORMAL,0.4209997654,165778,137006
DFS_LIM,0.5719997883,147754,145294
BFS,0.0959990025,32514,3326
A*,0.3319993019,20930,546
BA*,0.5240001678,6476,546
EBA*,0.5350000858,5932,546
DIJKSTRA,0.2929999828,48073,546
DFS_NORMAL,0.3589999676,165438,80816
DFS_LIM,0.0629997253,13549,8740
BFS,0.0520000458,8784,1068
A*,0.2790000439,5474,274
BA*,0.5230002403,2772,274
EBA*,0.5200006962,3072,274
DIJKSTRA,0.1830000877,11984,274
DFS_NORMAL,0.1840000153,55259,61856
DFS_LIM,0.1689999104,59935,79998
BFS,0.0590000153,11263,686
A*,0.2709999084,4308,420
BA*,0.5090007782,1723,426
EBA*,0.5119996071,2109,422
DIJKSTRA,0.166000843,7050,420
DFS_NORMAL,0.0379998684,679,1120
DFS_LIM,0.0399999619,1887,2394
BFS,0.0550000668,4079,420
A*,0.3059868813,13577,769
BA*,0.5740001202,15647,805
EBA*,0.5670006275,15194,805
DIJKSTRA,0.2019999027,18938,769
DFS_NORMAL,0.2210006714,76287,85167
DFS_LIM,0.2209999561,85723,80889
BFS,0.1119999886,41842,931
A*,0.2589998245,707,103
BA*,0.5039999485,535,103
EBA*,0.5,504,103
DIJKSTRA,0.1510000229,2195,103
DFS_NORMAL,0.0499989986,6163,9989
DFS_LIM,0.0380001068,794,227
BFS,0.0410001278,2480,103
A*,0.3900001049,34991,973
BA*,0.617000103,28457,973
EBA*,0.6099996567,26214,973
DIJKSTRA,0.4009988308,79678,973
DFS_NORMAL,0.2479996681,69173,111441
DFS_LIM,0.4949998856,104571,113863
BFS,0.2200000286,96974,4545
A*,0.4130001068,42788,847
BA*,0.5640001297,18279,847
EBA*,0.5679993629,18634,847
DIJKSTRA,0.4190001488,86238,847
DFS_NORMAL,0.2300000191,80551,132133
DFS_LIM,0.2250022888,86638,131237
BFS,0.1220016479,48144,3115
A*,0.7710008621,127239,1533
BA*,0.5870001316,19420,1533
EBA*,0.6059999466,26275,1533
DIJKSTRA,0.8430016041,209199,1533
DFS_NORMAL,0.3499987125,145448,144363
DFS_LIM,0.2829999924,96991,124901
BFS,0.256000042,114964,4169
A*,0.3139986992,16878,547
BA*,0.5069990158,2580,557
EBA*,0.5049991608,2861,547
DIJKSTRA,0.2369997501,31215,547
DFS_NORMAL,0.1779999733,58013,116479
DFS_LIM,0.1690001488,62149,88477
BFS,0.0559999943,10996,643
A*,0.3950006962,36616,1094
BA*,0.5829997063,17537,1094
EBA*,0.5809998512,17028,1094
DIJKSTRA,0.385999918,74615,1094
DFS_NORMAL,0.2609996796,91168,138110
DFS_LIM,0.1799998283,70487,68282
BFS,0.1309998035,50852,7246
A*,0.3619999886,27682,836
BA*,0.5699989796,17573,836
EBA*,0.5639998913,17864,836
DIJKSTRA,0.2769989967,42477,836
DFS_NORMAL,0.1589999199,63051,80282
DFS_LIM,0.1619989872,63660,70182
BFS,0.1089997292,39118,5520
A*,0.3350009918,20018,684
BA*,0.5910015106,21359,684
EBA*,0.5900006294,21490,684
DIJKSTRA,0.3539996147,63553,684
DFS_NORMAL,0.0789999962,19765,57694
DFS_LIM,0.0729999542,17512,52790
BFS,0.1659989357,68177,5318
A*,0.2600002289,623,123
BA*,0.5059990883,623,123
EBA*,0.5090007782,680,123
DIJKSTRA,0.1519999504,2466,123
DFS_NORMAL,0.185999155,63950,55863
DFS_LIM,0.0409991741,2091,3345
BFS,0.0430002213,3129,123
A*,0.431000948,40538,909
BA*,0.5679891109,11321,909
EBA*,0.5610001087,13242,909
DIJKSTRA,0.3550000191,64570,909
DFS_NORMAL,0.1210000515,38418,79589
DFS_LIM,0.0739991665,18279,27543
BFS,0.1029999256,35378,3209
A*,0.6809997559,107641,1644
BA*,0.5520012379,12192,1644
EBA*,0.5429999828,12238,1750
DIJKSTRA,0.7579996586,185779,1644
DFS_NORMAL,0.3580000401,163165,102732
