Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.6100013256,109564,36176
BA*,0.7720000744,78161,36176
EBA*,0.7699995041,76482,36176
DIJKSTRA,0.4310002327,109696,36176
DFS_NORMAL,0.3300023079,160142,36176
DFS_LIM,0.3369998932,160423,36176
BFS,0.1600000858,62864,36176
A*,0.6280004978,117183,42639
BA*,0.8039989471,95549,42639
EBA*,0.7330002785,74329,42639
DIJKSTRA,0.4500000477,118598,42639
DFS_NORMAL,0.3210000992,158788,42639
DFS_LIM,0.1589999199,64040,42639
BFS,0.267002821,121337,42639
A*,0.6029999256,104420,34430
BA*,0.7489998341,70667,34430
EBA*,0.7419996262,69369,34430
DIJKSTRA,0.4309999943,106041,34430
DFS_NORMAL,0.2549979687,120720,34430
DFS_LIM,0.2780003548,130735,34430
BFS,0.2240004539,96135,34430
A*,0.6000006199,106871,39340
BA*,0.6999995708,59889,39340
EBA*,0.6889998913,59001,39340
DIJKSTRA,0.4210002422,106877,39340
DFS_NORMAL,0.1449995041,61173,39340
DFS_LIM,0.1480014324,61275,39340
BFS,0.1719992161,72238,39340
A*,0.8820006847,198791,137326
BA*,1.0950000286,182684,137326
EBA*,1.0630004406,174716,137326
DIJKSTRA,0.6629998684,198871,137326
DFS_NORMAL,0.2939999104,136899,137326
DFS_LIM,0.2989971638,137138,137326
BFS,0.3080010414,140356,137326
A*,0.6820001602,136332,79743
BA*,1.017999649,157961,79743
EBA*,1.0140001774,159677,79743
DIJKSTRA,0.4949994087,136381,79743
DFS_NORMAL,0.3339989185,165926,79743
DFS_LIM,0.3020021915,143711,79743
BFS,0.2839992046,131097,79743
A*,0.7909998894,168661,91786
BA*,0.9879999161,148650,91786
EBA*,1.0479998589,163735,91786
DIJKSTRA,0.5949995518,169112,91786
DFS_NORMAL,0.2569994926,116128,91786
DFS_LIM,0.2670006752,117825,91786
BFS,0.3320002556,151811,91786
A*,0.5760016441,97630,34378
BA*,0.7729997635,75644,34378
EBA*,0.760999918,78550,34378
DIJKSTRA,0.4000003338,97634,34378
DFS_NORMAL,0.1509993076,61366,34378
DFS_LIM,0.1559996605,61468,34378
BFS,0.2230014801,98408,34378
A*,0.3410000801,26361,7616
BA*,0.5330002308,7047,7616
