Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0140023232,58,29
BA*,0.0280001163,84,29
EBA*,0.0279998779,83,29
DIJKSTRA,0.0090003014,457,29
DFS_NORMAL,0.0210008621,8702,13813
DFS_LIM,0.0200002193,8696,13375
BFS,0.0020000935,479,29
A*,0.0140004158,95,33
BA*,0.0270006657,88,33
EBA*,0.0280001163,121,33
DIJKSTRA,0.0099999905,739,33
DFS_NORMAL,0.0150008202,6051,13633
DFS_LIM,0.0290000439,13667,10771
BFS,0.0029985905,824,33
A*,0.0179998875,1212,103
BA*,0.0300006866,813,103
EBA*,0.0320003033,606,103
DIJKSTRA,0.0199913979,4061,103
DFS_NORMAL,0.0189995766,7630,9893
DFS_LIM,0.0209999084,9579,9283
BFS,0.0090003014,4364,713
A*,0.0170021057,798,84
BA*,0.0299999714,448,84
EBA*,0.0289990902,485,84
DIJKSTRA,0.0160000324,2951,84
DFS_NORMAL,0.0200006962,8494,11686
DFS_LIM,0.0239999294,11539,7818
BFS,0.0070002079,2968,608
A*,0.0190000534,1565,87
BA*,0.0290007591,87,87
EBA*,0.0300002098,70,87
DIJKSTRA,0.0189990997,4243,87
DFS_NORMAL,0.0199999809,8588,11725
DFS_LIM,0.0049986839,1705,233
BFS,0.0030007362,869,273
A*,0.0190010071,1244,140
BA*,0.0350008011,1180,144
EBA*,0.0329999924,1180,144
DIJKSTRA,0.0240001678,5547,140
DFS_NORMAL,0.0140006542,5880,9956
DFS_LIM,0.0149998665,6643,9858
BFS,0.0099999905,4862,310
A*,0.0170009136,685,117
BA*,0.0319991112,995,135
EBA*,0.0320003033,975,117
DIJKSTRA,0.0189990997,4132,117
DFS_NORMAL,0.0270001888,11865,17115
DFS_LIM,0.0269999504,12272,16797
BFS,0.0099990368,4653,1067
A*,0.0149998665,235,54
BA*,0.029999733,305,54
EBA*,0.0299999714,372,54
DIJKSTRA,0.0119988918,1223,54
DFS_NORMAL,0.0110001564,4467,10082
DFS_LIM,0.0120003223,4814,6728
BFS,0.0049989223,1644,54
A*,0.0150001049,82,92
BA*,0.0290002823,84,92
EBA*,0.0289990902,98,92
DIJKSTRA,0.0089993477,309,92
DFS_NORMAL,0.0269999504,11383,18306
DFS_LIM,0.0290000439,12703,18090
BFS,0.0020000935,147,112
A*,0.0140008926,20,12
BA*,0.0290119648,26,12
EBA*,0.0289998055,27,12
DIJKSTRA,0.0090000629,86,12
DFS_NORMAL,0.003000021,736,762
DFS_LIM,0.0030007362,790,696
BFS,0.0020010471,93,12
A*,0.0149998665,180,60
BA*,0.029999733,254,60
EBA*,0.0300002098,329,60
DIJKSTRA,0.0110006332,1410,60
DFS_NORMAL,0.0300006866,13789,8550
DFS_LIM,0.0280003548,13696,6814
BFS,0.0060002804,2110,632
A*,0.0150001049,239,56
BA*,0.0299999714,263,56
EBA*,0.0300006866,338,56
DIJKSTRA,0.0119998455,1610,56
DFS_NORMAL,0.0259997845,10962,18654
DFS_LIM,0.0260002613,11594,14136
BFS,0.0050003529,1811,724
A*,0.0170001984,644,114
BA*,0.0300002098,560,114
EBA*,0.0309991837,865,116
DIJKSTRA,0.0299999714,7674,114
DFS_NORMAL,0.0030007362,579,1704
DFS_LIM,0.0050008297,1232,1670
BFS,0.0200006962,10146,1024
A*,0.0199999809,1710,139
BA*,0.0349991322,2018,139
EBA*,0.0369987488,2218,139
DIJKSTRA,0.0419998169,11552,139
DFS_NORMAL,0.0270009041,11255,16557
DFS_LIM,0.0280001163,12199,11749
BFS,0.021999836,11060,227
A*,0.0170009136,969,151
BA*,0.0319993496,936,153
EBA*,0.0320019722,1179,163
DIJKSTRA,0.0170001984,3478,151
DFS_NORMAL,0.0069994926,2637,6853
DFS_LIM,0.0079996586,2906,6679
BFS,0.0069999695,3401,237
A*,0.0150001049,67,31
BA*,0.0279910564,88,31
EBA*,0.0289998055,84,31
DIJKSTRA,0.0090007782,436,31
DFS_NORMAL,0.0250003338,10599,19139
DFS_LIM,0.0249998569,13283,35
BFS,0.003000021,477,31
A*,0.0140008926,84,72
BA*,0.0290007591,136,72
EBA*,0.0290002823,145,72
DIJKSTRA,0.009001255,404,72
DFS_NORMAL,0.0230002403,9670,15030
DFS_LIM,0.0030007362,200,166
BFS,0.0020008087,212,72
A*,0.0170001984,694,98
BA*,0.0310008526,732,98
EBA*,0.0320000648,835,98
DIJKSTRA,0.017999649,3589,98
DFS_NORMAL,0.0169999599,7322,10024
DFS_LIM,0.0199999809,8239,12676
BFS,0.0050001144,1744,780
A*,0.018999815,1233,143
BA*,0.033000946,1372,143
EBA*,0.0349986553,1377,143
