Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.2909870148,9269,312
BA*,0.5390133858,7703,312
EBA*,0.5360000134,7253,312
DIJKSTRA,0.3740000725,69676,312
DFS_NORMAL,0.3070006371,42749,97376
DFS_LIM,0.1480000019,44358,91700
BFS,0.1799998283,71972,3020
A*,0.2680001259,3903,482
BA*,0.5130002499,3774,484
EBA*,0.5150005817,6292,484
DIJKSTRA,0.1959991455,16632,482
DFS_NORMAL,0.4519991875,59165,88644
DFS_LIM,0.4980003834,242878,2676
BFS,0.0700001717,18531,1236
A*,0.2900002003,7450,508
BA*,0.5429999828,7863,508
EBA*,0.5960006714,22524,508
DIJKSTRA,0.5660007,121372,508
DFS_NORMAL,0.1709997654,31267,50258
DFS_LIM,0.4830000401,101458,107306
BFS,0.2830002308,123144,3424
A*,0.2669992447,2930,201
BA*,0.5100004673,2923,205
EBA*,0.5299870968,3685,201
DIJKSTRA,0.2190134525,23134,201
DFS_NORMAL,0.0369997025,602,507
DFS_LIM,0.4359998703,48822,119133
BFS,0.0999999046,33053,417
A*,0.3520028591,22241,565
BA*,0.5439996719,8432,565
EBA*,0.5470001698,10261,565
DIJKSTRA,0.4339997768,83773,565
DFS_NORMAL,0.5309998989,87960,168515
DFS_LIM,0.2540001869,88406,158245
BFS,0.1649997234,64628,1685
A*,0.2700002193,4358,304
BA*,0.5110008717,3695,312
EBA*,0.5219984055,6926,314
DIJKSTRA,0.2520000935,34457,304
DFS_NORMAL,0.7599999905,228723,110592
DFS_LIM,0.4909999371,225719,114112
BFS,0.1139998436,41396,622
A*,0.3910000324,32995,451
BA*,0.5599994659,8800,471
EBA*,0.5559999943,9576,455
DIJKSTRA,0.4859919548,98879,451
DFS_NORMAL,0.5479996204,93485,181017
DFS_LIM,0.2579987049,93956,142065
BFS,0.1460008621,55098,1727
A*,0.2950000763,10059,340
BA*,0.5409998894,9287,346
EBA*,0.5719997883,18750,344
DIJKSTRA,0.4109997749,78352,340
DFS_NORMAL,0.4649999142,60829,84704
DFS_LIM,0.0659992695,11015,13792
BFS,0.1920001507,78461,862
A*,0.2640008926,1933,129
BA*,0.5190005302,1395,129
EBA*,0.5119996071,1824,141
DIJKSTRA,0.1800000668,10755,129
DFS_NORMAL,0.755998373,192959,215445
DFS_LIM,0.0450012684,3948,1727
BFS,0.0620002747,12130,129
A*,0.2639992237,2051,176
BA*,0.5100002289,1754,176
EBA*,0.5099999905,2640,176
DIJKSTRA,0.209000349,20144,176
DFS_NORMAL,0.5169999599,82610,188762
DFS_LIM,0.2479999065,88242,182512
BFS,0.0879976749,26817,176
A*,0.280002594,6046,274
BA*,0.5400013924,7360,274
EBA*,0.5310008526,7302,274
DIJKSTRA,0.2610003948,34795,274
DFS_NORMAL,0.4460000992,50583,118750
DFS_LIM,0.1659998894,51414,112828
BFS,0.1149997711,39748,1318
A*,0.2940001488,10502,367
BA*,0.5320003033,7944,377
EBA*,0.5299999714,8284,377
DIJKSTRA,0.3269979954,56651,367
DFS_NORMAL,0.0549988747,7946,30279
DFS_LIM,0.0579998493,9225,28497
BFS,0.140999794,54895,1605
A*,0.3919866085,34297,908
BA*,0.5309882164,2698,908
EBA*,0.5419991016,3660,908
DIJKSTRA,0.5560007095,119663,908
DFS_NORMAL,0.7239999771,165508,277424
DFS_LIM,0.4499998093,169657,265572
BFS,0.1329994202,48503,3204
A*,0.2789998055,6983,183
BA*,0.5019991398,465,183
EBA*,0.5010004044,831,183
DIJKSTRA,0.2190001011,24294,183
DFS_NORMAL,0.5850000381,110727,162069
DFS_LIM,0.3369991779,125324,185437
BFS,0.0439999104,4547,1179
A*,0.2890007496,7084,363
BA*,0.5699996948,9653,367
EBA*,0.5820133686,12386,387
DIJKSTRA,0.4219994545,82576,363
DFS_NORMAL,0.1319992542,27964,69189
DFS_LIM,0.5079889297,93954,134461
BFS,0.2160027027,90129,405
A*,0.2820000648,7782,366
BA*,0.5240008831,6120,370
EBA*,0.6169874668,15560,366
