Algorithm_name,avg_exec_time,avg_searched_cells,avg_path_cost,overall_performance,overall_rank
DFS_LIM,1.036988732,515.526,351.922,100.0,1.0
DFS,0.9359822192,446.976,512.65,87.72,2.0
