Algorithm_name,Execution Time (ms),Searched Cells,Total Path Cost
DFS,0.0,80,102
DFS_LIM,0.9992123,329,212
DFS,0.9999275,443,530
DFS_LIM,0.0,324,68
DFS,0.9999275,692,465
DFS_LIM,0.9999275,753,331
DFS,0.9996891,716,574
DFS_LIM,1.0030270000000001,691,336
DFS,1.0004044,363,476
DFS_LIM,1.999855,653,476
DFS,2.0005702999999997,712,684
DFS_LIM,1.9996165999999997,679,408
DFS,0.9999275,528,682
DFS_LIM,1.0001659,655,450
DFS,0.9994507,205,132
DFS_LIM,1.0020733,227,128
DFS,0.0,251,365
DFS_LIM,1.0025501,224,133
DFS,1.0006428,469,760
DFS_LIM,0.9963512,797,676
DFS,0.9999275,805,935
DFS_LIM,1.0039806,645,907
DFS,0.9994507,272,555
DFS_LIM,2.0008087,623,481
DFS,0.0,189,142
DFS_LIM,0.0,208,128
DFS,1.0004044,349,401
DFS_LIM,1.0004044,768,209
DFS,0.0,351,852
DFS_LIM,0.9994507,495,142
DFS,1.0001659,416,562
DFS_LIM,2.0000934999999997,714,220
DFS,0.9999275,182,234
DFS_LIM,1.0004044,395,316
DFS,0.0,324,669
DFS_LIM,0.9977817999999999,391,91
DFS,1.0025501,606,1062
DFS_LIM,0.9996891,480,624
DFS,0.9999275,464,998
DFS_LIM,1.0025501,520,856
DFS,0.0,192,137
DFS_LIM,1.0025501,336,93
DFS,0.9996891,522,520
DFS_LIM,1.0001659,486,224
DFS,1.0004044,491,336
DFS_LIM,1.0006428,305,98
DFS,0.9989738,201,378
DFS_LIM,0.0,222,134
DFS,0.0,301,348
DFS_LIM,1.0006428,254,358
DFS,1.9991397999999998,633,1004
DFS_LIM,1.0006428,568,678
DFS,0.9999275,349,461
DFS_LIM,1.0027885,465,373
DFS,0.0,171,295
DFS_LIM,0.0,336,143
DFS,0.9999275,562,186
DFS_LIM,1.0001659,545,186
DFS,1.0004044,419,912
DFS_LIM,0.9999275,340,122
DFS,0.9999275,733,920
DFS_LIM,1.0025501,395,590
DFS,0.9999275,794,774
DFS_LIM,1.0001659,641,774
DFS,0.0,122,124
DFS_LIM,0.0,200,124
DFS,2.0010471,620,773
DFS_LIM,1.9989014,743,309
DFS,1.9979477,620,815
DFS_LIM,1.9996165999999997,685,663
DFS,1.0001659,621,326
DFS_LIM,1.0004044,630,302
DFS,0.0,435,529
DFS_LIM,1.0030270000000001,370,129
DFS,0.9999275,133,637
DFS_LIM,1.0004044,459,637
DFS,1.0001659,709,790
DFS_LIM,1.0030270000000001,704,300
DFS,0.9999275,684,628
DFS_LIM,1.0001659,707,628
DFS,1.0001659,539,395
DFS_LIM,1.0027885,661,545
DFS,0.9989738,809,306
DFS_LIM,1.0025501,783,192
DFS,0.9975432999999999,568,536
DFS_LIM,1.999855,677,240
DFS,1.0004044,195,100
DFS_LIM,0.0,224,106
DFS,1.9977093,686,346
DFS_LIM,1.999855,562,530
DFS,1.0008812,387,230
DFS_LIM,0.9989738,452,140
DFS,1.0004044,783,540
DFS_LIM,1.0001659,772,536
DFS,0.0,177,168
DFS_LIM,0.0,185,168
DFS,1.0001659,639,553
DFS_LIM,1.0025501,619,639
DFS,0.0,240,527
DFS_LIM,1.0025501,672,101
DFS,0.9999275,575,1137
DFS_LIM,2.0015240000000003,651,1069
DFS,1.9993782,683,359
DFS_LIM,1.0027885,107,53
DFS,1.9989014,712,332
DFS_LIM,1.0001659,193,96
DFS,0.9984970000000001,557,968
DFS_LIM,1.0030270000000001,614,956
DFS,0.9996891,161,125
DFS_LIM,1.0004044,412,113
DFS,0.9999275,593,943
DFS_LIM,1.0035038,584,265
DFS,0.9994507,613,234
DFS_LIM,1.0027885,611,242
DFS,0.0,442,667
DFS_LIM,1.0004044,593,549
DFS,1.0001659,299,538
DFS_LIM,1.0030270000000001,246,190
DFS,0.9996891,825,16
DFS_LIM,0.0,218,16
DFS,0.9999275,693,627
DFS_LIM,1.0027885,680,255
DFS,1.0001659,429,578
DFS_LIM,1.0027885,355,122
DFS,0.0,251,718
DFS_LIM,0.0,304,120
DFS,1.0001659,308,446
DFS_LIM,1.0027885,432,376
DFS,0.9996891,178,174
DFS_LIM,1.0001659,689,96
DFS,0.0,54,122
DFS_LIM,1.0032654,77,118
DFS,1.0001659,676,993
DFS_LIM,1.0037422,774,931
DFS,1.0001659,811,222
DFS_LIM,1.0001659,414,182
DFS,0.9999275,395,1005
DFS_LIM,2.0005702999999997,793,481
DFS,1.0001659,387,223
DFS_LIM,1.0001659,357,195
DFS,0.9999275,685,217
DFS_LIM,2.0005702999999997,690,195
DFS,1.0006428,522,667
DFS_LIM,1.999855,764,635
DFS,0.9999275,476,480
DFS_LIM,2.0000934999999997,713,266
DFS,0.9999275,468,754
DFS_LIM,1.9996165999999997,637,640
DFS,1.9996165999999997,793,446
DFS_LIM,1.0008812,806,434
DFS,0.9999275,459,255
DFS_LIM,1.0020733,614,251
DFS,1.0004044,527,610
DFS_LIM,1.0008812,306,104
DFS,0.9977817999999999,222,670
DFS_LIM,0.0,282,642
DFS,1.0006428,306,496
DFS_LIM,1.0027885,567,246
DFS,0.9987354,371,264
DFS_LIM,1.0032654,323,346
DFS,1.0001659,494,696
DFS_LIM,1.0023117,626,238
DFS,1.9993782,602,600
DFS_LIM,1.9996165999999997,694,516
DFS,0.9999275,263,753
DFS_LIM,2.0000934999999997,650,143
DFS,0.9999275,730,851
DFS_LIM,1.0001659,711,865
DFS,0.9999275,725,852
DFS_LIM,1.0035038,506,664
DFS,0.0,144,617
DFS_LIM,1.0001659,491,617
DFS,0.9982585999999999,192,231
DFS_LIM,0.0,428,231
DFS,0.9989738,694,257
DFS_LIM,1.0023117,678,423
DFS,0.9994507,347,777
DFS_LIM,2.0000934999999997,787,785
DFS,1.0001659,389,517
DFS_LIM,0.9996891,598,517
DFS,0.0,115,545
DFS_LIM,0.0,363,135
DFS,1.0001659,636,470
DFS_LIM,0.9999275,710,438
DFS,1.0004044,756,382
DFS_LIM,1.0018349,732,150
DFS,2.0003319,606,490
DFS_LIM,1.0001659,371,108
DFS,0.9999275,400,457
DFS_LIM,1.0006428,375,145
DFS,2.0020008000000002,729,813
DFS_LIM,1.0004044,353,199
DFS,0.9996891,626,271
DFS_LIM,0.0,219,131
DFS,1.999855,718,742
DFS_LIM,1.0030270000000001,291,48
DFS,0.0,204,178
DFS_LIM,1.0004044,258,84
DFS,0.9996891,481,630
DFS_LIM,1.999855,692,122
DFS,0.9999275,372,266
DFS_LIM,1.0035038,244,136
DFS,1.0001659,394,506
DFS_LIM,1.0032654,338,472
DFS,0.0,284,350
DFS_LIM,1.0004044,413,298
DFS,0.9977817999999999,764,321
DFS_LIM,1.0001659,503,137
DFS,0.0,55,239
DFS_LIM,0.0,195,243
DFS,0.9996891,458,994
DFS_LIM,0.0,298,628
DFS,0.9999275,693,602
DFS_LIM,0.9999275,563,468
DFS,0.9994507,612,665
DFS_LIM,0.9999275,404,207
DFS,1.0006428,596,841
DFS_LIM,0.9999275,699,855
DFS,0.9996891,368,418
DFS_LIM,1.0025501,436,196
DFS,0.0,382,255
DFS_LIM,0.9999275,434,223
DFS,1.0001659,563,581
DFS_LIM,1.0004044,202,235
DFS,0.9999275,743,248
DFS_LIM,1.0020733,766,376
DFS,0.0,43,381
DFS_LIM,0.0,89,381
DFS,0.9994507,738,277
DFS_LIM,1.0025501,790,331
DFS,2.0000934999999997,705,478
DFS_LIM,2.0008087,749,220
DFS,1.0001659,267,253
DFS_LIM,0.9987354,426,107
DFS,1.0001659,379,567
DFS_LIM,1.0018349,561,555
DFS,1.0001659,334,456
DFS_LIM,1.0006428,591,286
DFS,0.9996891,316,218
DFS_LIM,0.0,327,200
DFS,0.9999275,244,231
DFS_LIM,1.0032654,291,91
DFS,1.0001659,428,471
DFS_LIM,1.0001659,622,517
DFS,0.0,140,221
DFS_LIM,0.0,245,221
DFS,0.0,77,75
DFS_LIM,0.0,125,73
DFS,1.0001659,526,674
DFS_LIM,1.0006428,726,114
DFS,0.9999275,508,283
DFS_LIM,1.0004044,555,601
DFS,0.9999275,519,349
DFS_LIM,1.0001659,470,283
DFS,1.0004044,280,444
DFS_LIM,1.0004044,723,554
DFS,0.9996891,603,1127
DFS_LIM,1.0030270000000001,573,871
DFS,1.0006428,294,516
DFS_LIM,0.9999275,344,136
DFS,0.0,340,516
DFS_LIM,1.0004044,251,146
DFS,0.9996891,604,675
DFS_LIM,1.0025501,281,239
DFS,0.9999275,196,359
DFS_LIM,1.999855,711,447
DFS,0.0,113,154
DFS_LIM,0.0,342,158
DFS,0.9996891,643,511
DFS_LIM,1.0025501,350,123
DFS,0.9999275,360,801
DFS_LIM,1.0006428,495,149
DFS,1.0004044,126,567
DFS_LIM,1.0025501,270,585
DFS,0.9999275,403,617
DFS_LIM,1.0023117,614,265
DFS,0.0,393,409
DFS_LIM,1.0001659,780,205
DFS,1.0001659,678,205
DFS_LIM,2.0003319,786,205
DFS,0.9999275,506,1075
DFS_LIM,1.0004044,459,593
DFS,0.0,139,234
DFS_LIM,0.9996891,482,330
DFS,1.0008812,408,485
DFS_LIM,1.0027885,526,203
DFS,0.9999275,685,740
DFS_LIM,1.999855,687,740
DFS,0.9999275,357,178
DFS_LIM,2.0000934999999997,700,140
DFS,1.0001659,410,427
DFS_LIM,1.0030270000000001,562,133
DFS,0.0,293,565
DFS_LIM,1.0032654,779,487
DFS,0.9999275,323,852
DFS_LIM,1.0025501,525,472
DFS,2.0000934999999997,743,285
DFS_LIM,1.9996165999999997,741,351
DFS,1.999855,703,845
DFS_LIM,2.0003319,731,613
DFS,0.0,264,360
DFS_LIM,1.0032654,318,308
DFS,0.9999275,473,757
DFS_LIM,0.0,392,481
DFS,2.0008087,560,750
DFS_LIM,1.0018349,533,632
DFS,0.9999275,745,384
DFS_LIM,1.0027885,724,384
DFS,0.0,214,208
DFS_LIM,0.0,361,158
DFS,0.9999275,536,902
DFS_LIM,1.0001659,661,544
DFS,0.0,206,370
DFS_LIM,1.0032654,408,824
DFS,1.0001659,233,883
DFS_LIM,1.0006428,333,837
DFS,0.9996891,347,499
DFS_LIM,1.0001659,684,549
DFS,0.9999275,320,316
DFS_LIM,0.0,84,92
DFS,0.9999275,384,353
DFS_LIM,1.0027885,716,345
DFS,0.9994507,313,365
DFS_LIM,1.0032654,559,479
DFS,0.0,268,430
DFS_LIM,0.0,178,300
DFS,1.9996165999999997,748,923
DFS_LIM,2.0000934999999997,657,741
DFS,2.0003319,704,454
DFS_LIM,1.9996165999999997,685,338
DFS,0.9999275,334,276
DFS_LIM,1.0008812,380,334
DFS,1.0011196,483,1071
DFS_LIM,1.0025501,443,571
DFS,0.9999275,545,794
DFS_LIM,1.999855,731,582
DFS,0.9994507,466,288
DFS_LIM,0.9999275,332,288
DFS,1.0001659,646,360
DFS_LIM,1.0030270000000001,603,170
DFS,0.9996891,316,524
DFS_LIM,1.0001659,493,494
DFS,0.9999275,444,1006
DFS_LIM,1.999855,630,694
DFS,1.0001659,264,155
DFS_LIM,1.0037422,416,213
DFS,1.0001659,531,654
DFS_LIM,1.0006428,686,612
DFS,1.999855,534,540
DFS_LIM,1.001358,455,266
DFS,1.0001659,453,842
DFS_LIM,1.0006428,618,660
DFS,0.9999275,511,452
DFS_LIM,1.0015965,521,572
DFS,2.0003319,638,536
DFS_LIM,2.0008087,729,648
DFS,0.0,150,628
DFS_LIM,1.0032654,379,190
DFS,1.0004044,332,230
DFS_LIM,1.0025501,438,358
DFS,1.999855,820,364
DFS_LIM,1.0004044,770,368
DFS,0.9999275,271,729
DFS_LIM,1.0023117,343,693
DFS,0.9994507,532,1113
DFS_LIM,1.0030270000000001,435,515
DFS,0.0,369,291
DFS_LIM,0.9982585999999999,538,231
DFS,0.9999275,781,574
DFS_LIM,1.999855,815,564
DFS,1.0004044,428,411
DFS_LIM,1.0025501,506,489
DFS,0.9999275,355,746
DFS_LIM,1.0001659,627,426
DFS,1.0001659,694,603
DFS_LIM,1.0011196,686,115
DFS,0.9999275,359,562
DFS_LIM,2.0027160999999998,558,562
DFS,0.9999275,482,664
DFS_LIM,0.0,329,196
DFS,1.0001659,272,436
DFS_LIM,0.9999275,442,308
DFS,1.0025501,316,793
DFS_LIM,0.9994507,473,697
DFS,0.0,113,587
DFS_LIM,1.0037422,493,307
DFS,1.0001659,598,562
DFS_LIM,1.0001659,428,562
DFS,1.0001659,236,555
DFS_LIM,0.9999275,521,471
DFS,2.0003319,785,248
DFS_LIM,1.0030270000000001,494,424
DFS,0.9999275,159,669
DFS_LIM,1.0032654,428,669
DFS,0.0,236,246
DFS_LIM,1.0006428,267,224
DFS,0.9999275,726,163
DFS_LIM,1.0032654,410,163
DFS,0.9999275,747,575
DFS_LIM,0.0,287,115
DFS,1.0001659,391,226
DFS_LIM,2.0010471,598,130
DFS,0.9999275,376,522
DFS_LIM,1.0006428,807,88
DFS,0.9984970000000001,486,529
DFS_LIM,1.0027885,599,309
DFS,1.0001659,338,331
DFS_LIM,1.0023117,106,39
DFS,1.0004044,98,477
DFS_LIM,1.9996165999999997,601,625
DFS,0.9999275,486,564
DFS_LIM,1.0023117,780,160
DFS,0.0,351,378
DFS_LIM,1.0006428,212,140
DFS,0.9996891,202,276
DFS_LIM,1.0001659,332,276
DFS,1.0004044,744,545
DFS_LIM,1.0027885,741,421
DFS,1.0001659,416,975
DFS_LIM,1.0001659,373,145
DFS,2.0000934999999997,554,910
DFS_LIM,1.0004044,612,336
DFS,0.9999275,544,226
DFS_LIM,1.0035038,387,198
DFS,0.0,299,144
DFS_LIM,1.0001659,493,144
DFS,0.0,98,76
DFS_LIM,0.0,114,70
DFS,0.0,326,330
DFS_LIM,1.0027885,238,170
DFS,0.0,268,261
DFS_LIM,1.0032654,379,253
DFS,0.9999275,495,260
DFS_LIM,1.0004044,413,260
DFS,1.0001659,651,418
DFS_LIM,1.0001659,523,762
DFS,0.9975432999999999,453,747
DFS_LIM,1.0018349,600,379
DFS,0.9996891,703,977
DFS_LIM,0.9999275,756,935
DFS,0.9999275,508,415
DFS_LIM,1.0030270000000001,552,935
DFS,1.0001659,468,886
DFS_LIM,1.0030270000000001,639,218
DFS,0.0,296,520
DFS_LIM,0.9994507,386,546
DFS,0.9999275,173,481
DFS_LIM,1.0032654,336,493
DFS,1.0008812,194,147
DFS_LIM,0.9996891,272,133
DFS,1.0006428,601,764
DFS_LIM,1.0001659,581,522
DFS,0.9996891,267,755
DFS_LIM,1.0032654,319,755
DFS,1.0001659,473,425
DFS_LIM,1.0011196,465,421
DFS,1.0001659,394,445
DFS_LIM,0.9980201999999999,401,491
DFS,1.0001659,307,376
DFS_LIM,0.9996891,771,240
DFS,1.999855,685,357
DFS_LIM,2.0000934999999997,688,459
DFS,1.0001659,717,229
DFS_LIM,1.0008812,778,257
DFS,0.0,220,255
DFS_LIM,1.0001659,534,105
DFS,1.0004044,205,158
DFS_LIM,0.0,296,130
DFS,0.9999275,481,857
DFS_LIM,2.0003319,667,421
DFS,2.0000934999999997,631,723
DFS_LIM,0.9999275,563,341
DFS,0.9999275,700,636
DFS_LIM,1.0004044,584,238
DFS,1.0001659,264,157
DFS_LIM,1.0001659,398,285
DFS,0.9996891,159,194
DFS_LIM,2.0000934999999997,620,810
DFS,1.0001659,247,417
DFS_LIM,0.0,393,413
DFS,0.0,102,86
DFS_LIM,0.0,253,76
DFS,0.0,130,253
DFS_LIM,0.9999275,492,339
DFS,1.0006428,443,393
DFS_LIM,0.9999275,442,701
DFS,0.0,222,397
DFS_LIM,1.0030270000000001,710,397
DFS,0.9994507,200,188
DFS_LIM,2.0000934999999997,657,604
DFS,1.0006428,563,725
DFS_LIM,0.9999275,457,683
DFS,2.0000934999999997,645,597
DFS_LIM,1.0032654,322,487
DFS,1.0004044,550,442
DFS_LIM,1.0011196,599,540
DFS,0.9999275,354,534
DFS_LIM,1.0004044,521,40
DFS,0.9999275,303,310
DFS_LIM,0.0,396,250
DFS,0.9989738,410,481
DFS_LIM,1.0025501,693,103
DFS,1.0001659,381,745
DFS_LIM,1.0001659,666,519
DFS,0.0,279,336
DFS_LIM,1.0006428,709,270
DFS,0.9999275,453,48
DFS_LIM,1.0030270000000001,229,88
DFS,1.999855,565,387
DFS_LIM,1.0008812,472,357
DFS,0.9999275,390,613
DFS_LIM,1.0006428,696,609
DFS,1.0001659,412,267
DFS_LIM,1.999855,607,495
DFS,1.0004044,673,353
DFS_LIM,0.0,241,71
DFS,2.0000934999999997,769,499
DFS_LIM,1.9996165999999997,806,257
DFS,0.9996891,440,729
DFS_LIM,0.9999275,518,267
DFS,0.0,158,278
DFS_LIM,1.0032654,733,160
DFS,0.9996891,594,1156
DFS_LIM,1.0032654,747,534
DFS,0.9996891,469,423
DFS_LIM,2.0003319,672,491
DFS,2.0003319,721,330
DFS_LIM,1.0027885,736,214
DFS,0.9996891,655,247
DFS_LIM,1.0027885,823,95
DFS,2.0005702999999997,649,508
DFS_LIM,1.9996165999999997,695,952
DFS,0.9999275,443,737
DFS_LIM,0.0,428,673
DFS,0.9992123,685,597
DFS_LIM,1.0025501,722,305
DFS,0.9996891,461,412
DFS_LIM,1.0001659,532,412
DFS,1.0004044,198,448
DFS_LIM,1.0006428,482,448
DFS,0.0,286,210
DFS_LIM,1.0004044,331,176
DFS,1.0006428,441,553
DFS_LIM,1.0027885,529,749
DFS,0.0,114,130
DFS_LIM,1.0030270000000001,347,148
DFS,1.0001659,782,391
DFS_LIM,0.9996891,565,105
DFS,0.0,317,289
DFS_LIM,0.9975432999999999,459,57
DFS,1.0001659,685,701
DFS_LIM,1.0025501,515,243
DFS,2.0012856,721,783
DFS_LIM,1.9986628999999998,651,757
DFS,0.9994507,805,205
DFS_LIM,1.0001659,822,201
DFS,0.9996891,616,354
DFS_LIM,1.0027885,335,152
DFS,1.0004044,491,665
DFS_LIM,0.9996891,518,377
DFS,1.0001659,401,481
DFS_LIM,1.0011196,327,49
DFS,1.9996165999999997,740,331
DFS_LIM,2.0000934999999997,746,361
DFS,1.0001659,314,440
DFS_LIM,1.0004044,240,84
DFS,0.9999275,480,851
DFS_LIM,1.0032654,346,359
DFS,1.0023117,354,891
DFS_LIM,1.9981860999999999,708,683
DFS,0.9999275,584,482
DFS_LIM,0.0,165,124
DFS,1.0001659,588,648
DFS_LIM,2.0000934999999997,733,602
DFS,1.0004044,425,898
DFS_LIM,2.0003319,715,246
DFS,0.9992123,589,827
DFS_LIM,0.0,413,371
DFS,0.9999275,507,646
DFS_LIM,1.0011196,600,486
DFS,0.0,318,846
DFS_LIM,0.9999275,412,846
DFS,0.9965897,219,698
DFS_LIM,0.0,290,698
DFS,1.9996165999999997,755,221
DFS_LIM,0.9999275,667,221
DFS,1.0011196,568,331
DFS_LIM,1.0025501,774,893
DFS,1.0027885,456,300
DFS_LIM,1.0008812,455,210
DFS,0.9999275,391,644
DFS_LIM,1.9986628999999998,509,644
DFS,1.0018349,669,830
DFS_LIM,0.0,375,58
DFS,0.0,350,259
DFS_LIM,1.001358,561,633
DFS,1.0004044,508,365
DFS_LIM,1.0001659,817,567
DFS,2.0022392,671,191
DFS_LIM,0.9992123,494,549
DFS,0.0,291,846
DFS_LIM,0.9977817999999999,567,186
DFS,0.9992123,592,937
DFS_LIM,2.0000934999999997,813,937
DFS,0.9996891,704,453
DFS_LIM,1.0027885,695,881
DFS,2.0000934999999997,673,1026
DFS_LIM,1.0025501,768,750
DFS,1.0001659,458,513
DFS_LIM,1.0011196,406,95
DFS,0.9984970000000001,534,752
DFS_LIM,1.0006428,649,262
DFS,0.9996891,668,445
DFS_LIM,1.0035038,659,445
DFS,0.0,363,807
