Algorithm_name,avg_exec_time,avg_searched_cells,avg_path_cost,overall_performance,overall_rank
DFS_LIM,15.4100050892,7318.982,5940.834,100.0,1.0
DFS,14.9180145238,6751.92,7527.982,88.37,2.0
