Algorithm_name,Execution Time (ms),Searched Cells,Total Path Cost
DFS,4.0001869,861,3697
DFS_LIM,6.9997311,2588,3901
DFS,4.0006638,886,1615
DFS_LIM,7.998704900000001,3138,1405
DFS,23.0028629,12674,3097
DFS_LIM,19.9995041,10967,2729
DFS,22.0015049,10824,11300
DFS_LIM,24.0008831,11097,7938
DFS,14.9996281,6446,11322
DFS_LIM,13.9997005,6491,10842
DFS,4.001140599999999,954,1883
DFS_LIM,10.0002289,4140,4555
DFS,10.9987259,4842,12038
DFS_LIM,12.0000839,5231,11008
DFS,7.9991817,2901,3738
DFS_LIM,17.998457,9193,1976
DFS,23.000240299999998,10151,11026
DFS_LIM,21.999836,10400,10580
DFS,7.999897000000001,2930,3917
DFS_LIM,9.000301400000001,3335,3693
DFS,21.000146899999997,10778,6088
DFS_LIM,19.999980899999997,10289,7560
DFS,20.0004578,10065,11096
DFS_LIM,18.0001259,8853,7732
DFS,9.0000629,3545,7659
DFS_LIM,9.999036799999999,4313,2605
DFS,23.001193999999998,9442,10616
DFS_LIM,22.0005512,9951,6088
DFS,13.9997005,5842,6801
DFS_LIM,14.0006542,6029,6649
DFS,24.0001678,12609,4374
DFS_LIM,14.0011311,6846,2914
DFS,23.999452599999998,12814,7206
DFS_LIM,20.999670000000002,10725,7132
DFS,13.0002499,5808,6991
DFS_LIM,17.0001984,8273,8653
DFS,21.999836,11215,11519
DFS_LIM,20.996809000000002,10303,11191
DFS,20.0004578,10469,1567
DFS_LIM,17.0001984,8325,6023
DFS,10.9994411,4687,5209
DFS_LIM,9.0000629,4016,1717
DFS,23.0000019,10784,12418
DFS_LIM,20.999670000000002,10244,9888
DFS,24.000406299999998,12587,3353
DFS_LIM,26.000261300000002,12757,1047
DFS,17.9998875,8647,8093
DFS_LIM,14.0006542,6114,6559
DFS,3.9999485000000004,1041,3503
DFS_LIM,4.9996376,1444,3669
DFS,7.999897000000001,2928,10815
DFS_LIM,10.0002289,4145,2595
DFS,6.000042,2006,4316
DFS_LIM,6.998777400000001,2426,4292
DFS,10.999679599999999,4663,6937
DFS_LIM,13.0021572,5223,6103
DFS,15.000343299999999,6992,7952
DFS_LIM,18.0001259,8653,8394
DFS,7.999658600000001,3098,8061
DFS_LIM,4.999876,1289,3539
DFS,20.0009346,9926,11284
DFS_LIM,20.9999084,10235,8834
DFS,19.9997425,10034,10561
DFS_LIM,13.0023956,6277,2001
DFS,16.997337299999998,4085,4581
DFS_LIM,11.9972229,4266,4773
DFS,17.9998875,8611,12983
DFS_LIM,12.997388800000001,5751,7925
DFS,20.999670000000002,10223,10261
DFS_LIM,20.0002193,10767,6123
DFS,20.0002193,10540,8961
DFS_LIM,18.9986229,10162,8871
DFS,11.0001564,4779,8326
DFS_LIM,12.0005608,5937,4854
DFS,12.999773,5590,7411
DFS_LIM,9.999036799999999,4214,3727
DFS,9.999752,4211,5181
DFS_LIM,11.9996071,5723,3421
DFS,9.999513599999998,4236,6282
DFS_LIM,12.000322299999999,5540,4844
DFS,7.0002079,2180,6736
DFS_LIM,12.999773,5724,7670
DFS,16.0002708,6470,5049
DFS_LIM,23.000240299999998,11711,3087
DFS,11.9998455,5396,9866
DFS_LIM,14.000177399999998,6439,8538
DFS,22.9997635,12515,7361
DFS_LIM,11.0003948,4979,10157
DFS,19.9995041,8900,9831
DFS_LIM,16.9987679,8358,10213
DFS,14.9996281,6935,7311
DFS_LIM,14.9998665,6970,7081
DFS,5.9998035000000005,1916,4765
DFS_LIM,6.0019493,2546,1409
DFS,14.0004158,5988,7674
DFS_LIM,16.0002708,7397,6916
DFS,5.0001144,1516,4450
DFS_LIM,15.999794000000001,8059,3576
DFS,13.0004883,5173,9241
DFS_LIM,12.000322299999999,5516,3121
DFS,17.9998875,8222,11880
DFS_LIM,10.999918,4987,8006
DFS,20.9999084,10306,10108
DFS_LIM,20.999670000000002,10384,5342
DFS,18.999099700000002,8775,10284
DFS_LIM,17.9998875,8984,9458
DFS,17.9998875,9339,3004
DFS_LIM,19.9997425,10471,1362
DFS,19.000053400000002,9333,10714
DFS_LIM,13.0002499,6023,4930
DFS,17.9998875,8439,14233
DFS_LIM,15.0001049,7078,5727
DFS,5.9995651,2162,2539
DFS_LIM,6.9994926,2812,2621
DFS,8.999824499999999,3611,5874
DFS_LIM,8.9995861,4137,3866
DFS,23.0009556,12278,5514
DFS_LIM,23.0000019,11998,4446
DFS,23.999929400000003,12008,7311
DFS_LIM,14.999389599999999,7288,7119
DFS,6.9992542,2211,2784
