Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.3580002785,31604,21072
BA*,0.5590002537,10885,21072
EBA*,0.5709989071,12177,21072
DIJKSTRA,0.2529892921,33907,21072
DFS_NORMAL,0.3509998322,173509,21072
DFS_LIM,0.062997818,11066,21072
BFS,0.0679998398,14083,21072
A*,0.3010005951,13907,29115
BA*,0.5559880733,15020,29115
EBA*,0.54601264,13604,29115
DIJKSTRA,0.1849999428,15273,29115
DFS_NORMAL,0.2189998627,107938,29115
DFS_LIM,0.15300107,67419,29115
BFS,0.0569999218,10930,29115
A*,0.9199991226,203206,84142
BA*,0.7700004578,76510,84142
EBA*,0.8159999847,92967,84142
DIJKSTRA,0.6879999638,203209,84142
DFS_NORMAL,0.3750014305,188331,84142
DFS_LIM,0.3850002289,188603,84142
BFS,0.3340113163,153164,84142
A*,0.3150005341,19037,8428
BA*,0.5409998894,11957,8428
EBA*,0.540999651,12639,8428
DIJKSTRA,0.194000721,19042,8428
DFS_NORMAL,0.3710000515,196794,8428
DFS_LIM,0.385999918,201108,8428
BFS,0.0709991455,19092,8428
A*,0.2789993286,5192,2413
BA*,0.5279998779,3370,2413
EBA*,0.5290000439,4205,2413
DIJKSTRA,0.1640000343,5245,2413
DFS_NORMAL,0.3870000839,202899,2413
DFS_LIM,0.069000721,17771,2413
BFS,0.0469999313,3948,2413
A*,0.6539998055,126581,71531
BA*,0.835000515,102328,71531
EBA*,0.8449993134,101107,71531
DIJKSTRA,0.4749999046,128186,71531
DFS_NORMAL,0.2459990978,117585,71531
DFS_LIM,0.2630000114,123172,71531
BFS,0.1680002213,67481,71531
A*,0.5479996204,90589,76703
BA*,0.9159998894,122234,76703
EBA*,0.9300000668,129215,76703
DIJKSTRA,0.3860006332,91571,76703
DFS_NORMAL,0.2129995823,93799,76703
DFS_LIM,0.2799999714,129870,76703
BFS,0.2159998417,92232,76703
A*,0.4820001125,71602,37077
BA*,0.5750007629,20691,37077
EBA*,0.5600008965,14814,37077
DIJKSTRA,0.3310008049,72361,37077
DFS_NORMAL,0.0540003777,8597,37077
DFS_LIM,0.0950000286,31196,37077
BFS,0.0979990959,31611,37077
A*,0.6829998493,133717,81828
BA*,0.9060001373,120175,81828
EBA*,0.9019992352,119959,81828
DIJKSTRA,0.4960007668,134076,81828
DFS_NORMAL,0.3459990025,169010,81828
DFS_LIM,0.3569998741,170540,81828
BFS,0.3320002556,155215,81828
A*,0.618999958,113240,96022
BA*,0.9840114117,148442,96022
EBA*,0.9760000706,147999,96022
DIJKSTRA,0.4429988861,113240,96022
DFS_NORMAL,0.3439998627,167834,96022
