Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.9330129623,161152,1990
BA*,0.932986021,101356,2150
EBA*,0.9470126629,104456,2150
DIJKSTRA,0.7909870148,195764,1990
DFS_NORMAL,0.2479999065,79885,82162
DFS_LIM,0.2269873619,83534,71092
BFS,0.4170007706,197579,3682
A*,0.3250000477,17499,854
BA*,0.5550129414,14845,854
EBA*,0.5539999008,14942,854
DIJKSTRA,0.3519997597,64337,854
DFS_NORMAL,0.2350027561,87171,85420
DFS_LIM,0.220000267,91289,49092
BFS,0.2069997787,90597,886
A*,0.7899975777,128509,1550
BA*,0.9940025806,118602,1670
EBA*,0.9389998913,104949,1656
DIJKSTRA,0.7310011387,180918,1550
DFS_NORMAL,0.3570005894,144889,137548
DFS_LIM,0.5989973545,145095,137536
BFS,0.3720004559,181177,3842
A*,0.7190117836,115618,1459
BA*,0.8599998951,90171,1537
EBA*,0.875010252,93552,1459
DIJKSTRA,0.7479999065,188145,1459
DFS_NORMAL,0.0789997578,19794,30321
DFS_LIM,0.0869984627,24165,28833
BFS,0.3900001049,190446,7105
A*,0.3850131035,32476,838
BA*,0.6280093193,30508,838
EBA*,0.6229860783,30974,838
DIJKSTRA,0.4259970188,85627,838
DFS_NORMAL,0.2500004768,90271,146228
DFS_LIM,0.4170088768,172664,142358
BFS,0.2460012436,111762,974
A*,0.5089998245,65300,939
BA*,0.6449990273,38990,939
EBA*,0.6590123177,42780,939
DIJKSTRA,0.5750007629,133091,939
DFS_NORMAL,0.3359994888,138183,182471
DFS_LIM,0.5699973106,129164,169933
BFS,0.2190027237,98640,1751
A*,0.308000803,14276,507
BA*,0.5649971962,13808,507
EBA*,0.5579996109,13972,507
DIJKSTRA,0.3150002956,52933,507
DFS_NORMAL,0.3860001564,166957,139773
DFS_LIM,0.6640002728,192913,73259
BFS,0.1529998779,63017,943
A*,0.52099967,66783,1182
BA*,0.7149968147,56927,1182
EBA*,0.713000536,57292,1182
DIJKSTRA,0.604998827,144969,1182
DFS_NORMAL,0.2539999485,95833,116296
DFS_LIM,0.242000103,94876,116050
BFS,0.3430001736,164198,2816
A*,0.6610002518,99167,1134
BA*,0.6650011539,40686,1134
EBA*,0.6779985428,44854,1134
DIJKSTRA,0.6929969788,167239,1134
DFS_NORMAL,0.4219961166,200833,41176
DFS_LIM,0.6679999828,197644,31128
BFS,0.2720003128,126106,3412
A*,0.5520000458,73449,1180
BA*,0.632997036,35699,1250
EBA*,0.6419973373,37236,1180
DIJKSTRA,0.8499970436,194619,1180
DFS_NORMAL,0.3890128136,186506,40328
DFS_LIM,0.6900098324,210988,18260
BFS,0.4360005856,212022,4482
A*,0.6800134182,101993,1332
BA*,0.8649997711,89483,1332
EBA*,0.8769893646,91296,1332
DIJKSTRA,0.7200124264,175624,1332
DFS_NORMAL,0.6849994659,192793,70100
DFS_LIM,0.4090006351,195051,71270
BFS,0.3780002594,181684,1942
A*,0.7499992847,121822,1590
BA*,0.8769962788,95251,1590
EBA*,0.8740134239,95631,1600
DIJKSTRA,0.7310106754,179887,1590
DFS_NORMAL,0.3349997997,149809,93274
DFS_LIM,0.3349871635,132608,118008
BFS,0.3669998646,174363,5762
A*,0.7550003529,122653,1522
BA*,0.8659999371,90732,1522
EBA*,0.8759999275,96167,1530
DIJKSTRA,0.7259998322,182293,1522
DFS_NORMAL,0.6560003757,165827,129878
DFS_LIM,0.3659999371,166860,121070
BFS,0.4019999504,197794,4316
A*,0.739000082,124063,1785
BA*,0.8239974976,85024,1857
EBA*,0.7940001488,77980,1869
DIJKSTRA,0.751999855,190788,1785
DFS_NORMAL,0.6909999847,210818,8395
DFS_LIM,0.3910017014,195647,10109
BFS,0.4000000954,195793,3119
A*,0.9699997902,175479,1957
BA*,0.9520001411,110447,1957
EBA*,0.9279999733,107428,1997
DIJKSTRA,0.7649998665,194970,1957
DFS_NORMAL,0.4149997234,197347,74389
DFS_LIM,0.4329998493,192312,70303
BFS,0.398999691,195234,3869
A*,0.7129998207,113029,1385
BA*,0.7669959068,69986,1385
EBA*,0.7540020943,69434,1387
DIJKSTRA,0.756000042,188665,1385
DFS_NORMAL,0.6020023823,144407,131223
DFS_LIM,0.3819963932,177349,125879
BFS,0.4199995995,205328,3497
A*,0.831997633,141023,1627
BA*,0.765999794,68321,1663
EBA*,0.768999815,67605,1663
DIJKSTRA,0.8020000458,201148,1627
DFS_NORMAL,0.3039999008,121683,131069
DFS_LIM,0.2669973373,108542,133073
BFS,0.4319999218,210931,2269
A*,1.1039993763,210114,2028
BA*,0.7500019073,62535,2126
