Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0010001659,240,58
BA*,0.0019996166,212,58
EBA*,0.0019996166,318,58
DIJKSTRA,0.0030002594,885,58
DFS_NORMAL,0.0020020008,813,740
DFS_LIM,0.0010008812,848,824
BFS,0.0020000935,912,156
A*,0.0009996891,166,52
BA*,0.0020003319,213,56
EBA*,0.0020005703,326,52
DIJKSTRA,0.0020003319,756,52
DFS_NORMAL,0.0010008812,619,626
DFS_LIM,0.0009999275,657,548
BFS,0.0010006428,787,98
A*,0.0030016899,620,71
BA*,0.0019996166,340,71
EBA*,0.003000021,463,75
DIJKSTRA,0.0029997826,887,71
DFS_NORMAL,0.0,298,303
DFS_LIM,0.0009994507,375,335
BFS,0.0020008087,918,105
A*,0.0009999275,114,48
BA*,0.0019996166,156,48
EBA*,0.0020000935,188,48
DIJKSTRA,0.0020005703,732,48
DFS_NORMAL,0.0010011196,282,340
DFS_LIM,0.0010020733,86,50
BFS,0.0019967556,727,60
A*,0.0019986629,505,80
BA*,0.003000021,538,80
EBA*,0.003000021,420,80
DIJKSTRA,0.0029997826,847,80
DFS_NORMAL,0.0010008812,423,718
DFS_LIM,0.0020012856,891,594
BFS,0.0009999275,878,170
A*,0.0030002594,684,74
BA*,0.0030007362,242,76
EBA*,0.0029993057,300,76
DIJKSTRA,0.0019993782,904,74
DFS_NORMAL,0.0010001659,247,670
DFS_LIM,0.0019993782,606,514
BFS,0.0010001659,582,132
A*,0.0010001659,199,50
BA*,0.001999855,164,52
EBA*,0.001999855,262,50
DIJKSTRA,0.0020000935,883,50
DFS_NORMAL,0.0,58,110
DFS_LIM,0.0,136,130
BFS,0.0020000935,931,50
A*,0.0030007362,588,62
BA*,0.0019991398,193,62
EBA*,0.0029997826,199,62
DIJKSTRA,0.0030002594,885,62
DFS_NORMAL,0.0009980202,530,266
DFS_LIM,0.0009992123,573,300
BFS,0.0010011196,686,108
A*,0.0009996891,250,52
BA*,0.0019996166,164,54
EBA*,0.0019993782,256,52
DIJKSTRA,0.0020003319,723,52
DFS_NORMAL,0.0,159,210
DFS_LIM,0.0010001659,235,148
BFS,0.0019996166,819,52
A*,0.0009982586,155,46
BA*,0.001999855,239,46
EBA*,0.0020000935,292,46
DIJKSTRA,0.0020005703,792,46
DFS_NORMAL,0.0009987354,477,814
DFS_LIM,0.0010001659,491,314
BFS,0.001999855,821,60
A*,0.0020017624,297,46
BA*,0.0019984245,272,46
EBA*,0.001999855,291,46
DIJKSTRA,0.0020000935,698,46
DFS_NORMAL,0.0009996891,485,506
DFS_LIM,0.0009989738,623,770
BFS,0.0,459,46
A*,0.0020000935,320,71
BA*,0.0020000935,265,71
EBA*,0.0019979477,322,71
DIJKSTRA,0.0019996166,769,71
DFS_NORMAL,0.0010018349,419,741
DFS_LIM,0.0009999275,675,573
BFS,0.0009999275,784,75
A*,0.0020003319,336,55
BA*,0.0020008087,140,55
EBA*,0.0029993057,198,55
DIJKSTRA,0.0029997826,893,55
DFS_NORMAL,0.0010006428,500,863
DFS_LIM,0.0020000935,668,825
BFS,0.001999855,726,423
A*,0.001999855,387,59
BA*,0.0030002594,228,59
EBA*,0.0019991398,406,59
DIJKSTRA,0.0029997826,775,59
DFS_NORMAL,0.0010011196,562,391
DFS_LIM,0.0010008812,537,483
BFS,0.001999855,804,59
A*,0.0019996166,272,66
BA*,0.0030002594,141,66
EBA*,0.0020000935,171,66
DIJKSTRA,0.001999855,628,66
DFS_NORMAL,0.0009992123,672,684
DFS_LIM,0.0010006428,441,406
BFS,0.0010001659,548,126
A*,0.0010001659,115,46
BA*,0.0020000935,180,46
EBA*,0.0019996166,207,46
DIJKSTRA,0.0019989014,734,46
DFS_NORMAL,0.0010008812,218,494
DFS_LIM,0.0,266,482
BFS,0.0009999275,796,46
A*,0.001999855,508,72
BA*,0.001999855,308,72
EBA*,0.003000021,409,72
DIJKSTRA,0.0019986629,860,72
DFS_NORMAL,0.001001358,715,796
DFS_LIM,0.0009999275,752,512
BFS,0.0010011196,674,398
A*,0.0009999275,144,42
BA*,0.0020003319,152,42
EBA*,0.0029990673,200,42
DIJKSTRA,0.0020000935,467,42
DFS_NORMAL,0.0009992123,408,826
DFS_LIM,0.0010006428,508,852
BFS,0.0010011196,563,82
A*,0.0030002594,505,59
BA*,0.003000021,223,59
EBA*,0.003000021,276,59
DIJKSTRA,0.003000021,854,59
DFS_NORMAL,0.0009999275,924,143
DFS_LIM,0.0,220,115
BFS,0.0010004044,717,105
A*,0.0020000935,232,48
BA*,0.0029995441,203,48
EBA*,0.0030002594,256,48
DIJKSTRA,0.0029997826,786,48
DFS_NORMAL,0.001001358,451,746
DFS_LIM,0.0019996166,828,734
