Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0020008087,189,51
BA*,0.0020000935,204,51
EBA*,0.0019996166,266,51
DIJKSTRA,0.001001358,357,51
DFS_NORMAL,0.001001358,329,699
DFS_LIM,0.0010001659,414,699
BFS,0.0009999275,410,51
A*,0.0019984245,460,160
BA*,0.005001545,573,160
EBA*,0.0029983521,581,160
DIJKSTRA,0.0019996166,531,160
DFS_NORMAL,0.0020024776,710,396
DFS_LIM,0.0009987354,496,232
BFS,0.0010004044,594,210
A*,0.0020003319,480,121
BA*,0.003000021,480,123
EBA*,0.0029985905,521,121
DIJKSTRA,0.0020012856,576,121
DFS_NORMAL,0.0009980202,370,551
DFS_LIM,0.0009999275,177,429
BFS,0.0009994507,629,407
A*,0.0039992332,662,193
BA*,0.0040009022,733,193
EBA*,0.005001545,718,193
DIJKSTRA,0.0029995441,666,193
DFS_NORMAL,0.0009996891,541,903
DFS_LIM,0.0020003319,521,661
BFS,0.0020005703,685,257
A*,0.0249950886,272,128
BA*,0.0049993992,292,128
EBA*,0.0050008297,287,128
DIJKSTRA,0.0019981861,440,128
DFS_NORMAL,0.001999855,462,904
DFS_LIM,0.0019986629,580,128
BFS,0.0020008087,497,128
A*,0.0039997101,549,138
BA*,0.0060007572,522,138
EBA*,0.0060002804,488,138
DIJKSTRA,0.0040004253,767,138
DFS_NORMAL,0.0019986629,565,898
DFS_LIM,0.0020031929,649,730
BFS,0.0019991398,758,200
A*,0.0019989014,177,52
BA*,0.0029997826,212,52
EBA*,0.0029995441,209,52
DIJKSTRA,0.0019986629,416,52
DFS_NORMAL,0.0030004978,676,472
DFS_LIM,0.0009975433,637,902
BFS,0.0020005703,524,52
A*,0.0060009956,687,208
BA*,0.0059998035,739,208
EBA*,0.0049996376,552,208
DIJKSTRA,0.0030002594,707,208
DFS_NORMAL,0.0009999275,260,328
DFS_LIM,0.001999855,372,272
BFS,0.0020000935,710,242
A*,0.003000021,652,244
BA*,0.0020005703,387,244
EBA*,0.0019996166,323,244
DIJKSTRA,0.0020000935,653,244
DFS_NORMAL,0.0,233,326
DFS_LIM,0.0009999275,561,326
BFS,0.0009999275,801,244
A*,0.0019996166,672,329
BA*,0.0039997101,621,329
EBA*,0.0029997826,512,329
DIJKSTRA,0.0020000935,714,329
DFS_NORMAL,0.0010008812,507,483
DFS_LIM,0.0009996891,603,333
BFS,0.0020000935,714,329
A*,0.0010001659,261,100
BA*,0.0029995441,361,100
EBA*,0.0030004978,273,100
