Algorithm_name,avg_exec_time,avg_searched_cells,avg_path_cost,overall_performance,overall_rank
DFS,1.0079874908,437.632,503.46,100.0,1.0
DFS_LIM,1.0409340822,518.164,480.652,85.67,2.0
