Algorithm_name,Execution Time (ms),Searched Cells,Total Path Cost
DFS,0.9999275,440,717
DFS_LIM,1.0008812,579,717
DFS,0.9999275,286,454
DFS_LIM,1.0032654,641,454
DFS,0.9999275,431,383
DFS_LIM,0.9999275,598,383
DFS,2.0003319,736,1079
DFS_LIM,2.0017624,748,935
DFS,1.0001659,302,732
DFS_LIM,2.0017624,544,732
DFS,0.9999275,104,92
DFS_LIM,1.0006428,280,92
DFS,0.0,325,409
DFS_LIM,0.9992123,568,409
DFS,0.0,374,471
DFS_LIM,1.0001659,711,471
DFS,1.0001659,465,277
DFS_LIM,1.0025501,402,277
DFS,0.0,113,624
DFS_LIM,0.9999275,175,624
DFS,1.0001659,582,994
DFS_LIM,1.0023117,623,994
DFS,2.0003319,695,906
DFS_LIM,1.9996165999999997,793,906
DFS,0.9992123,685,147
DFS_LIM,0.0,325,147
DFS,0.9992123,601,473
DFS_LIM,1.0032654,553,473
DFS,0.9999275,581,627
DFS_LIM,1.0025501,681,543
DFS,1.0001659,713,197
DFS_LIM,1.0027885,463,197
DFS,0.9999275,538,220
DFS_LIM,1.0001659,744,220
DFS,0.9999275,518,258
DFS_LIM,2.0000934999999997,644,258
DFS,1.0001659,321,715
DFS_LIM,1.0025501,465,715
DFS,0.9999275,453,263
DFS_LIM,0.0,435,263
DFS,0.0,291,290
DFS_LIM,1.0020733,371,290
DFS,0.9999275,794,199
DFS_LIM,1.0001659,350,199
DFS,1.0001659,411,562
DFS_LIM,1.0020733,560,562
DFS,0.0,154,206
DFS_LIM,0.0,232,206
DFS,0.0,226,208
DFS_LIM,1.0023117,253,208
DFS,0.9996891,753,887
DFS_LIM,1.0032654,473,887
DFS,1.0001659,728,1100
DFS_LIM,1.9996165999999997,746,1100
DFS,0.9999275,534,183
DFS_LIM,1.0001659,410,183
DFS,0.9987354,348,612
DFS_LIM,2.0003319,746,142
DFS,0.0,313,143
DFS_LIM,1.0020733,404,143
DFS,1.0008812,317,433
DFS_LIM,0.9996891,387,433
DFS,1.0001659,490,386
DFS_LIM,1.0025501,461,386
DFS,0.9999275,476,524
DFS_LIM,1.0030270000000001,489,524
DFS,1.0001659,507,895
DFS_LIM,1.001358,706,895
DFS,1.0023117,606,972
DFS_LIM,1.0049343,757,972
DFS,0.9996891,439,386
DFS_LIM,1.0023117,582,386
DFS,1.9991397999999998,575,835
DFS_LIM,2.0010471,779,835
DFS,0.9999275,143,575
DFS_LIM,1.0001659,406,575
DFS,1.0006428,313,374
DFS_LIM,0.0,351,374
DFS,1.0006428,223,623
DFS_LIM,0.0,327,623
DFS,0.0,315,849
DFS_LIM,1.0001659,587,849
DFS,0.9999275,285,157
DFS_LIM,0.0,344,157
DFS,1.0001659,420,654
DFS_LIM,1.0018349,634,654
DFS,1.0001659,569,87
DFS_LIM,1.0027885,532,87
DFS,1.0001659,377,172
DFS_LIM,1.999855,652,172
DFS,1.0004044,358,390
DFS_LIM,1.0027885,439,184
DFS,0.9999275,193,347
DFS_LIM,0.0,216,347
DFS,1.9989014,673,733
DFS_LIM,1.9991397999999998,745,733
DFS,1.0023117,764,288
DFS_LIM,1.9996165999999997,742,288
DFS,0.9996891,635,298
DFS_LIM,0.9999275,454,298
DFS,0.9996891,703,1069
DFS_LIM,1.999855,733,287
DFS,0.9999275,626,195
DFS_LIM,0.9999275,625,195
DFS,0.0,286,488
DFS_LIM,1.0001659,467,488
DFS,1.9996165999999997,702,1095
DFS_LIM,0.9984970000000001,783,737
DFS,0.9996891,557,287
DFS_LIM,1.0030270000000001,595,287
DFS,0.9999275,555,695
DFS_LIM,1.0001659,466,695
DFS,0.0,64,182
DFS_LIM,0.0,114,182
DFS,0.9999275,526,448
DFS_LIM,0.9996891,611,448
DFS,0.9984970000000001,463,603
DFS_LIM,1.0042191,435,603
DFS,0.9980201999999999,471,507
DFS_LIM,0.9999275,595,507
DFS,0.9980201999999999,583,897
DFS_LIM,0.9999275,530,237
DFS,1.0035038,704,106
DFS_LIM,1.0023117,580,106
DFS,0.9975432999999999,553,356
DFS_LIM,2.0003319,742,356
DFS,1.0015965,465,467
DFS_LIM,1.0011196,629,467
DFS,1.0004044,719,581
DFS_LIM,0.0,190,57
DFS,0.9999275,514,1038
DFS_LIM,1.0008812,756,1038
DFS,0.9996891,459,787
DFS_LIM,1.0008812,771,787
DFS,1.0011196,279,325
DFS_LIM,0.9996891,552,325
DFS,1.999855,682,466
DFS_LIM,1.0027885,555,466
DFS,0.0,308,280
DFS_LIM,1.0001659,439,280
DFS,1.0001659,718,474
DFS_LIM,1.0008812,732,474
DFS,1.0001659,130,102
DFS_LIM,1.0004044,430,102
DFS,0.9999275,371,363
DFS_LIM,1.0020733,701,363
DFS,0.9999275,734,320
DFS_LIM,1.0008812,756,320
DFS,0.9999275,213,331
DFS_LIM,1.0027885,389,331
DFS,0.9999275,615,588
DFS_LIM,1.0020733,675,588
DFS,1.9996165999999997,556,717
DFS_LIM,2.0005702999999997,724,717
DFS,0.9999275,496,528
DFS_LIM,1.0023117,569,528
DFS,0.0,246,116
DFS_LIM,1.0025501,287,116
DFS,0.9996891,327,817
DFS_LIM,0.9999275,691,817
DFS,1.0004044,392,503
DFS_LIM,0.9999275,502,503
DFS,0.0,328,189
DFS_LIM,1.0015965,381,189
DFS,2.0000934999999997,769,56
DFS_LIM,1.0023117,263,56
DFS,0.9999275,508,781
DFS_LIM,1.0001659,623,781
DFS,0.9999275,161,127
DFS_LIM,1.0001659,249,127
DFS,0.9999275,216,456
DFS_LIM,1.0001659,254,456
DFS,0.9999275,489,251
DFS_LIM,1.0004044,557,251
DFS,1.0001659,168,110
DFS_LIM,0.0,172,110
DFS,0.9994507,519,351
DFS_LIM,0.0,281,351
DFS,0.0,260,912
DFS_LIM,0.9999275,382,912
DFS,0.9999275,690,134
DFS_LIM,1.0020733,460,134
DFS,0.9999275,263,394
DFS_LIM,1.001358,510,394
DFS,0.9996891,434,586
DFS_LIM,0.9999275,538,586
DFS,0.0,189,261
DFS_LIM,0.9999275,382,261
DFS,0.9999275,670,199
DFS_LIM,0.0,267,199
DFS,0.9999275,653,675
DFS_LIM,2.0000934999999997,652,675
DFS,1.0001659,257,627
DFS_LIM,0.0,297,627
DFS,1.0008812,463,933
DFS_LIM,1.0030270000000001,571,933
DFS,0.9999275,291,605
DFS_LIM,0.0,299,605
DFS,0.9999275,778,77
DFS_LIM,0.0,185,77
DFS,0.9999275,273,204
DFS_LIM,1.0004044,543,204
DFS,0.9999275,520,380
DFS_LIM,2.0003319,774,380
DFS,0.9992123,329,130
DFS_LIM,0.0,248,130
DFS,0.9996891,313,259
DFS_LIM,1.0025501,378,259
DFS,1.0004044,755,170
DFS_LIM,1.0020733,470,170
DFS,0.9996891,777,811
DFS_LIM,1.0018349,787,827
DFS,1.9991397999999998,684,744
DFS_LIM,1.999855,764,744
DFS,0.9999275,386,1028
DFS_LIM,1.0015965,429,202
DFS,0.0,59,110
DFS_LIM,0.0,63,110
DFS,1.0004044,356,162
DFS_LIM,0.0,198,162
DFS,1.0001659,300,876
DFS_LIM,1.0023117,370,876
DFS,1.0001659,460,909
DFS_LIM,1.0001659,631,909
DFS,0.9996891,502,554
DFS_LIM,1.0025501,599,554
DFS,1.0004044,575,338
DFS_LIM,1.0030270000000001,430,338
DFS,0.9999275,488,176
DFS_LIM,0.9999275,469,176
DFS,0.9999275,337,459
DFS_LIM,1.0001659,566,571
DFS,0.9996891,423,456
DFS_LIM,1.0030270000000001,443,456
DFS,0.9996891,173,143
DFS_LIM,1.001358,523,143
DFS,0.9999275,662,744
DFS_LIM,1.0027885,559,744
DFS,0.9996891,370,654
DFS_LIM,1.0027885,384,654
DFS,0.9996891,617,814
DFS_LIM,0.9992123,675,814
DFS,0.9996891,417,855
DFS_LIM,2.0000934999999997,597,855
DFS,1.0001659,702,1014
DFS_LIM,1.0020733,718,1014
DFS,0.9996891,436,642
DFS_LIM,1.0027885,555,642
DFS,1.0001659,353,389
DFS_LIM,1.0020733,445,389
DFS,0.9996891,594,327
DFS_LIM,1.0023117,402,327
