Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.4419996738,45330,775
BA*,0.6830003262,44205,843
EBA*,0.8049998283,77734,803
DIJKSTRA,0.8209998608,204992,775
DFS_NORMAL,0.3419992924,73146,87849
DFS_LIM,0.2099988461,73545,87841
BFS,0.4489998817,206850,1559
A*,0.4110019207,38493,1074
BA*,0.7159996033,54485,1106
EBA*,0.8039999008,82681,1106
DIJKSTRA,0.9359982014,237510,1074
DFS_NORMAL,0.6540000439,160085,284710
DFS_LIM,0.4140019417,160111,284710
BFS,0.5069973469,241207,3460
A*,0.356000185,24609,780
BA*,0.6659982204,40181,834
EBA*,0.7809994221,67648,828
DIJKSTRA,0.9179997444,229288,780
DFS_NORMAL,0.3990018368,49228,86946
DFS_LIM,0.1670029163,53135,89202
BFS,0.5039973259,234880,3518
A*,0.4689991474,52006,811
BA*,0.6780006886,44598,839
EBA*,0.783002615,73181,863
DIJKSTRA,0.8559999466,215647,811
DFS_NORMAL,0.613997221,146911,222369
DFS_LIM,0.381998539,147308,220763
BFS,0.4630000591,222086,1505
A*,0.3120005131,14160,602
BA*,0.5289957523,6024,604
EBA*,0.5630002022,17276,604
DIJKSTRA,0.6979999542,168077,602
DFS_NORMAL,0.634999752,155145,209962
DFS_LIM,0.4009997845,155819,206560
BFS,0.3800001144,175174,906
A*,0.3499999046,25382,550
BA*,0.5780005455,20117,558
EBA*,0.603000164,29276,584
DIJKSTRA,0.6720001698,157330,550
DFS_NORMAL,0.7139997482,207367,163246
DFS_LIM,0.4700000286,207463,128128
BFS,0.3549971581,159539,1762
A*,0.8839867115,141028,1125
BA*,0.6200129986,27410,1159
EBA*,0.8760137558,92085,1125
DIJKSTRA,0.9429998398,239651,1125
DFS_NORMAL,0.6850130558,181729,286649
DFS_LIM,0.4720001221,182303,285917
BFS,0.5059869289,240277,3483
A*,0.3999869823,37501,777
BA*,0.6509997845,39770,793
EBA*,0.675999403,46069,825
DIJKSTRA,0.6789999008,163821,777
DFS_NORMAL,0.4249999523,58901,123159
DFS_LIM,0.2329974174,85660,123861
BFS,0.3599998951,166076,1389
A*,0.5010001659,60636,592
BA*,0.5749998093,17663,592
EBA*,0.6229996681,25234,604
DIJKSTRA,0.6050000191,142143,592
DFS_NORMAL,0.7340028286,216525,183608
DFS_LIM,0.4979991913,216066,185674
BFS,0.2319998741,101145,1346
A*,0.3719973564,28599,661
BA*,0.6459987164,37166,689
EBA*,0.7140011787,55767,707
DIJKSTRA,0.572999239,130179,661
DFS_NORMAL,0.5509998798,113249,172011
DFS_LIM,0.306999445,114378,168309
BFS,0.2990000248,135403,1443
A*,0.5499975681,70415,669
BA*,0.5989999771,23033,669
EBA*,0.6650002003,37880,669
DIJKSTRA,0.9009997845,219492,669
DFS_NORMAL,0.7009997368,173891,296809
DFS_LIM,0.4519999027,173642,292115
BFS,0.4059987068,183513,1257
A*,0.8799991608,142914,1041
BA*,0.687002182,44112,1077
EBA*,0.8640017509,92840,1043
DIJKSTRA,0.9399995804,239348,1041
DFS_NORMAL,0.632999897,147095,221201
DFS_LIM,0.3809988499,146386,220427
BFS,0.4870023727,230457,4155
A*,0.4330112934,41473,848
BA*,0.6909871101,44321,960
EBA*,0.7489881516,59791,912
DIJKSTRA,0.8569998741,210067,848
DFS_NORMAL,0.5059862137,87139,117294
DFS_LIM,0.2539997101,88782,117584
BFS,0.4759998322,218952,1152
A*,0.5119998455,60243,932
BA*,0.7029995918,48974,938
EBA*,0.990000248,120832,990
DIJKSTRA,0.8760001659,222524,932
DFS_NORMAL,0.3790006638,33485,64908
DFS_LIM,0.125,34478,65892
BFS,0.4849998951,226957,4712
A*,0.3699879646,24564,844
BA*,0.6369998455,30234,856
EBA*,0.8730134964,89782,852
DIJKSTRA,0.7320001125,173082,844
DFS_NORMAL,0.7040007114,207198,120268
DFS_LIM,0.4889979362,210741,119386
BFS,0.4119868279,184655,1274
A*,0.348000288,21834,796
BA*,0.5630002022,16870,800
EBA*,0.8019869328,74760,796
DIJKSTRA,0.8160002232,199159,796
DFS_NORMAL,0.7009871006,197469,138066
DFS_LIM,0.4870111942,213771,156188
BFS,0.4529883862,206927,1310
A*,0.6269977093,84890,803
BA*,0.6380002499,29351,837
EBA*,0.7230024338,54866,867
DIJKSTRA,0.8969960213,225728,803
DFS_NORMAL,0.6799998283,160221,222455
DFS_LIM,0.4210000038,161167,208677
BFS,0.4629995823,213890,2511
A*,0.4159872532,37703,693
BA*,0.652012825,37262,693
EBA*,0.7409999371,62213,715
DIJKSTRA,0.7910120487,191759,693
DFS_NORMAL,0.5729861259,123068,229073
DFS_LIM,0.3269879818,122917,226489
BFS,0.4269871712,194152,1317
A*,0.3829865456,28310,734
BA*,0.621999979,27986,736
EBA*,0.7400126457,59247,740
DIJKSTRA,0.7790067196,187755,734
DFS_NORMAL,0.611000061,128108,188594
DFS_LIM,0.3429999352,127162,186152
BFS,0.42101264,193828,1218
A*,0.4190001488,39000,810
BA*,0.6400005817,35044,834
EBA*,0.8070003986,77374,906
DIJKSTRA,0.8600001335,210257,810
DFS_NORMAL,0.5489983559,108920,120244
DFS_LIM,0.2619998455,97725,98256
BFS,0.4659976959,214651,3324
A*,0.7239997387,111960,987
BA*,0.689999342,45495,1005
EBA*,0.8270001411,80289,1015
DIJKSTRA,0.9360001087,233213,987
DFS_NORMAL,0.4400012493,52778,113969
DFS_LIM,0.267999649,93551,165995
BFS,0.4750008583,218397,1511
A*,0.489000082,56356,863
BA*,0.7270002365,55977,867
EBA*,0.8029997349,73293,881
DIJKSTRA,0.8800008297,219174,863
DFS_NORMAL,0.4909977913,77138,147215
DFS_LIM,0.2249996662,77837,146649
BFS,0.473000288,220370,3443
A*,0.4569876194,43656,873
BA*,0.676012516,38847,925
EBA*,0.889013052,92744,885
DIJKSTRA,0.9099977016,223955,873
DFS_NORMAL,0.0920000076,12762,36841
DFS_LIM,0.4289999008,60104,79957
BFS,0.4979999065,228437,4027
A*,0.4290001392,40772,843
BA*,0.6419999599,34160,851
EBA*,0.80200243,74316,843
DIJKSTRA,0.7789998055,188048,843
DFS_NORMAL,0.754001379,208646,172811
DFS_LIM,0.4909977913,207740,164813
BFS,0.4030003548,184436,2137
A*,0.3000020981,10159,609
BA*,0.5450000763,8751,609
EBA*,0.6529972553,39074,609
DIJKSTRA,0.8860003948,213253,609
DFS_NORMAL,0.6499989033,140622,240551
DFS_LIM,0.3790001869,145130,231985
BFS,0.4950010777,224210,1659
A*,0.3849999905,31087,621
BA*,0.6399986744,27775,649
EBA*,0.6669988632,42363,627
DIJKSTRA,0.7460000515,178804,621
DFS_NORMAL,0.601000309,121137,170401
DFS_LIM,0.3279998302,121275,170401
BFS,0.3880004883,175731,2559
A*,0.5020000935,55440,795
BA*,0.6220011711,25758,795
EBA*,0.7989988327,69205,805
DIJKSTRA,0.8679997921,212462,795
DFS_NORMAL,0.4109997749,35981,43357
DFS_LIM,0.1320009232,37436,39283
BFS,0.4660003185,212304,4075
A*,0.7889869213,124915,946
BA*,0.5730130672,16512,982
EBA*,0.7170004845,53774,946
DIJKSTRA,0.9569997787,235421,946
DFS_NORMAL,0.6439871788,137152,232222
DFS_LIM,0.3359870911,124489,206980
BFS,0.4670004845,211062,2056
A*,0.3470001221,20166,570
BA*,0.5750002861,15376,588
EBA*,0.6169989109,26845,604
DIJKSTRA,0.6719999313,154239,570
DFS_NORMAL,0.7209999561,186131,157684
DFS_LIM,0.4650001526,195497,162358
BFS,0.368999958,162917,3012
A*,0.2999999523,11630,391
BA*,0.5779998302,15546,391
EBA*,0.5729999542,18518,431
DIJKSTRA,0.5709998608,126874,391
DFS_NORMAL,0.5449998379,98966,212343
DFS_LIM,0.2709999084,97303,208349
BFS,0.2769999504,121396,779
A*,0.4560000896,45705,806
BA*,0.6110012531,22380,808
EBA*,0.8120005131,73862,842
DIJKSTRA,0.6980001926,166453,806
DFS_NORMAL,0.6389956474,134991,198660
DFS_LIM,0.3600130081,135131,196770
BFS,0.3870000839,175116,1098
A*,0.295999527,9500,526
BA*,0.5539999008,12823,528
EBA*,0.5959997177,24804,560
DIJKSTRA,0.6830000877,160191,526
DFS_NORMAL,0.4519999027,54703,126542
DFS_LIM,0.1759998798,55666,126436
