Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
DFS_NORMAL,0.0010025501,397,557
DFS_LIM,0.0,281,557
BFS,0.0,256,557
A*,0.0,21,447
BA*,0.0020000935,32,447
EBA*,0.001999855,21,447
DIJKSTRA,0.0,23,447
DFS_NORMAL,0.0,15,447
DFS_LIM,0.000998497,15,447
BFS,0.0,23,447
A*,0.0,28,39
BA*,0.001999855,40,39
EBA*,0.0019991398,34,39
DIJKSTRA,0.0,49,39
DFS_NORMAL,0.0,48,39
DFS_LIM,0.0,41,39
BFS,0.0,49,39
A*,0.0030004978,772,546
BA*,0.0029993057,215,546
EBA*,0.003000021,274,546
DIJKSTRA,0.001999855,789,546
DFS_NORMAL,0.0,158,546
DFS_LIM,0.0009999275,320,546
BFS,0.0010008812,379,546
A*,0.0009999275,94,70
BA*,0.001999855,114,70
EBA*,0.0020000935,95,70
DIJKSTRA,0.0009999275,122,70
DFS_NORMAL,0.0010020733,573,70
DFS_LIM,0.000998497,263,70
BFS,0.0,237,70
A*,0.0009987354,92,85
BA*,0.001999855,98,85
EBA*,0.0020000935,92,85
DIJKSTRA,0.0010020733,96,85
DFS_NORMAL,0.0009982586,269,85
DFS_LIM,0.0009999275,37,85
BFS,0.0,53,85
A*,0.0019996166,206,102
BA*,0.0020008087,142,102
EBA*,0.0020000935,147,102
DIJKSTRA,0.0010018349,232,102
DFS_NORMAL,0.000998497,378,102
DFS_LIM,0.001003027,175,102
BFS,0.0,173,102
A*,0.0019996166,114,77
BA*,0.001999855,138,77
EBA*,0.001999855,130,77
DIJKSTRA,0.0010023117,134,77
DFS_NORMAL,0.0,85,77
DFS_LIM,0.0,183,77
BFS,0.0,160,77
A*,0.0020003319,392,1050
BA*,0.0029995441,702,1050
EBA*,0.0030009747,409,1050
DIJKSTRA,0.001001358,394,1050
DFS_NORMAL,0.0010006428,336,1050
DFS_LIM,0.0,386,1050
BFS,0.000998497,420,1050
A*,0.0010001659,61,37
BA*,0.001003027,75,37
EBA*,0.0019996166,62,37
DIJKSTRA,0.0010006428,75,37
DFS_NORMAL,0.0,41,37
DFS_LIM,0.0010008812,71,37
BFS,0.0010011196,75,37
A*,0.001999855,732,341
BA*,0.003000021,642,341
EBA*,0.003000021,664,341
DIJKSTRA,0.0020000935,739,341
DFS_NORMAL,0.001999855,514,341
DFS_LIM,0.001999855,744,341
BFS,0.001999855,758,341
A*,0.0009999275,12,12
BA*,0.0010020733,16,12
EBA*,0.0020003319,12,12
DIJKSTRA,0.0010001659,26,12
DFS_NORMAL,0.0,14,12
DFS_LIM,0.0,14,12
BFS,0.0,26,12
A*,0.0010004044,4,4
BA*,0.0020000935,4,4
EBA*,0.0019996166,4,4
DIJKSTRA,0.0,6,4
DFS_NORMAL,0.0,355,4
DFS_LIM,0.0,22,4
BFS,0.0,6,4
A*,0.0020000935,613,350
BA*,0.003000021,518,350
EBA*,0.0029997826,471,350
DIJKSTRA,0.0020005703,688,350
DFS_NORMAL,0.0010001659,310,852
DFS_LIM,0.0010018349,546,852
BFS,0.0019979477,684,350
A*,0.001999855,751,550
BA*,0.0029997826,705,550
EBA*,0.003000021,558,550
DIJKSTRA,0.0020000935,751,550
DFS_NORMAL,0.0,436,550
DFS_LIM,0.0010004044,702,550
BFS,0.001999855,748,550
A*,0.0009994507,34,52
BA*,0.0020000935,7,52
EBA*,0.0019996166,10,52
DIJKSTRA,0.0010001659,34,52
DFS_NORMAL,0.0,4,52
DFS_LIM,0.0,4,52
BFS,0.0,8,52
A*,0.003000021,747,865
BA*,0.0039994717,794,865
EBA*,0.0039999485,789,865
DIJKSTRA,0.0020010471,747,865
DFS_NORMAL,0.0019991398,615,865
DFS_LIM,0.0020003319,668,865
BFS,0.0019996166,648,865
A*,0.001999855,512,432
BA*,0.0029997826,583,432
EBA*,0.0030004978,535,432
DIJKSTRA,0.0020000935,580,432
DFS_NORMAL,0.0019996166,654,740
DFS_LIM,0.0010004044,239,432
BFS,0.0010015965,212,432
A*,0.0010001659,114,106
BA*,0.0020010471,142,106
EBA*,0.0019991398,121,106
DIJKSTRA,0.0010001659,136,106
DFS_NORMAL,0.0,54,106
DFS_LIM,0.0,138,106
BFS,0.0,114,106
A*,0.0,4,4
BA*,0.0019996166,4,4
EBA*,0.001999855,4,4
DIJKSTRA,0.0,7,4
DFS_NORMAL,0.0,4,4
DFS_LIM,0.0,4,4
BFS,0.0,7,4
A*,0.003000021,693,348
BA*,0.0039999485,633,348
EBA*,0.0030002594,619,348
DIJKSTRA,0.0020031929,730,348
DFS_NORMAL,0.0010001659,672,348
DFS_LIM,0.0010015965,774,348
BFS,0.0010011196,697,348
A*,0.001999855,722,809
BA*,0.003000021,720,809
EBA*,0.0039999485,692,809
DIJKSTRA,0.001999855,755,809
DFS_NORMAL,0.0010023117,348,955
DFS_LIM,0.0019984245,702,809
BFS,0.0019993782,734,955
A*,0.0009996891,45,23
BA*,0.0020000935,53,23
EBA*,0.0019993782,51,23
DIJKSTRA,0.0,48,23
DFS_NORMAL,0.0,29,23
DFS_LIM,0.0,45,23
BFS,0.0009982586,48,23
A*,0.003000021,581,764
BA*,0.003000021,561,764
EBA*,0.0029995441,671,764
DIJKSTRA,0.0009999275,581,764
DFS_NORMAL,0.0010004044,559,764
DFS_LIM,0.0,290,764
BFS,0.0009980202,334,764
A*,0.001999855,634,479
BA*,0.0029997826,691,479
EBA*,0.0029995441,631,479
DIJKSTRA,0.0020000935,640,479
DFS_NORMAL,0.0020039082,551,479
DFS_LIM,0.0009982586,715,479
BFS,0.0010020733,629,479
A*,0.0010004044,4,4
BA*,0.0010018349,4,4
EBA*,0.0019993782,4,4
DIJKSTRA,0.0010027885,7,4
DFS_NORMAL,0.0,4,4
DFS_LIM,0.0,4,4
BFS,0.0,7,4
A*,0.0010001659,25,63
BA*,0.0010018349,34,63
