Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.016998291,829,129
BA*,0.0300002098,938,129
EBA*,0.0320026875,1513,129
DIJKSTRA,0.0380005836,7107,129
DFS_NORMAL,0.0120005608,4028,7733
DFS_LIM,0.0150005817,4683,4925
BFS,0.0190000534,8034,137
A*,0.0359990597,6041,219
BA*,0.0369999409,3013,227
EBA*,0.0349988937,2694,219
DIJKSTRA,0.0440006256,13109,219
DFS_NORMAL,0.0270011425,12119,7723
DFS_LIM,0.0370016098,14549,2183
BFS,0.0229992867,11189,1111
A*,0.0230000019,2516,194
BA*,0.0340003967,1860,196
EBA*,0.038998127,2738,196
DIJKSTRA,0.03799963,10347,194
DFS_NORMAL,0.0199975967,7742,11628
DFS_LIM,0.0299999714,12956,10638
BFS,0.0219995975,11366,878
A*,0.0199997425,1777,194
BA*,0.0329995155,1662,194
EBA*,0.0349972248,2242,194
DIJKSTRA,0.0399975777,10736,194
DFS_NORMAL,0.0110001564,2800,6734
DFS_LIM,0.0110013485,3163,6784
BFS,0.0289993286,11967,1112
A*,0.0639994144,14613,489
BA*,0.0380001068,2835,495
EBA*,0.0360004902,2420,489
DIJKSTRA,0.0519995689,14634,489
DFS_NORMAL,0.0229976177,8940,15557
DFS_LIM,0.0210027695,8984,14589
BFS,0.026999712,13657,1153
A*,0.0260002613,3409,214
BA*,0.0379977226,2893,214
EBA*,0.0490002632,3653,214
DIJKSTRA,0.0460062027,9768,214
DFS_NORMAL,0.0149991512,5427,10116
DFS_LIM,0.0149977207,6183,9286
BFS,0.018996954,9857,322
A*,0.0440001488,8648,284
BA*,0.0440003872,2900,284
EBA*,0.0439999104,3044,284
DIJKSTRA,0.0479998589,14059,284
DFS_NORMAL,0.0280013084,12678,13258
DFS_LIM,0.0290014744,12775,12848
BFS,0.0209994316,10596,496
A*,0.0199987888,799,167
BA*,0.0480010509,738,167
EBA*,0.0420007706,953,175
DIJKSTRA,0.0340015888,8431,167
DFS_NORMAL,0.0269975662,11280,18153
DFS_LIM,0.0249991417,10854,17895
BFS,0.0190000534,9226,167
A*,0.019002676,279,70
BA*,0.0399992466,341,70
EBA*,0.0330023766,383,70
DIJKSTRA,0.0150005817,2498,70
DFS_NORMAL,0.0269999504,13746,8100
DFS_LIM,0.0150008202,6210,6380
BFS,0.0089976788,3671,70
