Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0010006428,3,3
BA*,0.0019989014,4,3
EBA*,0.0010006428,4,3
DIJKSTRA,0.0,7,3
DFS_NORMAL,0.0,3,3
DFS_LIM,0.0,3,3
BFS,0.0,8,3
A*,0.0020000935,98,39
BA*,0.0020003319,140,39
EBA*,0.0019996166,139,39
DIJKSTRA,0.0020005703,310,39
DFS_NORMAL,0.0019996166,617,779
DFS_LIM,0.0020000935,581,583
BFS,0.0010008812,212,271
A*,0.0009996891,19,14
BA*,0.0020000935,27,14
EBA*,0.0020005703,43,14
DIJKSTRA,0.0010020733,116,14
DFS_NORMAL,0.0010001659,474,542
DFS_LIM,0.0,74,14
BFS,0.0009982586,139,14
A*,0.0009996891,50,21
BA*,0.0020012856,66,21
EBA*,0.0019979477,77,21
DIJKSTRA,0.0010011196,276,21
DFS_NORMAL,0.001001358,119,431
DFS_LIM,0.0009975433,162,165
BFS,0.0009999275,344,21
A*,0.0009970665,66,24
BA*,0.0010018349,90,24
EBA*,0.0019996166,77,24
DIJKSTRA,0.0,147,24
DFS_NORMAL,0.0010006428,367,474
DFS_LIM,0.0,270,206
BFS,0.0,115,208
A*,0.0009994507,177,36
BA*,0.0020003319,201,38
EBA*,0.001999855,234,38
DIJKSTRA,0.0010004044,568,36
DFS_NORMAL,0.0010001659,505,908
DFS_LIM,0.0009999275,740,82
BFS,0.0010023117,574,80
A*,0.0010004044,11,9
BA*,0.0019993782,16,9
EBA*,0.0010008812,17,9
DIJKSTRA,0.0010023117,39,9
DFS_NORMAL,0.0009975433,275,375
DFS_LIM,0.0,184,207
BFS,0.0,55,249
A*,0.0010001659,12,8
BA*,0.0020000935,16,8
EBA*,0.001001358,13,8
DIJKSTRA,0.0010001659,35,8
DFS_NORMAL,0.0009996891,305,574
DFS_LIM,0.0,82,14
BFS,0.0,40,8
A*,0.001003027,49,33
BA*,0.0019996166,70,33
EBA*,0.0020003319,74,33
DIJKSTRA,0.0010018349,200,33
DFS_NORMAL,0.000998497,67,153
DFS_LIM,0.0009999275,67,153
BFS,0.0009996891,372,33
A*,0.0009996891,29,18
BA*,0.0010015965,39,18
EBA*,0.001999855,45,18
DIJKSTRA,0.0010020733,137,18
DFS_NORMAL,0.0,84,88
DFS_LIM,0.0,216,88
BFS,0.0,143,18
A*,0.0009977818,126,126
BA*,0.0020003319,74,126
EBA*,0.001001358,80,126
DIJKSTRA,0.0010004044,275,126
DFS_NORMAL,0.0010015965,520,730
DFS_LIM,0.0,99,148
BFS,0.0,100,198
A*,0.0010001659,39,116
BA*,0.0019967556,56,116
EBA*,0.0020000935,43,116
DIJKSTRA,0.0010020733,86,116
