Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0170009136,1035,228
BA*,0.0329971313,1613,240
EBA*,0.0360019207,2774,236
DIJKSTRA,0.039999485,11991,228
DFS_NORMAL,0.0220005512,9804,14638
DFS_LIM,0.0220000744,9841,14006
BFS,0.0239994526,12899,250
A*,0.0309996605,5008,195
BA*,0.0339999199,2339,219
EBA*,0.03799963,3241,207
DIJKSTRA,0.0419986248,13089,195
DFS_NORMAL,0.0079987049,3102,3715
DFS_LIM,0.0090022087,4016,3721
BFS,0.0209980011,11577,273
A*,0.0170001984,797,174
BA*,0.0319998264,1464,174
EBA*,0.0379998684,3386,174
DIJKSTRA,0.0419995785,12647,174
DFS_NORMAL,0.013999939,5988,5814
DFS_LIM,0.0190000534,8339,8842
BFS,0.026001215,13820,298
A*,0.0550003052,11892,328
BA*,0.0409998894,3820,330
EBA*,0.0569887161,8330,332
DIJKSTRA,0.0469994545,14850,328
DFS_NORMAL,0.0229988098,11948,1130
DFS_LIM,0.0250003338,13435,1064
BFS,0.0279977322,15052,828
A*,0.0219986439,2108,255
BA*,0.0349998474,2048,255
EBA*,0.0430028439,4464,257
DIJKSTRA,0.0440001488,13324,255
DFS_NORMAL,0.0240004063,10512,14247
DFS_LIM,0.0259990692,10880,14513
BFS,0.0269992352,14067,1139
A*,0.017013073,685,202
BA*,0.031986475,1137,202
EBA*,0.0370001793,2581,202
DIJKSTRA,0.0399999619,11925,202
DFS_NORMAL,0.0260000229,11549,18722
DFS_LIM,0.0260007381,11538,18182
BFS,0.0269999504,13926,256
A*,0.0370001793,6777,240
BA*,0.0380003452,2958,240
EBA*,0.0400028229,3470,242
DIJKSTRA,0.0480005741,14539,240
DFS_NORMAL,0.0250029564,10906,16910
DFS_LIM,0.0279998779,11289,16766
BFS,0.0299994946,14590,318
A*,0.0240001678,2874,236
BA*,0.0349998474,1870,236
EBA*,0.0409975052,3676,236
DIJKSTRA,0.0469992161,14720,236
DFS_NORMAL,0.0220005512,9567,16876
DFS_LIM,0.0200014114,8805,15814
BFS,0.0290002823,15087,1214
A*,0.0210020542,1620,199
BA*,0.0399963856,2467,201
EBA*,0.0440003872,3692,199
DIJKSTRA,0.0400016308,10912,199
DFS_NORMAL,0.0150005817,5986,13303
DFS_LIM,0.0140028,5883,12941
BFS,0.0240006447,12386,325
A*,0.0249996185,3387,200
BA*,0.0360012054,2378,200
EBA*,0.0470001698,3765,200
DIJKSTRA,0.0469996929,14157,200
DFS_NORMAL,0.0129992962,5191,10092
DFS_LIM,0.0119998455,5544,8098
BFS,0.0279967785,14360,1144
A*,0.0210025311,1801,150
BA*,0.0340003967,1805,152
EBA*,0.0360000134,1904,150
DIJKSTRA,0.0429997444,12421,150
DFS_NORMAL,0.0179998875,7747,13374
DFS_LIM,0.0190002918,8161,13684
BFS,0.0259902477,13239,298
A*,0.0199999809,1682,227
BA*,0.0370004177,2451,227
EBA*,0.0399992466,3168,227
DIJKSTRA,0.0439999104,13218,227
DFS_NORMAL,0.0039961338,743,815
DFS_LIM,0.0169999599,8524,1993
BFS,0.0259995461,13897,347
A*,0.0190002918,1322,150
BA*,0.0330002308,1312,154
EBA*,0.037997961,2765,166
DIJKSTRA,0.0389997959,11212,150
DFS_NORMAL,0.0110001564,4127,10124
DFS_LIM,0.0119993687,4626,9996
BFS,0.0230002403,12080,262
A*,0.0189878941,1455,122
BA*,0.0349998474,1829,122
EBA*,0.0340001583,1527,132
DIJKSTRA,0.0329988003,9036,122
DFS_NORMAL,0.0180008411,7780,13806
DFS_LIM,0.0169999599,7411,11856
BFS,0.0150001049,7518,292
A*,0.0320010185,5108,215
BA*,0.0389986038,2879,215
EBA*,0.0419993401,3890,215
DIJKSTRA,0.0460000038,13702,215
DFS_NORMAL,0.0249867439,10760,18475
DFS_LIM,0.0250003338,10771,17125
BFS,0.0249996185,13333,231
A*,0.0220000744,2404,172
BA*,0.0370001793,2472,176
EBA*,0.0390000343,2742,176
DIJKSTRA,0.0420007706,11975,172
DFS_NORMAL,0.0280005932,12737,16814
DFS_LIM,0.0260000229,11792,16112
BFS,0.0240001678,12503,1024
A*,0.023999691,2613,215
BA*,0.032999754,1315,219
EBA*,0.0360000134,2433,215
DIJKSTRA,0.0499985218,14654,215
DFS_NORMAL,0.026999712,11602,19041
DFS_LIM,0.0260000229,10946,17877
BFS,0.0280106068,14655,1513
A*,0.0170001984,971,236
BA*,0.034001112,1545,242
EBA*,0.0400002003,3434,236
DIJKSTRA,0.0449998379,13513,236
DFS_NORMAL,0.0289902687,14845,7336
DFS_LIM,0.0289990902,14535,8220
BFS,0.0270016193,14308,236
A*,0.0370006561,6416,257
BA*,0.0379970074,2741,267
EBA*,0.03799963,2474,267
DIJKSTRA,0.0470001698,14184,257
DFS_NORMAL,0.0270004272,12030,17997
DFS_LIM,0.0279974937,12433,16957
BFS,0.0280001163,14771,1235
A*,0.02099967,1794,205
BA*,0.0369992256,2324,205
EBA*,0.0450003147,5100,211
DIJKSTRA,0.0440006256,12951,205
DFS_NORMAL,0.015999794,7057,14447
DFS_LIM,0.017999649,7529,14411
BFS,0.0269999504,13861,217
A*,0.0199999809,1704,175
BA*,0.0330007076,1154,175
EBA*,0.0359995365,2069,177
DIJKSTRA,0.0399999619,11397,175
DFS_NORMAL,0.0230023861,9439,16937
DFS_LIM,0.0229969025,10103,14593
BFS,0.0260004997,13048,235
A*,0.0259997845,3345,173
BA*,0.0320003033,1077,173
EBA*,0.0350000858,1696,173
DIJKSTRA,0.0370001793,10248,173
DFS_NORMAL,0.0280013084,13102,9687
DFS_LIM,0.0290000439,13030,8185
BFS,0.0190007687,9731,315
A*,0.0529994965,11423,280
BA*,0.0379889011,2637,292
EBA*,0.0390000343,2869,294
DIJKSTRA,0.0480020046,14820,280
DFS_NORMAL,0.0089995861,3284,9174
DFS_LIM,0.0120027065,4506,8994
BFS,0.0260000229,13328,360
A*,0.0359885693,6674,238
BA*,0.0330007076,1073,238
EBA*,0.032999754,1364,238
DIJKSTRA,0.0479998589,14457,238
DFS_NORMAL,0.0270028114,13230,13664
DFS_LIM,0.0280003548,13316,14040
BFS,0.0169999599,8892,288
A*,0.0169978142,682,146
BA*,0.032999754,1125,146
EBA*,0.0359995365,2304,146
DIJKSTRA,0.031999588,8854,146
DFS_NORMAL,0.0269999504,13253,10018
DFS_LIM,0.0279996395,13292,9804
BFS,0.0189907551,9306,226
A*,0.0200002193,1586,209
BA*,0.0370001793,2722,213
EBA*,0.0420012474,4055,209
DIJKSTRA,0.0429980755,12758,209
DFS_NORMAL,0.0119986534,4495,7389
DFS_LIM,0.0110001564,4510,7389
BFS,0.0260014534,13847,1151
A*,0.0240013599,3035,199
BA*,0.0339994431,1840,217
EBA*,0.0379998684,3096,223
DIJKSTRA,0.0450000763,13960,199
DFS_NORMAL,0.0040001869,846,1295
DFS_LIM,0.0160000324,7318,4851
BFS,0.0279998779,14644,1193
A*,0.0220000744,2043,165
BA*,0.0369992256,2351,165
EBA*,0.0380005836,2717,165
DIJKSTRA,0.0380001068,10856,165
DFS_NORMAL,0.0309972763,13511,11367
DFS_LIM,0.029999733,13490,10963
BFS,0.0230000019,11924,747
A*,0.0439996719,8544,249
BA*,0.0359992981,2390,251
EBA*,0.0390000343,3056,253
DIJKSTRA,0.045999527,13774,249
DFS_NORMAL,0.021999836,9567,11675
DFS_LIM,0.0220003128,9523,11395
BFS,0.0210008621,10429,507
A*,0.0229995251,2402,194
BA*,0.0369999409,2548,194
EBA*,0.0389978886,3183,196
DIJKSTRA,0.0389993191,11197,194
DFS_NORMAL,0.019995451,8569,12678
DFS_LIM,0.0209999084,8659,12362
BFS,0.0230000019,11944,218
A*,0.0319993496,4936,242
BA*,0.0339996815,1561,248
EBA*,0.0370028019,2253,244
DIJKSTRA,0.0380003452,11253,242
DFS_NORMAL,0.0180001259,7689,8788
DFS_LIM,0.017999649,7866,8906
BFS,0.018999815,10008,852
A*,0.0210020542,1742,166
BA*,0.0369999409,2125,168
EBA*,0.0369977951,2310,198
DIJKSTRA,0.0380005836,10893,166
DFS_NORMAL,0.0050001144,998,998
DFS_LIM,0.0039978027,835,712
BFS,0.0240001678,12320,166
A*,0.0190012455,1564,129
BA*,0.034001112,1508,129
EBA*,0.0340006351,1549,129
DIJKSTRA,0.0319988728,8494,129
DFS_NORMAL,0.018999815,8231,12795
DFS_LIM,0.0199966431,8705,11417
BFS,0.0169999599,8536,301
A*,0.0359871387,6336,207
BA*,0.040999651,3484,211
EBA*,0.0410001278,3499,211
DIJKSTRA,0.0460000038,13926,207
DFS_NORMAL,0.0150001049,6568,5157
DFS_LIM,0.0139989853,6313,3093
BFS,0.0210027695,10918,313
A*,0.029999733,4544,228
BA*,0.0339984894,1624,228
EBA*,0.0389969349,3291,228
DIJKSTRA,0.0430004597,12911,228
DFS_NORMAL,0.0069999695,2595,6018
DFS_LIM,0.0090010166,3297,5998
BFS,0.0250000954,12991,1696
A*,0.0189981461,1142,123
BA*,0.0329995155,1145,123
EBA*,0.0319974422,910,127
DIJKSTRA,0.0239999294,5952,123
DFS_NORMAL,0.0150001049,5906,11147
DFS_LIM,0.0159993172,6443,11379
BFS,0.0130000114,6474,207
A*,0.021999836,2179,156
BA*,0.0379998684,2737,160
EBA*,0.0399997234,3320,158
DIJKSTRA,0.0390002728,11234,156
DFS_NORMAL,0.0080003738,2747,7198
DFS_LIM,0.0120003223,4889,8120
BFS,0.023015976,11555,434
A*,0.0400002003,7082,370
BA*,0.0480003357,5621,414
EBA*,0.0429990292,4528,400
DIJKSTRA,0.0460002422,13882,370
DFS_NORMAL,0.0099987984,3829,6676
DFS_LIM,0.0110003948,4089,6972
BFS,0.0269999504,14424,1418
A*,0.0250000954,3078,139
BA*,0.0309998989,551,139
EBA*,0.0330002308,942,143
DIJKSTRA,0.0350000858,9742,139
DFS_NORMAL,0.0129995346,4734,7795
DFS_LIM,0.0150001049,6390,7189
BFS,0.0150008202,7141,199
A*,0.0249996185,3064,210
BA*,0.0359933376,2013,218
EBA*,0.0390000343,3135,218
DIJKSTRA,0.0420000553,12650,210
DFS_NORMAL,0.0220000744,9662,11010
DFS_LIM,0.0220003128,9660,10412
BFS,0.0250003338,13201,550
A*,0.0160007477,404,102
BA*,0.0309998989,659,102
EBA*,0.0319983959,868,102
DIJKSTRA,0.0240001678,5741,102
DFS_NORMAL,0.0080001354,2702,7720
DFS_LIM,0.0080001354,2900,8218
BFS,0.0160000324,8071,102
A*,0.0379977226,6549,234
BA*,0.0369999409,2045,234
EBA*,0.0419998169,3781,234
DIJKSTRA,0.0460002422,13950,234
DFS_NORMAL,0.0309998989,14543,12490
DFS_LIM,0.0299999714,14431,12676
BFS,0.0239999294,12634,566
A*,0.0169997215,764,124
BA*,0.031999588,1106,128
EBA*,0.0339999199,1342,134
DIJKSTRA,0.0330007076,8632,124
DFS_NORMAL,0.0269999504,12104,10662
DFS_LIM,0.0289998055,13054,9922
BFS,0.018999815,9260,316
A*,0.0189974308,1180,162
BA*,0.0329999924,1210,162
EBA*,0.0339996815,1555,162
DIJKSTRA,0.0270001888,6999,162
DFS_NORMAL,0.0179975033,7957,9468
DFS_LIM,0.0200002193,8214,9328
BFS,0.0160009861,7979,390
A*,0.0169999599,714,165
BA*,0.0329992771,1121,165
EBA*,0.0380005836,2902,171
DIJKSTRA,0.0460004807,13540,165
DFS_NORMAL,0.0259995461,11643,15897
DFS_LIM,0.026999712,11875,13321
BFS,0.028999567,14851,165
A*,0.0309998989,4604,288
BA*,0.0370006561,2326,292
EBA*,0.0420002937,3946,292
DIJKSTRA,0.0480000973,14514,288
DFS_NORMAL,0.0259997845,11396,14138
DFS_LIM,0.0260000229,11043,14662
BFS,0.0280022621,14813,1400
A*,0.0199980736,1702,157
BA*,0.0320000648,943,157
EBA*,0.0350000858,1898,157
DIJKSTRA,0.0329985619,9182,157
DFS_NORMAL,0.026999712,13388,10959
DFS_LIM,0.026999712,13353,8457
BFS,0.0190002918,9670,469
A*,0.0170001984,740,192
BA*,0.0330016613,1247,192
EBA*,0.0370004177,2301,192
DIJKSTRA,0.0360000134,10121,192
DFS_NORMAL,0.0080003738,2655,5388
DFS_LIM,0.0080029964,3010,3726
BFS,0.0230000019,11612,530
A*,0.0310001373,4751,179
BA*,0.0320003033,1149,179
EBA*,0.0329999924,1247,179
DIJKSTRA,0.0479998589,14229,179
DFS_NORMAL,0.0199990273,9065,11539
DFS_LIM,0.0189976692,8209,10789
BFS,0.0210018158,10471,489
A*,0.0259990692,3213,226
BA*,0.0449998379,4772,230
EBA*,0.0569999218,8523,228
DIJKSTRA,0.0380001068,10989,226
DFS_NORMAL,0.0080001354,2820,8334
DFS_LIM,0.0129976273,5472,8642
BFS,0.0240001678,12203,450
A*,0.0270001888,3547,208
BA*,0.0350003242,2064,216
EBA*,0.0400028229,3624,228
DIJKSTRA,0.0449998379,13753,208
DFS_NORMAL,0.0239999294,10727,16976
DFS_LIM,0.0229997635,10284,15782
BFS,0.0270006657,14286,460
A*,0.0229990482,2480,180
BA*,0.0330004692,1379,180
EBA*,0.0350005627,1637,180
DIJKSTRA,0.0349998474,9858,180
DFS_NORMAL,0.0279994011,13608,9554
DFS_LIM,0.0290017128,13966,9458
BFS,0.0190000534,9405,192
A*,0.0189990997,1385,146
BA*,0.0350019932,1875,146
EBA*,0.0359992981,2217,146
DIJKSTRA,0.0270004272,6993,146
DFS_NORMAL,0.012001276,4555,9430
DFS_LIM,0.0130012035,4821,9402
BFS,0.0149998665,7229,412
A*,0.0150003433,282,109
BA*,0.0299999714,489,109
EBA*,0.0310003757,810,109
DIJKSTRA,0.0249984264,6423,109
DFS_NORMAL,0.0290005207,13555,6387
DFS_LIM,0.0280003548,13395,4859
BFS,0.0140016079,7073,109
A*,0.0170016289,772,183
BA*,0.0340001583,1403,183
EBA*,0.0380001068,2868,183
DIJKSTRA,0.0430002213,12887,183
DFS_NORMAL,0.0149989128,5681,12889
DFS_LIM,0.015001297,6150,12955
BFS,0.0280005932,14496,355
A*,0.0259995461,3269,191
BA*,0.0430004597,4440,191
EBA*,0.0429999828,4517,191
DIJKSTRA,0.0429999828,12909,191
DFS_NORMAL,0.0230000019,9867,15397
DFS_LIM,0.0220000744,9887,13815
BFS,0.0239994526,12802,1395
A*,0.0210001469,2009,175
BA*,0.0369999409,2375,175
EBA*,0.0390028954,3035,175
DIJKSTRA,0.0339992046,9604,175
DFS_NORMAL,0.0160000324,6394,9263
DFS_LIM,0.016998291,6508,8881
BFS,0.0200002193,10089,583
A*,0.0169999599,680,102
BA*,0.0310006142,486,110
EBA*,0.0310001373,649,104
DIJKSTRA,0.0250003338,5995,102
DFS_NORMAL,0.0199978352,9073,10354
DFS_LIM,0.0199997425,8787,9926
BFS,0.0150032043,7836,102
A*,0.0230002403,2288,170
BA*,0.0310003757,932,172
EBA*,0.0330004692,1271,180
DIJKSTRA,0.0500004292,14206,170
DFS_NORMAL,0.009999752,3962,5360
DFS_LIM,0.010999918,4619,5544
BFS,0.0280022621,14786,590
A*,0.0180003643,877,85
BA*,0.0320000648,812,87
EBA*,0.0329999924,985,87
DIJKSTRA,0.0220005512,4811,85
DFS_NORMAL,0.0110003948,4067,9737
DFS_LIM,0.0100004673,3785,9189
BFS,0.0099999905,4129,395
A*,0.0259997845,3386,195
BA*,0.0369989872,2532,195
EBA*,0.0369968414,2290,213
DIJKSTRA,0.0459985733,13925,195
DFS_NORMAL,0.0069971085,2242,2867
DFS_LIM,0.0060002804,2247,2867
BFS,0.0269992352,14118,1793
A*,0.0240004063,2666,220
BA*,0.0409998894,3709,242
EBA*,0.0429997444,4073,246
DIJKSTRA,0.0459992886,13646,220
