Algorithm_name,avg_exec_time,avg_searched_cells,avg_path_cost,overall_performance,overall_rank
DFS_LIM,1.164465424,545.068,461.46,100.0,1.0
DFS,1.0879874172,488.024,590.792,93.37,2.0
