Algorithm_name,Execution Time (ms),Searched Cells,Total Path Cost
DFS_LIM,0.9973048999999999,674,189
DFS,0.0,75,74
DFS_LIM,0.9999275,223,98
DFS,2.9993057000000003,828,1058
DFS_LIM,1.9991397999999998,845,1254
DFS,0.9965897,521,606
DFS_LIM,1.999855,793,510
DFS,0.9999275,622,963
DFS_LIM,1.9996165999999997,734,849
DFS,1.9958019,597,670
DFS_LIM,0.9980201999999999,593,662
DFS,1.0035038,256,456
DFS_LIM,1.0023117,423,552
DFS,1.0001659,529,458
DFS_LIM,2.0041466,727,654
DFS,0.9984970000000001,481,891
DFS_LIM,1.0001659,643,567
DFS,0.9994507,239,251
DFS_LIM,0.0,297,251
DFS,0.9987354,312,318
DFS_LIM,0.9994507,433,288
DFS,0.9989738,851,671
DFS_LIM,2.0034313,860,829
DFS,0.0,165,211
DFS_LIM,0.0,226,231
DFS,2.0012856,804,747
DFS_LIM,2.0005702999999997,573,553
DFS,0.9999275,335,456
DFS_LIM,0.0,309,30
DFS,0.9992123,380,491
DFS_LIM,1.0015965,535,573
DFS,0.9994507,603,968
DFS_LIM,1.0032654,631,956
DFS,1.0001659,520,430
DFS_LIM,1.0018349,495,508
DFS,0.9999275,920,572
DFS_LIM,1.0027885,618,414
DFS,1.0001659,227,291
DFS_LIM,0.0,268,349
DFS,1.0001659,445,480
DFS_LIM,1.999855,528,306
DFS,0.9999275,778,705
DFS_LIM,2.0031928999999997,638,551
DFS,0.9996891,173,276
DFS_LIM,0.0,226,276
DFS,1.0001659,848,541
DFS_LIM,1.999855,871,561
DFS,2.0000934999999997,534,557
DFS_LIM,1.0025501,539,495
DFS,1.0001659,288,215
DFS_LIM,1.0020733,512,245
DFS,0.9999275,359,814
DFS_LIM,2.0003319,792,742
DFS,0.9992123,484,702
DFS_LIM,1.999855,735,904
DFS,1.0006428,255,350
DFS_LIM,0.0,214,46
DFS,1.0006428,692,1077
DFS_LIM,2.0008087,754,1079
DFS,1.9993782,834,1161
DFS_LIM,2.0000934999999997,829,1085
DFS,0.9999275,469,367
DFS_LIM,1.0027885,452,739
DFS,0.0,40,64
DFS_LIM,0.0,114,92
DFS,0.9994507,399,447
DFS_LIM,2.0008087,488,445
DFS,0.0,278,324
DFS_LIM,1.0001659,354,290
DFS,0.9999275,599,846
DFS_LIM,2.0000934999999997,593,604
DFS,2.0003319,757,1010
DFS_LIM,1.999855,787,952
DFS,1.999855,768,1063
DFS_LIM,1.0032654,478,715
DFS,1.0001659,248,798
DFS_LIM,0.0,427,714
DFS,0.0,328,735
DFS_LIM,1.0004044,459,31
DFS,0.0,232,243
DFS_LIM,1.0018349,595,407
DFS,1.999855,822,830
DFS_LIM,1.0018349,848,656
DFS,2.0000934999999997,825,958
DFS_LIM,0.9999275,828,1080
DFS,1.9996165999999997,661,719
DFS_LIM,1.0030270000000001,690,779
DFS,1.999855,671,673
DFS_LIM,1.999855,622,589
DFS,1.0042191,838,724
DFS_LIM,2.0000934999999997,833,300
DFS,1.0001659,836,296
DFS_LIM,2.0003319,919,220
DFS,1.0001659,454,603
DFS_LIM,1.999855,600,581
DFS,0.9996891,454,926
DFS_LIM,0.9999275,491,156
DFS,2.0000934999999997,910,546
DFS_LIM,1.9989014,724,232
DFS,0.9999275,584,740
DFS_LIM,1.0006428,733,186
DFS,2.0000934999999997,736,812
DFS_LIM,2.0005702999999997,696,810
DFS,1.0001659,838,739
DFS_LIM,0.9973048999999999,689,529
DFS,1.9977093,498,772
DFS_LIM,0.9996891,519,522
DFS,1.0018349,299,425
DFS_LIM,1.0030270000000001,327,187
DFS,1.0006428,429,476
DFS_LIM,1.0006428,259,218
DFS,2.0000934999999997,885,364
DFS_LIM,1.0001659,869,268
DFS,0.9994507,726,599
DFS_LIM,2.0003319,716,659
DFS,1.0001659,25,25
DFS_LIM,0.0,60,39
DFS,1.0008812,411,837
DFS_LIM,0.9999275,514,847
DFS,1.0001659,843,1350
DFS_LIM,2.0005702999999997,802,1274
DFS,0.0,103,183
DFS_LIM,0.0,213,197
DFS,0.0,75,179
DFS_LIM,0.0,154,215
DFS,1.9979477,715,1001
DFS_LIM,1.9993782,812,935
