Algorithm_name,Execution Time (ms),Searched Cells,Total Path Cost
DFS,28.999567,12729,14204
DFS_LIM,28.9998055,13367,12570
DFS,16.9999599,7218,9860
DFS_LIM,16.0000324,6851,9420
DFS,17.0001984,7175,7280
DFS_LIM,29.001474400000003,14251,6014
DFS,28.9998055,13112,16750
DFS_LIM,27.9984474,12902,15984
DFS,12.999773,5259,6491
DFS_LIM,15.999555599999999,6746,7407
DFS,28.999567,12240,17040
DFS_LIM,27.9998779,12783,15222
DFS,9.0000629,3514,8189
DFS_LIM,9.9999905,3898,8187
DFS,18.999814999999998,7426,13748
DFS_LIM,18.999814999999998,8267,13184
DFS,18.000364299999998,7547,8133
DFS_LIM,16.9997215,7079,7501
DFS,12.999534599999999,5045,6244
DFS_LIM,13.9994621,5895,5966
DFS,15.999794000000001,6817,11237
DFS_LIM,17.999648999999998,7800,9615
DFS,27.9998779,14648,3825
DFS_LIM,28.999567,14657,2925
DFS,14.998436,6250,11092
DFS_LIM,16.0000324,6651,10980
DFS,26.9999504,11249,15504
DFS_LIM,26.000261300000002,11452,15536
DFS,22.0029354,9117,15753
DFS_LIM,26.9989967,9953,15503
DFS,3.000021,360,911
DFS_LIM,5.0001144,1330,1623
DFS,26.9994736,11453,13984
DFS_LIM,26.000022899999998,11400,12754
DFS,4.0004253,820,4753
DFS_LIM,4.999876,1364,5311
DFS,16.0000324,6506,9830
DFS_LIM,15.0001049,6334,7772
DFS,6.000042,1947,2653
DFS_LIM,3.9994717,670,653
DFS,6.9999695,2115,5123
DFS_LIM,6.9999695,2371,4829
DFS,6.0005188,1781,1650
DFS_LIM,9.0000629,3434,2396
DFS,23.999452599999998,9750,14757
DFS_LIM,22.9997635,9532,14801
DFS,24.999856899999997,10135,15778
DFS_LIM,21.999836,10113,10624
DFS,23.999691,9961,14672
DFS_LIM,25.9997845,9894,14328
DFS,26.9980431,12283,14495
DFS_LIM,25.9995461,11643,12409
DFS,14.000177399999998,5804,10894
DFS_LIM,14.9974823,6460,9792
DFS,13.0000114,5085,8679
DFS_LIM,13.0000114,5308,6027
DFS,27.9991627,14713,3442
DFS_LIM,27.9998779,14559,3782
DFS,5.0001144,1505,1864
DFS_LIM,5.0005913,1631,1104
DFS,16.9999599,7241,10493
DFS_LIM,16.9999599,7254,8873
DFS,16.9999599,7140,10030
DFS_LIM,18.0001259,7341,9428
DFS,22.9997635,9549,13821
DFS_LIM,22.9997635,9641,13373
DFS,15.9990788,6504,12662
DFS_LIM,10.0007057,3719,4668
DFS,28.00107,11675,17811
DFS_LIM,27.0001888,12476,11511
DFS,18.998861299999998,8128,13703
DFS_LIM,19.001007100000002,8195,13525
DFS,7.0002079,2266,5082
