Algorithm_name,Execution Time (ms),Searched Cells,Total Path Cost
DFS,137.0003223,33098,51951
DFS_LIM,241.0106659,38267,46817
DFS,722.0008373,223309,179914
DFS_LIM,152.9998779,56893,14320
DFS,543.9996719,110738,169150
DFS_LIM,290.0133133,114324,115444
DFS,497.0009327,94704,113087
DFS_LIM,259.0000629,93595,106395
DFS,663.9997959,166826,253508
DFS_LIM,423.0010509,163878,251886
DFS,566.0007,121701,184729
DFS_LIM,328.9875984,126157,163069
DFS,792.9999828,205030,178319
DFS_LIM,486.00006099999996,204570,173655
DFS,711.0002041,210041,199598
DFS_LIM,483.9873314,211356,199394
DFS,506.99925420000005,92375,116463
DFS_LIM,255.00011439999997,91183,107983
DFS,727.9992104,193620,256056
DFS_LIM,483.99996760000005,194048,253914
DFS,554.0003777,54606,95492
DFS_LIM,193.0043697,62219,102508
DFS,507.99989700000003,88737,163729
DFS_LIM,273.0004787,98460,164227
DFS,686.0001087,166608,236427
DFS_LIM,429.00013920000004,165428,229687
DFS,460.9992504,67977,135707
DFS_LIM,208.9998722,70998,134643
DFS,436.99979779999995,167504,271077
DFS_LIM,444.98729710000003,167563,271077
DFS,137.0003223,23635,72700
DFS_LIM,501.00016589999996,47242,90164
DFS,769.9999809,147446,228370
DFS_LIM,397.0010281,149468,225756
DFS,599.0009308000001,121483,194138
DFS_LIM,319.9999332,122844,158208
DFS,539.000988,87882,179434
DFS_LIM,315.0019646,88306,179098
DFS,778.0008316,231016,124486
DFS_LIM,488.9981747,214492,152304
DFS,685.9993935000001,151131,239744
DFS_LIM,406.00085260000003,151883,236574
DFS,468.9998627,70762,134215
DFS_LIM,228.000164,77667,137669
DFS,608.9999676,131489,205852
DFS_LIM,374.98688699999997,140476,199988
DFS,755.0127506,195871,205596
DFS_LIM,479.0000916,196119,201770
DFS,788.0003452,214001,131230
DFS_LIM,505.0024986,214872,126990
DFS,125.0009537,28547,56929
DFS_LIM,545.0000763,101881,95993
DFS,687.9999637999999,148007,174997
DFS_LIM,443.00007819999996,147734,171861
DFS,120.99981310000001,25898,40399
DFS_LIM,382.0002079,25727,40181
DFS,558.000803,92491,201936
DFS_LIM,271.0001469,93174,202046
DFS,672.0004081999999,145979,246666
DFS_LIM,388.00048830000003,145094,244052
DFS,638.9989853,125857,186878
DFS_LIM,348.9999771,127223,179926
DFS,595.0012207000001,107583,130278
DFS_LIM,288.9995575,104561,121326
DFS,487.99896240000004,58677,131141
DFS_LIM,185.9982014,60942,122795
DFS,560.0008965,93749,129570
DFS_LIM,288.0003452,105075,122062
DFS,681.9996834,143177,207950
DFS_LIM,391.99995989999996,145182,201014
DFS,618.986845,122266,138739
DFS_LIM,320.0001717,117221,132591
DFS,54.001092899999996,5471,12241
DFS_LIM,56.999921799999996,7994,9831
DFS,737.0009422,184231,300624
DFS_LIM,475.00896450000005,186388,290044
DFS,781.0001373,187353,300345
DFS_LIM,483.9992523,187071,297847
DFS,778.9993286,217513,187550
DFS_LIM,489.0010357,212959,191484
DFS,381.000042,27186,37345
DFS_LIM,112.00070380000001,29457,37985
DFS,554.0001392,90361,107634
DFS_LIM,257.0002079,90564,100360
DFS,793.0009365000001,221426,121671
DFS_LIM,504.0001869,220285,125341
DFS,551.0008335,89244,194062
DFS_LIM,259.9995136,90881,188676
DFS,806.9999218,224195,147811
DFS_LIM,489.0005589,203213,179423
DFS,657.0003033,134568,169689
DFS_LIM,344.9993134,130936,162903
DFS,802.999258,215152,128811
DFS_LIM,509.99879839999994,216040,129353
DFS,555.0005435999999,87968,180591
DFS_LIM,252.9997826,87920,165995
DFS,121.9992638,23038,44746
DFS_LIM,378.0021667,23429,39546
DFS,372.00069429999996,19560,48463
DFS_LIM,148.0007172,44971,67275
DFS,759.9999905,177768,234516
DFS_LIM,469.0005779,180509,228320
DFS,470.9999561,54919,112835
DFS_LIM,180.9985638,56676,112547
DFS,731.0020924,163628,241662
DFS_LIM,445.0004101,166948,236174
DFS,598.9999771,109781,144026
DFS_LIM,306.9996834,110252,142378
DFS,457.99970629999996,47783,127465
DFS_LIM,278.9990902,100441,155565
DFS,684.0000153,144672,221954
DFS_LIM,384.0000629,147215,210530
DFS,743.999958,211358,70378
DFS_LIM,514.9998664999999,241221,10148
DFS,779.0009974999999,194803,209493
DFS_LIM,482.0001125,195168,208047
DFS,197.9997158,40252,88415
DFS_LIM,449.0013123,66041,110813
DFS,798.0005741,207354,169926
DFS_LIM,504.99916079999997,210841,165194
DFS,381.0009956,22628,40628
DFS_LIM,101.0007858,24065,40628
DFS,584.9995613,99245,200614
DFS_LIM,286.0004902,101549,200028
DFS,784.0125561,239473,18523
DFS_LIM,516.0000324,237974,18263
DFS,802.0126819999999,211437,168651
DFS_LIM,500.9992123,210505,164143
DFS,806.0007095,224135,144924
DFS_LIM,495.99981310000004,218211,134556
DFS,564.000845,92724,192926
DFS_LIM,303.0006886,110396,200336
DFS,488.00086980000003,60742,109776
