Algorithm_name,Execution Time (s),Searched Cells,Total Path Cost
A*,0.0149998665,467,197
BA*,0.0289986134,375,197
EBA*,0.0290002823,396,197
DIJKSTRA,0.0109968185,1060,197
DFS_NORMAL,0.0109994411,5088,7285
DFS_LIM,0.0069997311,3191,1633
BFS,0.0030002594,1147,197
A*,0.0140023232,74,84
BA*,0.0290005207,103,84
EBA*,0.0290005207,89,84
DIJKSTRA,0.0079996586,99,84
DFS_NORMAL,0.0110003948,4760,7078
DFS_LIM,0.0020003319,350,474
BFS,0.0029985905,397,84
A*,0.0529999733,12389,777
BA*,0.036999464,2703,777
EBA*,0.0360000134,2274,777
DIJKSTRA,0.0420022011,12888,777
DFS_NORMAL,0.0090000629,3480,9179
DFS_LIM,0.0119998455,5895,4089
BFS,0.015999794,8669,1429
A*,0.0140001774,12,10
BA*,0.0289998055,16,10
EBA*,0.0290009975,17,10
DIJKSTRA,0.007999897,34,10
DFS_NORMAL,0.0019984245,19,18
DFS_LIM,0.0010001659,19,18
BFS,0.0020024776,43,10
A*,0.0249984264,3279,439
BA*,0.0360002518,2512,439
EBA*,0.0369999409,2567,439
DIJKSTRA,0.0240001678,5748,439
DFS_NORMAL,0.004999876,1513,1443
DFS_LIM,0.004999876,2020,1571
BFS,0.0090003014,4248,2683
A*,0.0180008411,1300,305
BA*,0.0309998989,855,305
EBA*,0.0310001373,850,305
DIJKSTRA,0.0139989853,2191,305
DFS_NORMAL,0.0130000114,5718,8925
DFS_LIM,0.0220003128,11467,7569
BFS,0.0119991302,5945,305
A*,0.0280015469,4052,343
BA*,0.0330007076,1681,343
EBA*,0.032999754,1478,347
DIJKSTRA,0.0330016613,9160,343
DFS_NORMAL,0.0110018253,4732,6091
DFS_LIM,0.0140001774,6491,3929
BFS,0.013999939,7411,2419
A*,0.0190000534,1451,200
BA*,0.0349998474,1754,200
EBA*,0.0340008736,1595,208
DIJKSTRA,0.0150001049,2829,200
DFS_NORMAL,0.0119991302,5383,12442
DFS_LIM,0.0169999599,7967,8234
BFS,0.0090007782,4309,200
